Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"Braidwood",3875,
"Karabar",8241,
"Queanbeyan",10838,
"Queanbeyan - East",4785,
"Queanbeyan Region",16945,
"Queanbeyan West - Jerrabomberra",12642,
"Bombala",2391,
"Cooma",6737,
"Cooma Region",3282,
"Jindabyne - Berridale",6953,
"Batemans Bay",7689,
"Batemans Bay - South",8361,
"Bega - Tathra",8405,
"Bega-Eden Hinterland",8795,
"Broulee - Tomakin",3287,
"Deua - Wadbilliga",25,
"Eden",3218,
"Eurobodalla Hinterland",3298,
"Merimbula - Tura Beach",10621,
"Moruya - Tuross Head",7968,
"Narooma - Bermagui",8979,
"Goulburn",22890,
"Goulburn Region",12673,
"Yass",6502,
"Yass Region",11508,
"Young",10604,
"Young Region",7323,
"Avoca Beach - Copacabana",7315,
"Box Head - MacMasters Beach",10688,
"Calga - Kulnura",4703,
"Erina - Green Point",13950,
"Gosford - Springfield",18802,
"Kariong",6381,
"Kincumber - Picketts Valley",7308,
"Narara",6642,
"Niagara Park - Lisarow",8027,
"Point Clare - Koolewong",6207,
"Saratoga - Davistown",6979,
"Terrigal - North Avoca",13345,
"Umina - Booker Bay - Patonga",23588,
"Wamberal - Forresters Beach",9758,
"Woy Woy - Blackwall",13928,
"Wyoming",11434,
"Bateau Bay - Killarney Vale",22010,
"Blue Haven - San Remo",11044,
"Budgewoi - Buff Point - Halekulani",9405,
"Chittaway Bay - Tumbi Umbi",15353,
"Gorokan - Kanwal - Charmhaven",22114,
"Jilliby - Yarramalong",3352,
"Lake Munmorah - Mannering Park",10730,
"Ourimbah - Fountaindale",4860,
"Summerland Point - Gwandalan",5765,
"The Entrance",14942,
"Toukley - Norah Head",9772,
"Tuggerah - Kangy Angy",5301,
"Warnervale - Wadalba",15219,
"Wyong",8815,
"Bathurst",23830,
"Bathurst - East",11186,
"Bathurst Region",6913,
"Oberon",4663,
"Condobolin",6637,
"Cowra",9144,
"Cowra Region",5449,
"Forbes",10166,
"Grenfell",3650,
"Parkes (NSW)",10983,
"Parkes Region",3383,
"West Wyalong",5929,
"Lithgow",12814,
"Lithgow Region",8262,
"Mudgee",11727,
"Mudgee Region - East",3445,
"Mudgee Region - West",10362,
"Wollangambe - Wollemi",0,
"Blayney",7273,
"Orange",19010,
"Orange - North",19729,
"Orange Region",11607,
"Grafton",18673,
"Grafton Region",15313,
"Maclean - Yamba - Iluka",16283,
"Bellingen",5803,
"Coffs Harbour - North",17464,
"Coffs Harbour - South",10294,
"Coramba - Nana Glen - Bucca",3816,
"Dorrigo",3245,
"Korora - Emerald Beach",8740,
"Sawtell - Boambee",19474,
"Urunga",4667,
"Woolgoolga - Arrawarra",12521,
"Bourke - Brewarrina",4000,
"Cobar",4657,
"Coonamble",4113,
"Nyngan - Warren",4971,
"Walgett - Lightning Ridge",6413,
"Broken Hill",17709,
"Far West",2507,
"Coonabarabran",7950,
"Dubbo - East",10379,
"Dubbo - South",16942,
"Dubbo - West",8769,
