SA2_MAINCODE_2011,SA2_NAME_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101011001,Goulburn,13310,Goulburn Mulwaree,1,Acceptable,Good,0
101011002,Goulburn Region,18350,Wingecarribee,0.0004338,Good,Good,1
101011002,Goulburn Region,18710,Yass Valley,0.0012996,Good,Good,1
101011002,Goulburn Region,16490,Queanbeyan-Palerang Regional,0.0113467,Good,Good,0
101011002,Goulburn Region,13310,Goulburn Mulwaree,0.4725819,Acceptable,Good,0
101011002,Goulburn Region,17640,Upper Lachlan Shire,0.514338,Poor,Good,0
101011003,Yass,18710,Yass Valley,1,Good,Good,0
101011004,Yass Region,13910,Hilltops,0.0533754,Good,Good,0
101011004,Yass Region,17640,Upper Lachlan Shire,0.1121085,Poor,Good,0
101011004,Yass Region,18710,Yass Valley,0.8345161,Good,Good,0
101011005,Young,13910,Hilltops,1,Good,Good,0
101011006,Young Region,13910,Hilltops,1,Good,Good,0
101021007,Braidwood,13310,Goulburn Mulwaree,0.0747863,Acceptable,Good,0
101021007,Braidwood,16490,Queanbeyan-Palerang Regional,0.9252137,Good,Good,0
101021008,Karabar,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021009,Queanbeyan,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021011,Queanbeyan Region,13310,Goulburn Mulwaree,0.0216491,Acceptable,Good,0
101021011,Queanbeyan Region,17040,Snowy Monaro Regional,0.0528124,Good,Good,0
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang Regional,0.9255385,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101031013,Bombala,17040,Snowy Monaro Regional,1,Good,Good,0
101031014,Cooma,17040,Snowy Monaro Regional,1,Good,Good,0
101031015,Cooma Region,17040,Snowy Monaro Regional,1,Good,Good,0
101031016,Jindabyne - Berridale,17040,Snowy Monaro Regional,1,Good,Good,0
101041017,Batemans Bay,12750,Eurobodalla,1,Good,Good,0
101041018,Batemans Bay - South,12750,Eurobodalla,1,Good,Good,0
101041019,Bega - Tathra,10550,Bega Valley,1,Good,Good,0
101041020,Bega-Eden Hinterland,12750,Eurobodalla,0.0020705,Good,Good,1
101041020,Bega-Eden Hinterland,10550,Bega Valley,0.9979295,Good,Good,0
101041021,Broulee - Tomakin,12750,Eurobodalla,1,Good,Good,0
101041022,Deua - Wadbilliga,10550,Bega Valley,0.4123196,Good,Good,0
101041022,Deua - Wadbilliga,12750,Eurobodalla,0.5876804,Good,Good,0
101041023,Eden,10550,Bega Valley,1,Good,Good,0
101041024,Eurobodalla Hinterland,16950,Shoalhaven,0.0567419,Good,Good,0
101041024,Eurobodalla Hinterland,12750,Eurobodalla,0.9432581,Good,Good,0
101041025,Merimbula - Tura Beach,10550,Bega Valley,1,Good,Good,0
101041026,Moruya - Tuross Head,12750,Eurobodalla,1,Good,Good,0
101041027,Narooma - Bermagui,10550,Bega Valley,0.2473629,Good,Good,0
101041027,Narooma - Bermagui,12750,Eurobodalla,0.7526371,Good,Good,0
102011028,Avoca Beach - Copacabana,11650,Central Coast (NSW),1,Good,Good,0
102011029,Box Head - MacMasters Beach,11650,Central Coast (NSW),1,Good,Good,0
102011030,Calga - Kulnura,11650,Central Coast (NSW),1,Good,Good,0
102011031,Erina - Green Point,11650,Central Coast (NSW),1,Good,Good,0
102011032,Gosford - Springfield,11650,Central Coast (NSW),1,Good,Good,0
102011033,Kariong,11650,Central Coast (NSW),1,Good,Good,0
102011034,Kincumber - Picketts Valley,11650,Central Coast (NSW),1,Good,Good,0
102011035,Narara,11650,Central Coast (NSW),1,Good,Good,0
102011036,Niagara Park - Lisarow,11650,Central Coast (NSW),1,Good,Good,0
102011037,Point Clare - Koolewong,11650,Central Coast (NSW),1,Good,Good,0
102011038,Saratoga - Davistown,11650,Central Coast (NSW),1,Good,Good,0
102011039,Terrigal - North Avoca,11650,Central Coast (NSW),1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,11650,Central Coast (NSW),1,Good,Good,0
102011041,Wamberal - Forresters Beach,11650,Central Coast (NSW),1,Good,Good,0
102011042,Woy Woy - Blackwall,11650,Central Coast (NSW),1,Good,Good,0
102011043,Wyoming,11650,Central Coast (NSW),1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,11650,Central Coast (NSW),1,Good,Good,0
102021045,Blue Haven - San Remo,11650,Central Coast (NSW),1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,11650,Central Coast (NSW),1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,11650,Central Coast (NSW),1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,11650,Central Coast (NSW),1,Good,Good,0
102021049,Jilliby - Yarramalong,11650,Central Coast (NSW),1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,11650,Central Coast (NSW),1,Good,Good,0
102021051,Ourimbah - Fountaindale,11650,Central Coast (NSW),1,Good,Good,0
102021052,Summerland Point - Gwandalan,11650,Central Coast (NSW),1,Good,Good,0
102021053,The Entrance,11650,Central Coast (NSW),1,Good,Good,0
102021054,Toukley - Norah Head,11650,Central Coast (NSW),1,Good,Good,0
102021055,Tuggerah - Kangy Angy,11650,Central Coast (NSW),1,Good,Good,0
102021056,Warnervale - Wadalba,11650,Central Coast (NSW),1,Good,Good,0
102021057,Wyong,11650,Central Coast (NSW),1,Good,Good,0
103011058,Bathurst,10470,Bathurst Regional,1,Good,Good,0
103011059,Bathurst - East,10470,Bathurst Regional,1,Good,Good,0
103011060,Bathurst Region,14870,Lithgow,0.0028376,Good,Good,1
103011060,Bathurst Region,16100,Oberon,0.0896585,Acceptable,Good,0
103011060,Bathurst Region,10470,Bathurst Regional,0.9075039,Good,Good,0
103011061,Oberon,16100,Oberon,1,Acceptable,Good,0
103021062,Condobolin,12900,Forbes,0.0105801,Good,Good,0
103021062,Condobolin,16200,Parkes,0.0601669,Good,Good,0
103021062,Condobolin,14600,Lachlan,0.929253,Good,Good,0
103021063,Cowra,12350,Cowra,1,Acceptable,Good,0
103021064,Cowra Region,11400,Cabonne,0.4022319,Poor,Good,0
103021064,Cowra Region,12350,Cowra,0.5977681,Acceptable,Good,0
103021065,Forbes,14600,Lachlan,0.0013221,Good,Good,1
103021065,Forbes,18100,Weddin,0.0016923,Good,Good,1
103021065,Forbes,11400,Cabonne,0.0750574,Poor,Good,0
103021065,Forbes,12900,Forbes,0.9219282,Good,Good,0
103021066,Grenfell,18100,Weddin,1,Good,Good,0
103021067,Parkes (NSW),16200,Parkes,1,Good,Good,0
103021068,Parkes Region,11400,Cabonne,0.0126737,Poor,Good,0
103021068,Parkes Region,12900,Forbes,0.021225,Good,Good,0
103021068,Parkes Region,16200,Parkes,0.9661013,Good,Good,0
103021069,West Wyalong,10800,Bland,1,Good,Good,0
103031070,Lithgow,14870,Lithgow,1,Good,Good,0
103031071,Lithgow Region,10470,Bathurst Regional,0.000382,Good,Good,1
103031071,Lithgow Region,14870,Lithgow,0.999618,Good,Good,0
103031072,Mudgee,15270,Mid-Western Regional,1,Good,Good,0
103031073,Mudgee Region - East,15270,Mid-Western Regional,1,Good,Good,0
103031074,Mudgee Region - West,10470,Bathurst Regional,0.0024474,Good,Good,1
103031074,Mudgee Region - West,18020,Warrumbungle Shire,0.1307796,Acceptable,Good,0
103031074,Mudgee Region - West,15270,Mid-Western Regional,0.866773,Good,Good,0
103031075,Wollangambe - Wollemi,10900,Blue Mountains,0.05,Good,Good,0
103031075,Wollangambe - Wollemi,17000,Singleton,0.05,Good,Good,0
103031075,Wollangambe - Wollemi,14870,Lithgow,0.9,Good,Good,0
103041076,Blayney,12350,Cowra,0.0029983,Acceptable,Good,1
103041076,Blayney,10850,Blayney,0.9970017,Good,Good,0
103041077,Orange,16150,Orange,1,Good,Good,0
103041078,Orange - North,11400,Cabonne,0.0101286,Poor,Good,0
103041078,Orange - North,16150,Orange,0.9898714,Good,Good,0
103041079,Orange Region,12390,Dubbo Regional,0.0031951,Good,Good,1
103041079,Orange Region,16150,Orange,0.1588168,Good,Good,0
103041079,Orange Region,11400,Cabonne,0.8379881,Poor,Good,0
104011080,Grafton,11730,Clarence Valley,1,Good,Good,0
104011081,Grafton Region,11730,Clarence Valley,1,Good,Good,0
104011082,Maclean - Yamba - Iluka,11730,Clarence Valley,1,Good,Good,0
104021083,Bellingen,10600,Bellingen,1,Good,Good,0
104021084,Coffs Harbour - North,11800,Coffs Harbour,1,Good,Good,0
104021085,Coffs Harbour - South,11800,Coffs Harbour,1,Good,Good,0
