Australian Bureau of Statistics

"Children enrolled in a preschool program, 2021"
"Statistical area level 2 (SA2) of child, Sex and Attended a preschool program"
"Counting: Child record"

Filters:
"Default Summation","Child record (#)"


"Statistical area level 2 (SA2) of child","Sex","Attended a preschool program",
"101021007","Male","Attended in reference week",6,,
,,"Did not attend in reference week",49,,
,,"Total",53,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",37,,
,,"Total",37,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101021008","Male","Attended in reference week",26,,
,,"Did not attend in reference week",62,,
,,"Total",92,,
,"Female","Attended in reference week",18,,
,,"Did not attend in reference week",61,,
,,"Total",84,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101021009","Male","Attended in reference week",32,,
,,"Did not attend in reference week",94,,
,,"Total",123,,
,"Female","Attended in reference week",16,,
,,"Did not attend in reference week",69,,
,,"Total",86,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101021010","Male","Attended in reference week",25,,
,,"Did not attend in reference week",33,,
,,"Total",59,,
,"Female","Attended in reference week",10,,
,,"Did not attend in reference week",38,,
,,"Total",52,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101021011","Male","Attended in reference week",126,,
,,"Did not attend in reference week",245,,
,,"Total",373,,
,"Female","Attended in reference week",106,,
,,"Did not attend in reference week",237,,
,,"Total",342,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101021012","Male","Attended in reference week",51,,
,,"Did not attend in reference week",145,,
,,"Total",196,,
,"Female","Attended in reference week",45,,
,,"Did not attend in reference week",117,,
,,"Total",162,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101031013","Male","Attended in reference week",3,,
,,"Did not attend in reference week",58,,
,,"Total",58,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",44,,
,,"Total",47,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101031014","Male","Attended in reference week",0,,
,,"Did not attend in reference week",87,,
,,"Total",87,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",78,,
,,"Total",78,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101031015","Male","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101031016","Male","Attended in reference week",0,,
,,"Did not attend in reference week",78,,
,,"Total",78,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",63,,
,,"Total",68,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101041017","Male","Attended in reference week",0,,
,,"Did not attend in reference week",81,,
,,"Total",87,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",75,,
,,"Total",75,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101041018","Male","Attended in reference week",0,,
,,"Did not attend in reference week",65,,
,,"Total",67,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",68,,
,,"Total",68,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101041019","Male","Attended in reference week",0,,
,,"Did not attend in reference week",82,,
,,"Total",82,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",90,,
,,"Total",90,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,,"Total",0,,
"101041020","Male","Attended in reference week",0,,
,,"Did not attend in reference week",87,,
,,"Total",87,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",76,,
,,"Total",78,,
