Australian Bureau of Statistics

"Children enrolled in a preschool program, 2018"
"Statistical area level 2 (SA2) of child, Sex and Attended a preschool program"
"Counting: Child record"

Filters:
"Default Summation","Child record (#)"


"Statistical area level 2 (SA2) of child","Sex","Attended a preschool program",
"101021007","Male","Attended in reference week",48,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",35,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101021008","Male","Attended in reference week",80,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",83,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101021009","Male","Attended in reference week",120,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",108,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101021010","Male","Attended in reference week",53,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",33,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101021011","Male","Attended in reference week",253,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",216,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101021012","Male","Attended in reference week",186,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",155,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101031013","Male","Attended in reference week",29,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",32,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101031014","Male","Attended in reference week",94,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",74,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101031015","Male","Attended in reference week",27,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",18,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101031016","Male","Attended in reference week",78,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",58,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041017","Male","Attended in reference week",77,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",75,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041018","Male","Attended in reference week",71,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",60,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041019","Male","Attended in reference week",95,,
,,"Did not attend in reference week",5,,
,"Female","Attended in reference week",63,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041020","Male","Attended in reference week",74,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",89,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041021","Male","Attended in reference week",39,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",35,,
,,"Did not attend in reference week",4,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041022","Male","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041023","Male","Attended in reference week",45,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",30,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041024","Male","Attended in reference week",30,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",37,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041025","Male","Attended in reference week",89,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",84,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041026","Male","Attended in reference week",65,,
,,"Did not attend in reference week",0,,
,"Female","Attended in reference week",67,,
,,"Did not attend in reference week",0,,
,"Other or not stated","Attended in reference week",0,,
,,"Did not attend in reference week",0,,
"101041027","Male","Attended in reference week",72,,
