LGA_CODE_2022,LGA_NAME_2022,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,11,Inner Regional Australia,1,Acceptable,Good,0
10180,Armidale,11,Inner Regional Australia,0.8058292,Acceptable,Good,0
10180,Armidale,12,Outer Regional Australia,0.1941708,Poor,Good,0
10250,Ballina,11,Inner Regional Australia,1,Acceptable,Good,0
10300,Balranald,12,Outer Regional Australia,0.8518425,Poor,Good,0
10300,Balranald,13,Remote Australia,0.1481575,Poor,Good,0
10470,Bathurst,11,Inner Regional Australia,0.9812102,Acceptable,Good,0
10470,Bathurst,12,Outer Regional Australia,0.0187898,Poor,Good,0
10500,Bayside (NSW),10,Major Cities of Australia,1,Good,Good,0
10550,Bega Valley,12,Outer Regional Australia,1,Poor,Good,0
10600,Bellingen,12,Outer Regional Australia,1,Poor,Good,0
10650,Berrigan,11,Inner Regional Australia,0.7740287,Acceptable,Good,0
10650,Berrigan,12,Outer Regional Australia,0.2259713,Poor,Good,0
10750,Blacktown,10,Major Cities of Australia,1,Good,Good,0
10800,Bland,12,Outer Regional Australia,0.9773133,Poor,Good,0
10800,Bland,13,Remote Australia,0.0226867,Poor,Good,0
10850,Blayney,11,Inner Regional Australia,0.8701108,Acceptable,Good,0
10850,Blayney,12,Outer Regional Australia,0.1298892,Poor,Good,0
10900,Blue Mountains,10,Major Cities of Australia,0.9161699,Good,Good,0
10900,Blue Mountains,11,Inner Regional Australia,0.0838299,Acceptable,Good,0
10900,Blue Mountains,12,Outer Regional Australia,1.00E-07,Poor,Good,1
10950,Bogan,13,Remote Australia,0.9959286,Poor,Good,0
10950,Bogan,14,Very Remote Australia,0.0040714,Poor,Good,1
11150,Bourke,13,Remote Australia,0.6508288,Poor,Good,0
11150,Bourke,14,Very Remote Australia,0.3491712,Poor,Good,0
11200,Brewarrina,13,Remote Australia,0.0125291,Poor,Good,0
11200,Brewarrina,14,Very Remote Australia,0.9874709,Poor,Good,0
11250,Broken Hill,12,Outer Regional Australia,1,Poor,Good,0
11300,Burwood,10,Major Cities of Australia,1,Good,Good,0
11350,Byron,11,Inner Regional Australia,1,Acceptable,Good,0
11400,Cabonne,11,Inner Regional Australia,0.6043131,Acceptable,Good,0
11400,Cabonne,12,Outer Regional Australia,0.3956869,Poor,Good,0
11450,Camden,10,Major Cities of Australia,1,Good,Good,0
11500,Campbelltown (NSW),10,Major Cities of Australia,0.9999999,Good,Good,0
11500,Campbelltown (NSW),11,Inner Regional Australia,1.00E-07,Acceptable,Good,1
11520,Canada Bay,10,Major Cities of Australia,1,Good,Good,0
11570,Canterbury-Bankstown,10,Major Cities of Australia,1,Good,Good,0
11600,Carrathool,12,Outer Regional Australia,0.3485976,Poor,Good,0
11600,Carrathool,13,Remote Australia,0.6514024,Poor,Good,0
11650,Central Coast (NSW),10,Major Cities of Australia,0.9808336,Good,Good,0
11650,Central Coast (NSW),11,Inner Regional Australia,0.0191664,Acceptable,Good,0
11700,Central Darling,14,Very Remote Australia,1,Poor,Good,0
11720,Cessnock,10,Major Cities of Australia,0.3228944,Good,Good,0
11720,Cessnock,11,Inner Regional Australia,0.6771056,Acceptable,Good,0
11730,Clarence Valley,11,Inner Regional Australia,0.8007906,Acceptable,Good,0
11730,Clarence Valley,12,Outer Regional Australia,0.1992094,Poor,Good,0
11750,Cobar,13,Remote Australia,0.8972525,Poor,Good,0
11750,Cobar,14,Very Remote Australia,0.1027475,Poor,Good,0
11800,Coffs Harbour,11,Inner Regional Australia,0.9746676,Acceptable,Good,0
11800,Coffs Harbour,12,Outer Regional Australia,0.0253324,Poor,Good,0
12000,Coolamon,11,Inner Regional Australia,0.5947349,Acceptable,Good,0
