SA2_CODE_2021,SA2_NAME_2021,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
108021158,Nambucca Heads,104005,Coffs Harbour - Nambucca,1,Good,Good,0
108021159,Nambucca Heads Surrounds,104005,Coffs Harbour - Nambucca,1,Good,Good,0
108021160,South West Rocks,104009,Kempsey,1,Good,Good,0
108031161,Lord Howe Island,107018,Lord Howe Island,1,Good,Good,0
108041162,Laurieton - Bonny Hills,104015,Port Macquarie - Hastings,1,Good,Good,0
108041164,Port Macquarie - West,104015,Port Macquarie - Hastings,1,Good,Good,0
108041165,Port Macquarie Surrounds,104015,Port Macquarie - Hastings,1,Good,Good,0
108041166,Wauchope,104015,Port Macquarie - Hastings,1,Good,Good,0
108041619,Port Macquarie - East,104015,Port Macquarie - Hastings,1,Good,Good,0
108041620,Port Macquarie - South,104015,Port Macquarie - Hastings,1,Good,Good,0
108051167,Gloucester,104006,Gloucester - Dungog,1,Good,Good,0
108051168,Old Bar - Manning Point - Red Head,104019,Taree,1,Good,Good,0
108051169,Taree,104019,Taree,1,Good,Good,0
108051170,Taree Surrounds,104019,Taree,1,Good,Good,0
108051171,Wingham,104019,Taree,1,Good,Good,0
109011172,Albury - East,105001,Albury,1,Good,Good,0
109011173,Albury - North,105001,Albury,1,Good,Good,0
109011174,Albury - South,105001,Albury,1,Good,Good,0
109011175,Albury Surrounds,105001,Albury,0.1859433,Good,Good,0
109011175,Albury Surrounds,105020,Upper Murray,0.8140567,Acceptable,Good,0
109011176,Lavington,105001,Albury,1,Good,Good,0
109021177,Hay,105006,Central Murray,1,Acceptable,Good,0
109021178,Wentworth - Buronga,105002,Balranald - Wentworth,1,Good,Good,0
109021179,Wentworth-Balranald Region,105002,Balranald - Wentworth,0.8785511,Good,Good,0
109021179,Wentworth-Balranald Region,105006,Central Murray,0.1214489,Acceptable,Good,0
109031180,Corowa,105020,Upper Murray,1,Acceptable,Good,0
109031181,Corowa Surrounds,105020,Upper Murray,1,Acceptable,Good,0
109031182,Deniliquin,105010,Deniliquin - Murray,1,Good,Good,0
109031183,Deniliquin Surrounds,105006,Central Murray,0.7260824,Acceptable,Good,0
109031183,Deniliquin Surrounds,105010,Deniliquin - Murray,0.2739176,Good,Good,0
109031184,Moama,105010,Deniliquin - Murray,1,Good,Good,0
109031185,Tocumwal - Finley - Jerilderie,105006,Central Murray,1,Acceptable,Good,0
110011186,Armidale,102001,Armidale,1,Good,Good,0
110011187,Armidale Surrounds - North,102001,Armidale,0.3185294,Good,Good,0
110011187,Armidale Surrounds - North,102004,Guyra - Tingha,0.6814706,Poor,Good,0
110011188,Armidale Surrounds - South,102001,Armidale,0.0741597,Good,Good,0
110011188,Armidale Surrounds - South,102014,Uralla - Walcha,0.9258403,Good,Good,0
110011189,Walcha,102014,Uralla - Walcha,1,Good,Good,0
110021190,Glen Innes,102002,Glen Innes,1,Good,Good,0
110021191,Inverell,102005,Inverell - Gwydir,1,Good,Good,0
110021192,Inverell Surrounds - East,102004,Guyra - Tingha,0.3100027,Poor,Good,0
110021192,Inverell Surrounds - East,102005,Inverell - Gwydir,0.6899973,Good,Good,0
110021193,Inverell Surrounds - West,102005,Inverell - Gwydir,1,Good,Good,0
110021194,Tenterfield,102012,Tenterfield - Jubullum Village,1,Good,Good,0
110031195,Moree,102007,Moree,0.9486184,Good,Good,0
110031195,Moree,102008,Moree Plains,0.0513816,Acceptable,Good,0
110031196,Moree Surrounds,102005,Inverell - Gwydir,0.0687113,Good,Good,0
110031196,Moree Surrounds,102008,Moree Plains,0.9312887,Acceptable,Good,0
110031197,Narrabri,102010,Narrabri,1,Good,Good,0
110031198,Narrabri Surrounds,102010,Narrabri,1,Good,Good,0
110041199,Gunnedah,102003,Gunnedah,1,Good,Good,0
110041200,Gunnedah Surrounds,102003,Gunnedah,0.7278176,Good,Good,0
110041200,Gunnedah Surrounds,102010,Narrabri,0.2721824,Good,Good,0
110041201,Quirindi,102006,Liverpool Plains,1,Good,Good,0
110041202,Tamworth - East,102011,Tamworth,1,Good,Good,0
110041203,Tamworth - North,102011,Tamworth,1,Good,Good,0
110041204,Tamworth - West,102011,Tamworth,1,Good,Good,0
110041205,Tamworth Surrounds,102011,Tamworth,1,Good,Good,0
111011206,Belmont - Bennetts Green,104022,Lake Macquarie,1,Good,Good,0
111011207,Belmont South - Blacksmiths,104022,Lake Macquarie,1,Good,Good,0
111011208,Charlestown - Dudley,104022,Lake Macquarie,1,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,104014,Newcastle,0.0184606,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,104022,Lake Macquarie,0.9815394,Good,Good,0
111011210,Mount Hutton - Windale,104022,Lake Macquarie,1,Good,Good,0
111011211,Redhead,104022,Lake Macquarie,1,Good,Good,0
111011212,Swansea - Caves Beach,104022,Lake Macquarie,1,Good,Good,0
111011213,Valentine - Eleebana,104022,Lake Macquarie,1,Good,Good,0
111011214,Warners Bay - Boolaroo,104022,Lake Macquarie,1,Good,Good,0
111021215,Bolton Point - Teralba,104022,Lake Macquarie,1,Good,Good,0
111021216,Bonnells Bay - Silverwater,104022,Lake Macquarie,1,Good,Good,0
111021217,Edgeworth - Cameron Park,104022,Lake Macquarie,1,Good,Good,0
111021218,Morisset - Cooranbong,104022,Lake Macquarie,0.7738973,Good,Good,0
111021218,Morisset - Cooranbong,104023,Wyong,0.2261027,Good,Good,0
111021219,Toronto - Awaba,104022,Lake Macquarie,1,Good,Good,0
111021220,Wangi Wangi - Rathmines,104022,Lake Macquarie,1,Good,Good,0
111021221,West Wallsend - Barnsley - Killingworth,104022,Lake Macquarie,1,Good,Good,0
111031222,Adamstown - Kotara,104014,Newcastle,0.8454665,Good,Good,0
111031222,Adamstown - Kotara,104022,Lake Macquarie,0.1545335,Good,Good,0
111031223,Beresfield - Hexham,104013,Maitland,0.3556476,Good,Good,0
111031223,Beresfield - Hexham,104014,Newcastle,0.6443524,Good,Good,0
111031224,Hamilton - Broadmeadow,104014,Newcastle,1,Good,Good,0
111031225,Lambton - New Lambton,104014,Newcastle,1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,104014,Newcastle,1,Good,Good,0
111031227,Mayfield - Warabrook,104014,Newcastle,1,Good,Good,0
111031228,Merewether - The Junction,104014,Newcastle,1,Good,Good,0
111031229,Newcastle - Cooks Hill,104014,Newcastle,1,Good,Good,0
111031230,Newcastle Port - Kooragang,104014,Newcastle,1,Good,Good,0
111031231,Shortland - Jesmond,104014,Newcastle,1,Good,Good,0
111031232,Stockton - Fullerton Cove,104014,Newcastle,0.4585472,Good,Good,0
111031232,Stockton - Fullerton Cove,104016,Port Stephens,0.5414528,Good,Good,0
111031233,Wallsend - Elermore Vale,104014,Newcastle,0.985846,Good,Good,0
111031233,Wallsend - Elermore Vale,104022,Lake Macquarie,0.014154,Good,Good,0
111031234,Waratah - North Lambton,104014,Newcastle,1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,104014,Newcastle,1,Good,Good,0
112011236,Ballina,104001,Ballina - Bagotville,1,Good,Good,0
112011237,Ballina Surrounds,104001,Ballina - Bagotville,1,Good,Good,0
112011238,Bangalow,104002,Byron,1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,104002,Byron,1,Good,Good,0
112011240,Byron Bay,104002,Byron,1,Good,Good,0
112011241,Evans Head,104017,Richmond Valley,1,Good,Good,0
112011242,Lennox Head - Skennars Head,104001,Ballina - Bagotville,1,Good,Good,0
112011243,Mullumbimby,104002,Byron,1,Good,Good,0
112021244,Casino,104017,Richmond Valley,1,Good,Good,0
112021245,Casino Surrounds,104010,Kyogle,0.2242766,Acceptable,Good,0
112021245,Casino Surrounds,104017,Richmond Valley,0.7757234,Good,Good,0
112021246,Goonellabah,104012,Lismore,1,Good,Good,0
112021247,Kyogle,104010,Kyogle,1,Acceptable,Good,0
112021248,Lismore,104012,Lismore,1,Good,Good,0
112021249,Lismore Surrounds,104002,Byron,0.0138327,Good,Good,0
112021249,Lismore Surrounds,104012,Lismore,0.9861673,Good,Good,0
112031250,Kingscliff - Fingal Head,104020,Tweed,1,Good,Good,0
112031251,Murwillumbah,104020,Tweed,1,Good,Good,0
112031252,Murwillumbah Surrounds,104020,Tweed,1,Good,Good,0
112031253,Pottsville,104020,Tweed,1,Good,Good,0
112031254,Tweed Heads,104020,Tweed,1,Good,Good,0
112031550,Banora Point,104020,Tweed,1,Good,Good,0
112031551,Terranora - North Tumbulgum,104020,Tweed,1,Good,Good,0
112031552,Tweed Heads South,104020,Tweed,1,Good,Good,0
113011256,Griffith (NSW),105012,Griffith - Leeton,1,Good,Good,0
113011257,Griffith Surrounds,105005,Carrathool - Murrumbidgee,0.3934716,Poor,Good,0
113011257,Griffith Surrounds,105006,Central Murray,0.0177283,Acceptable,Good,0
113011257,Griffith Surrounds,105012,Griffith - Leeton,0.5888001,Good,Good,0
113011258,Leeton,105012,Griffith - Leeton,1,Good,Good,0
113011259,Narrandera,105012,Griffith - Leeton,0.0310653,Good,Good,0
113011259,Narrandera,105017,Narrandera,0.9349368,Good,Good,0
113011259,Narrandera,105020,Upper Murray,0.0339979,Acceptable,Good,0
113021260,Tumbarumba,105020,Upper Murray,1,Acceptable,Good,0
113021261,Tumut,105019,Tumut,1,Good,Good,0
113021262,Tumut Surrounds,105019,Tumut,1,Good,Good,0
113031263,Cootamundra,105008,Cootamundra,1,Good,Good,0
113031264,Gundagai,105013,Gundagai - Junee - Harden,1,Acceptable,Good,0
113031265,Junee,105013,Gundagai - Junee - Harden,1,Acceptable,Good,0
113031266,Temora,105007,Coolamon - Temora - West Wyalong,1,Acceptable,Good,0
113031267,Wagga Wagga - East,105021,Wagga Wagga,1,Good,Good,0
113031268,Wagga Wagga - North,105021,Wagga Wagga,1,Good,Good,0
113031269,Wagga Wagga - South,105021,Wagga Wagga,1,Good,Good,0
113031270,Wagga Wagga - West,105021,Wagga Wagga,1,Good,Good,0
113031271,Wagga Wagga Surrounds,105007,Coolamon - Temora - West Wyalong,0.2144226,Acceptable,Good,0
113031271,Wagga Wagga Surrounds,105020,Upper Murray,0.1866344,Acceptable,Good,0
113031271,Wagga Wagga Surrounds,105021,Wagga Wagga,0.598943,Good,Good,0
114011272,Berry - Kangaroo Valley,106003,Shoalhaven,1,Good,Good,0
114011273,Callala Bay - Currarong,106003,Shoalhaven,1,Good,Good,0
114011274,Culburra Beach,106003,Shoalhaven,1,Good,Good,0
114011275,Ettrema - Sassafras - Budawang,106003,Shoalhaven,1,Good,Good,0
114011276,Huskisson - Vincentia,106003,Shoalhaven,1,Good,Good,0
114011277,North Nowra - Bomaderry,106003,Shoalhaven,1,Good,Good,0
114011278,Nowra,106003,Shoalhaven,1,Good,Good,0
114011279,St Georges Basin - Erowal Bay,106003,Shoalhaven,1,Good,Good,0
114011280,Sussex Inlet - Berrara,106003,Shoalhaven,1,Good,Good,0
114011281,Tomerong - Wandandian - Woollamia,106003,Shoalhaven,1,Good,Good,0
114011282,Ulladulla,106003,Shoalhaven,1,Good,Good,0
114011283,Ulladulla Surrounds,106003,Shoalhaven,1,Good,Good,0
114021284,Bowral,106005,Southern Tablelands,1,Good,Good,0
114021285,Hill Top - Colo Vale,106005,Southern Tablelands,1,Good,Good,0
114021286,Mittagong,106005,Southern Tablelands,1,Good,Good,0
114021287,Moss Vale - Berrima,106005,Southern Tablelands,1,Good,Good,0
114021288,Robertson - Fitzroy Falls,106005,Southern Tablelands,1,Good,Good,0
114021289,Southern Highlands,106005,Southern Tablelands,1,Good,Good,0
115011290,Baulkham Hills - East,107002,Baulkham Hills,1,Good,Good,0
115011291,Baulkham Hills (West) - Bella Vista,107002,Baulkham Hills,1,Good,Good,0
115011294,Glenhaven,107002,Baulkham Hills,0.9406948,Good,Good,0
115011294,Glenhaven,107012,Hornsby - Ku-ring-gai,0.0593052,Good,Good,0
115011296,West Pennant Hills,107002,Baulkham Hills,1,Good,Good,0
115011553,Castle Hill - Central,107002,Baulkham Hills,1,Good,Good,0
115011554,Castle Hill - East,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
115011555,Castle Hill - North,107002,Baulkham Hills,1,Good,Good,0
115011556,Castle Hill - South,107002,Baulkham Hills,1,Good,Good,0
115011557,Castle Hill - West,107002,Baulkham Hills,1,Good,Good,0
115011558,Cherrybrook,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
115011621,Kellyville - East,107002,Baulkham Hills,1,Good,Good,0
115011622,Kellyville - West,107002,Baulkham Hills,1,Good,Good,0
115021297,Dural - Kenthurst - Wisemans Ferry,107002,Baulkham Hills,0.6615154,Good,Good,0
115021297,Dural - Kenthurst - Wisemans Ferry,107012,Hornsby - Ku-ring-gai,0.3384846,Good,Good,0
115021298,Galston - Laughtondale,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
115031299,Bilpin - Colo - St Albans,107010,Hawkesbury,1,Good,Good,0
115031300,Kurrajong Heights - Ebenezer,107010,Hawkesbury,1,Good,Good,0
115041301,Pitt Town - McGraths Hill,107002,Baulkham Hills,0.0372955,Good,Good,0
115041301,Pitt Town - McGraths Hill,107010,Hawkesbury,0.9627045,Good,Good,0
115041623,Box Hill - Nelson,107002,Baulkham Hills,1,Good,Good,0
115041624,North Kellyville,107002,Baulkham Hills,1,Good,Good,0
115041625,Rouse Hill - Beaumont Hills,107002,Baulkham Hills,1,Good,Good,0
116011303,Blacktown (East) - Kings Park,107003,Blacktown,1,Good,Good,0
116011304,Blacktown (North) - Marayong,107003,Blacktown,1,Good,Good,0
116011306,Doonside - Woodcroft,107003,Blacktown,1,Good,Good,0
116011307,Lalor Park - Kings Langley,107002,Baulkham Hills,0.0356161,Good,Good,0
116011307,Lalor Park - Kings Langley,107003,Blacktown,0.9643839,Good,Good,0
116011560,Blacktown - South,107003,Blacktown,1,Good,Good,0
