SED_CODE_2021,SED_NAME_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Albury,10055,Murray,0.0221177,Good,Acceptable,0
10001,Albury,10001,Albury,0.9778823,Good,Acceptable,0
10002,Auburn,10032,Granville,0.1152238,Poor,Acceptable,0
10002,Auburn,10064,Parramatta,0.295649,Poor,Acceptable,0
10002,Auburn,10002,Auburn,0.5891272,Poor,Acceptable,0
10003,Ballina,10045,Lismore,0.0321618,Good,Acceptable,0
10003,Ballina,10004,Ballina,0.9678382,Good,Acceptable,0
10004,Balmain,10005,Balmain,1,Good,Acceptable,0
10005,Bankstown,10027,East Hills,0.0517021,Good,Acceptable,0
10005,Bankstown,10029,Fairfield,0.2102144,Poor,Acceptable,0
10005,Bankstown,10006,Bankstown,0.356016,Poor,Acceptable,0
10005,Bankstown,10002,Auburn,0.3820675,Poor,Acceptable,0
10006,Barwon,10007,Barwon,1,Good,Acceptable,0
10007,Bathurst,10008,Bathurst,1,Good,Acceptable,0
10008,Baulkham Hills,10028,Epping,0.1179477,Poor,Acceptable,0
10008,Baulkham Hills,10039,Kellyville,0.3770517,Poor,Acceptable,0
10008,Baulkham Hills,10016,Castle Hill,0.5050006,Poor,Acceptable,0
10009,Bega,10009,Bega,1,Good,Acceptable,0
10010,Blacktown,10090,Winston Hills,0.1791269,Poor,Acceptable,0
10010,Blacktown,10010,Blacktown,0.8208731,Poor,Acceptable,0
10011,Blue Mountains,10011,Blue Mountains,1,Good,Acceptable,0
10012,Cabramatta,10046,Liverpool,0.1688616,Poor,Acceptable,0
10012,Cabramatta,10012,Cabramatta,0.8311384,Poor,Acceptable,0
10013,Camden,10014,Campbelltown,0.0006241,Acceptable,Acceptable,1
10013,Camden,10044,Leppington,0.1306061,Poor,Acceptable,0
10013,Camden,10003,Badgerys Creek,0.1918571,Poor,Acceptable,0
10013,Camden,10013,Camden,0.6769127,Poor,Acceptable,0
10014,Campbelltown,10044,Leppington,0.0638587,Poor,Acceptable,0
10014,Campbelltown,10014,Campbelltown,0.9361413,Acceptable,Acceptable,0
