LGA_CODE_2021,LGA_NAME_2021,LGA_CODE_2022,LGA_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,10050,Albury,1,Good,Good,0
10180,Armidale Regional,10180,Armidale,1,Good,Good,0
10250,Ballina,10250,Ballina,1,Good,Good,0
10300,Balranald,10300,Balranald,1,Good,Good,0
10470,Bathurst Regional,10470,Bathurst,1,Good,Good,0
10500,Bayside (NSW),10500,Bayside (NSW),1,Good,Good,0
10550,Bega Valley,10550,Bega Valley,1,Good,Good,0
10600,Bellingen,10600,Bellingen,1,Good,Good,0
10650,Berrigan,10650,Berrigan,1,Good,Good,0
10750,Blacktown,10750,Blacktown,1,Good,Good,0
10800,Bland,10800,Bland,1,Good,Good,0
10850,Blayney,10850,Blayney,1,Good,Good,0
10900,Blue Mountains,10900,Blue Mountains,1,Good,Good,0
10950,Bogan,10950,Bogan,1,Good,Good,0
11150,Bourke,11150,Bourke,1,Good,Good,0
11200,Brewarrina,11200,Brewarrina,1,Good,Good,0
11250,Broken Hill,11250,Broken Hill,1,Good,Good,0
11300,Burwood,11300,Burwood,1,Good,Good,0
11350,Byron,11350,Byron,1,Good,Good,0
11400,Cabonne,11400,Cabonne,1,Good,Good,0
11450,Camden,11450,Camden,1,Good,Good,0
11500,Campbelltown (NSW),11500,Campbelltown (NSW),1,Good,Good,0
11520,Canada Bay,11520,Canada Bay,1,Good,Good,0
11570,Canterbury-Bankstown,11570,Canterbury-Bankstown,1,Good,Good,0
11600,Carrathool,11600,Carrathool,1,Good,Good,0
11650,Central Coast (NSW),11650,Central Coast (NSW),1,Good,Good,0
11700,Central Darling,11700,Central Darling,1,Good,Good,0
11720,Cessnock,11720,Cessnock,1,Good,Good,0
11730,Clarence Valley,11730,Clarence Valley,1,Good,Good,0
11750,Cobar,11750,Cobar,1,Good,Good,0
11800,Coffs Harbour,11800,Coffs Harbour,1,Good,Good,0
12000,Coolamon,12000,Coolamon,1,Good,Good,0
12150,Coonamble,12150,Coonamble,1,Good,Good,0
12160,Cootamundra-Gundagai Regional,12160,Cootamundra-Gundagai,1,Good,Good,0
12350,Cowra,12350,Cowra,1,Good,Good,0
12380,Cumberland,12380,Cumberland,1,Good,Good,0
12390,Dubbo Regional,12390,Dubbo,1,Good,Good,0
12700,Dungog,12700,Dungog,1,Good,Good,0
12730,Edward River,12730,Edward River,1,Good,Good,0
12750,Eurobodalla,12750,Eurobodalla,1,Good,Good,0
12850,Fairfield,12850,Fairfield,1,Good,Good,0
12870,Federation,12870,Federation,1,Good,Good,0
12900,Forbes,12900,Forbes,1,Good,Good,0
12930,Georges River,12930,Georges River,1,Good,Good,0
12950,Gilgandra,12950,Gilgandra,1,Good,Good,0
13010,Glen Innes Severn,13010,Glen Innes Severn,1,Good,Good,0
13310,Goulburn Mulwaree,13310,Goulburn Mulwaree,1,Good,Good,0
13340,Greater Hume Shire,13340,Greater Hume,1,Good,Good,0
13450,Griffith,13450,Griffith,1,Good,Good,0
13550,Gunnedah,13550,Gunnedah,1,Good,Good,0
13660,Gwydir,13660,Gwydir,1,Good,Good,0
13800,Hawkesbury,13800,Hawkesbury,1,Good,Good,0
13850,Hay,13850,Hay,1,Good,Good,0
13910,Hilltops,13910,Hilltops,1,Good,Good,0
14000,Hornsby,14000,Hornsby,1,Good,Good,0
14100,Hunters Hill,14100,Hunters Hill,1,Good,Good,0
14170,Inner West,14170,Inner West,1,Good,Good,0
14220,Inverell,14220,Inverell,1,Good,Good,0
14300,Junee,14300,Junee,1,Good,Good,0
14350,Kempsey,14350,Kempsey,1,Good,Good,0
14400,Kiama,14400,Kiama,1,Good,Good,0
14500,Ku-ring-gai,14500,Ku-ring-gai,1,Good,Good,0
14550,Kyogle,14550,Kyogle,1,Good,Good,0
14600,Lachlan,14600,Lachlan,1,Good,Good,0
14650,Lake Macquarie,14650,Lake Macquarie,1,Good,Good,0
14700,Lane Cove,14700,Lane Cove,1,Good,Good,0
14750,Leeton,14750,Leeton,1,Good,Good,0
14850,Lismore,14850,Lismore,1,Good,Good,0
14870,Lithgow,14870,Lithgow,1,Good,Good,0
14900,Liverpool,14900,Liverpool,1,Good,Good,0
14920,Liverpool Plains,14920,Liverpool Plains,1,Good,Good,0
14950,Lockhart,14950,Lockhart,1,Good,Good,0
15050,Maitland,15050,Maitland,1,Good,Good,0
15240,Mid-Coast,15240,Mid-Coast,1,Good,Good,0
15270,Mid-Western Regional,15270,Mid-Western,1,Good,Good,0
15300,Moree Plains,15300,Moree Plains,1,Good,Good,0
15350,Mosman,15350,Mosman,1,Good,Good,0
15520,Murray River,15520,Murray River,1,Good,Good,0
15560,Murrumbidgee,15560,Murrumbidgee,1,Good,Good,0
15650,Muswellbrook,15650,Muswellbrook,1,Good,Good,0
15700,Nambucca Valley,15700,Nambucca Valley,1,Good,Good,0
15750,Narrabri,15750,Narrabri,1,Good,Good,0
15800,Narrandera,15800,Narrandera,1,Good,Good,0
15850,Narromine,15850,Narromine,1,Good,Good,0
15900,Newcastle,15900,Newcastle,1,Good,Good,0
15950,North Sydney,15950,North Sydney,1,Good,Good,0
15990,Northern Beaches,15990,Northern Beaches,1,Good,Good,0
16100,Oberon,16100,Oberon,1,Good,Good,0
16150,Orange,16150,Orange,1,Good,Good,0
16200,Parkes,16200,Parkes,1,Good,Good,0
16260,Parramatta,16260,Parramatta,1,Good,Good,0
16350,Penrith,16350,Penrith,1,Good,Good,0
16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,1,Good,Good,0
16400,Port Stephens,16400,Port Stephens,1,Good,Good,0
16490,Queanbeyan-Palerang Regional,16490,Queanbeyan-Palerang,1,Good,Good,0
16550,Randwick,16550,Randwick,1,Good,Good,0
16610,Richmond Valley,16610,Richmond Valley,1,Good,Good,0
16700,Ryde,16700,Ryde,1,Good,Good,0
16900,Shellharbour,16900,Shellharbour,1,Good,Good,0
16950,Shoalhaven,16950,Shoalhaven,1,Good,Good,0
17000,Singleton,17000,Singleton,1,Good,Good,0
17040,Snowy Monaro Regional,17040,Snowy Monaro,1,Good,Good,0
17080,Snowy Valleys,17080,Snowy Valleys,1,Good,Good,0
17100,Strathfield,17100,Strathfield,1,Good,Good,0
17150,Sutherland Shire,17150,Sutherland,1,Good,Good,0
17200,Sydney,17200,Sydney,1,Good,Good,0
17310,Tamworth Regional,17310,Tamworth,1,Good,Good,0
17350,Temora,17350,Temora,1,Good,Good,0
17400,Tenterfield,17400,Tenterfield,1,Good,Good,0
17420,The Hills Shire,17420,The Hills,1,Good,Good,0
17550,Tweed,17550,Tweed,1,Good,Good,0
17620,Upper Hunter Shire,17620,Upper Hunter,1,Good,Good,0
17640,Upper Lachlan Shire,17640,Upper Lachlan,1,Good,Good,0
17650,Uralla,17650,Uralla,1,Good,Good,0
17750,Wagga Wagga,17750,Wagga Wagga,1,Good,Good,0
17850,Walcha,17850,Walcha,1,Good,Good,0
17900,Walgett,17900,Walgett,1,Good,Good,0
17950,Warren,17950,Warren,1,Good,Good,0
18020,Warrumbungle Shire,18020,Warrumbungle,1,Good,Good,0
18050,Waverley,18050,Waverley,1,Good,Good,0
18100,Weddin,18100,Weddin,1,Good,Good,0
18200,Wentworth,18200,Wentworth,1,Good,Good,0
18250,Willoughby,18250,Willoughby,1,Good,Good,0
18350,Wingecarribee,18350,Wingecarribee,1,Good,Good,0
18400,Wollondilly,18400,Wollondilly,1,Good,Good,0
18450,Wollongong,18450,Wollongong,1,Good,Good,0
18500,Woollahra,18500,Woollahra,1,Good,Good,0
18710,Yass Valley,18710,Yass Valley,1,Good,Good,0
19399,Unincorporated NSW,19399,Unincorporated NSW,1,Good,Good,0
19499,No usual address (NSW),19499,No usual address (NSW),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20110,Alpine,20110,Alpine,1,Good,Good,0
20260,Ararat,20260,Ararat,1,Good,Good,0
20570,Ballarat,20570,Ballarat,1,Good,Good,0
20660,Banyule,20660,Banyule,1,Good,Good,0
20740,Bass Coast,20740,Bass Coast,1,Good,Good,0
20830,Baw Baw,20830,Baw Baw,1,Good,Good,0
20910,Bayside (Vic.),20910,Bayside (Vic.),1,Good,Good,0
21010,Benalla,21010,Benalla,1,Good,Good,0
21110,Boroondara,21110,Boroondara,1,Good,Good,0
21180,Brimbank,21180,Brimbank,1,Good,Good,0
21270,Buloke,21270,Buloke,1,Good,Good,0
21370,Campaspe,21370,Campaspe,1,Good,Good,0
21450,Cardinia,21450,Cardinia,1,Good,Good,0
21610,Casey,21610,Casey,1,Good,Good,0
21670,Central Goldfields,21670,Central Goldfields,1,Good,Good,0
21750,Colac Otway,21750,Colac Otway,1,Good,Good,0
21830,Corangamite,21830,Corangamite,1,Good,Good,0
21890,Darebin,21890,Darebin,1,Good,Good,0
22110,East Gippsland,22110,East Gippsland,1,Good,Good,0
22170,Frankston,22170,Frankston,1,Good,Good,0
22250,Gannawarra,22250,Gannawarra,1,Good,Good,0
22310,Glen Eira,22310,Glen Eira,1,Good,Good,0
22410,Glenelg,22410,Glenelg,1,Good,Good,0
22490,Golden Plains,22490,Golden Plains,1,Good,Good,0
