SA2_CODE_2021,SA2_NAME_2021,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
121031407,Gordon - Killara,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
121031408,Lindfield - Roseville,10701201,Hornsby - Ku-ring-gai,0.9825463,Good,Good,0
121031408,Lindfield - Roseville,10702801,Lane Cove - Willoughby,0.0174537,Good,Good,0
121031409,Pymble,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
121031410,St Ives,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
121031411,Turramurra,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
121031412,Wahroonga (East) - Warrawee,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
121041413,Cremorne - Cammeray,10702802,Mosman - North Sydney,1,Good,Good,0
121041414,Crows Nest - Waverton,10702802,Mosman - North Sydney,1,Good,Good,0
121041416,Neutral Bay - Kirribilli,10702802,Mosman - North Sydney,1,Good,Good,0
121041417,North Sydney - Lavender Bay,10702802,Mosman - North Sydney,1,Good,Good,0
121041688,Mosman - North,10702802,Mosman - North Sydney,1,Good,Good,0
121041689,Mosman - South,10702802,Mosman - North Sydney,1,Good,Good,0
122011418,Balgowlah - Clontarf - Seaforth,10702001,Manly - Warringah,1,Good,Good,0
122011419,Manly - Fairlight,10702001,Manly - Warringah,1,Good,Good,0
122021420,Avalon - Palm Beach,10702002,Pittwater,1,Good,Good,0
122021421,Bayview - Elanora Heights,10702002,Pittwater,1,Good,Good,0
122021422,Newport - Bilgola,10702002,Pittwater,1,Good,Good,0
122021690,Mona Vale - Warriewood (North),10702002,Pittwater,1,Good,Good,0
122021691,North Narrabeen - Warriewood (South),10702002,Pittwater,1,Good,Good,0
122031424,Beacon Hill - Narraweena,10702001,Manly - Warringah,1,Good,Good,0
122031425,Cromer,10702001,Manly - Warringah,1,Good,Good,0
122031427,Forestville - Killarney Heights,10702001,Manly - Warringah,1,Good,Good,0
122031429,Freshwater - Brookvale,10702001,Manly - Warringah,1,Good,Good,0
122031430,Manly Vale - Allambie Heights,10702001,Manly - Warringah,1,Good,Good,0
122031432,Terrey Hills - Duffys Forest,10702001,Manly - Warringah,1,Good,Good,0
122031692,Belrose,10702001,Manly - Warringah,1,Good,Good,0
122031693,Collaroy - Collaroy Plateau,10702001,Manly - Warringah,1,Good,Good,0
122031694,Dee Why (South) - North Curl Curl,10702001,Manly - Warringah,1,Good,Good,0
122031695,Dee Why - North,10702001,Manly - Warringah,1,Good,Good,0
122031696,Frenchs Forest - Oxford Falls,10702001,Manly - Warringah,1,Good,Good,0
122031697,Narrabeen - Wheeler Heights,10702001,Manly - Warringah,1,Good,Good,0
123011433,Camden - Ellis Lane,10700601,Camden,1,Good,Good,0
123011698,Currans Hill,10700601,Camden,1,Good,Good,0
123011699,Elderslie - Narellan,10700601,Camden,1,Good,Good,0
123011700,Harrington Park,10700601,Camden,1,Good,Good,0
123011701,Mount Annan,10700601,Camden,1,Good,Good,0
123011702,Spring Farm,10700601,Camden,1,Good,Good,0
123021436,Bradbury - Wedderburn,10700701,Airds,0.162988,Poor,Good,0
123021436,Bradbury - Wedderburn,10700703,Bradbury,0.4707102,Poor,Good,0
123021436,Bradbury - Wedderburn,10700704,Campbelltown - Surrounds,0.0337373,Poor,Good,0
123021436,Bradbury - Wedderburn,10700713,St Helens Park,0.3325646,Poor,Good,0
123021437,Campbelltown - Woodbine,10700705,Campbelltown - Woodbine - Leumeah,1,Acceptable,Good,0
123021438,Claymore - Eagle Vale - Raby,10700706,Claymore - Eagle Vale,0.5342763,Poor,Good,0
123021438,Claymore - Eagle Vale - Raby,10700710,Raby - St Andrews - Kearns,0.4657237,Poor,Good,0
123021439,Holsworthy Military Area,10700704,Campbelltown - Surrounds,1,Poor,Good,0
123021441,Leumeah - Minto Heights,10700704,Campbelltown - Surrounds,0.0666705,Poor,Good,0
123021441,Leumeah - Minto Heights,10700705,Campbelltown - Woodbine - Leumeah,0.5970968,Acceptable,Good,0
123021441,Leumeah - Minto Heights,10700712,Ruse,0.3362326,Poor,Good,0
123021443,Minto - St Andrews,10700709,Minto,0.7291203,Poor,Good,0
123021443,Minto - St Andrews,10700710,Raby - St Andrews - Kearns,0.2708797,Poor,Good,0
123021444,Rosemeadow - Glen Alpine,10700702,Ambarvale - Glen Alpine,0.5670862,Poor,Good,0
123021444,Rosemeadow - Glen Alpine,10700704,Campbelltown - Surrounds,0.0543216,Poor,Good,0
123021444,Rosemeadow - Glen Alpine,10700711,Rosemeadow,0.3785923,Poor,Good,0
123021703,Denham Court - Bardia,10700707,Ingleburn - Denham Court,1,Good,Good,0
123021704,Glenfield,10700708,Macquarie Fields - Glenfield,1,Good,Good,0
123021705,Ingleburn,10700707,Ingleburn - Denham Court,1,Good,Good,0
123021706,Macquarie Fields,10700708,Macquarie Fields - Glenfield,1,Good,Good,0
123031445,Bargo,10702901,Wollondilly,1,Good,Good,0
123031446,Douglas Park - Appin,10702901,Wollondilly,1,Good,Good,0
123031447,Picton - Tahmoor - Buxton,10702901,Wollondilly,1,Good,Good,0
123031448,The Oaks - Oakdale,10702901,Wollondilly,1,Good,Good,0
124011449,Blackheath - Megalong Valley,10700402,Blue Mountains -  Surrounds,1,Poor,Good,0
124011450,Blaxland - Warrimoo - Lapstone,10700401,Blaxland - Glenbrook,0.7083392,Poor,Good,0
124011450,Blaxland - Warrimoo - Lapstone,10700402,Blue Mountains -  Surrounds,0.2916608,Poor,Good,0
124011451,Blue Mountains - North,10700402,Blue Mountains -  Surrounds,1,Poor,Good,0
124011452,Katoomba - Leura,10700402,Blue Mountains -  Surrounds,0.0666254,Poor,Good,0
124011452,Katoomba - Leura,10700403,Katoomba,0.9333746,Good,Good,0
124011453,Lawson - Hazelbrook - Linden,10700402,Blue Mountains -  Surrounds,0.0251047,Poor,Good,0
124011453,Lawson - Hazelbrook - Linden,10700404,Lawson,0.9748953,Good,Good,0
124011454,Springwood - Winmalee,10700402,Blue Mountains -  Surrounds,0.6347794,Poor,Good,0
124011454,Springwood - Winmalee,10700405,Springwood,0.3652206,Poor,Good,0
124011455,Wentworth Falls,10700403,Katoomba,1,Good,Good,0
124021456,Blue Mountains - South,10702901,Wollondilly,1,Good,Good,0
124031457,Cambridge Park,10702204,Penrith - Inner East,1,Good,Good,0
124031459,Emu Plains - Leonay,10702207,Penrith - West,1,Good,Good,0
124031460,Glenmore Park - Regentville,10702202,Glenmore Park,1,Good,Good,0
124031461,Jamisontown - South Penrith,10702203,Penrith - Central,1,Good,Good,0
124031462,Kingswood - Werrington,10702204,Penrith - Inner East,1,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,10702206,Penrith - South,1,Good,Good,0
124031464,Penrith,10702203,Penrith - Central,1,Good,Good,0
124031465,Warragamba - Silverdale,10702901,Wollondilly,1,Good,Good,0
124031707,Cranebrook - Castlereagh,10702201,Cranebrook - Londonberry,1,Good,Good,0
124031708,Jordan Springs - Llandilo,10702201,Cranebrook - Londonberry,1,Good,Good,0
124041466,Richmond - Clarendon,10701001,Hawkesbury,0.1745914,Good,Good,0
124041466,Richmond - Clarendon,10701002,Hawkesbury - Richmond,0.8254086,Acceptable,Good,0
124041467,Windsor - Bligh Park,10701003,Hawkesbury - Windsor,1,Good,Good,0
124041468,Yarramundi - Londonderry,10702201,Cranebrook - Londonberry,1,Good,Good,0
124051469,Erskine Park,10702206,Penrith - South,1,Good,Good,0
124051470,St Clair,10702206,Penrith - South,1,Good,Good,0
124051580,Colyton - Oxley Park,10702205,Penrith - Outer East,1,Good,Good,0
124051581,St Marys - North St Marys,10702205,Penrith - Outer East,1,Good,Good,0
125011475,Rookwood Cemetery,10700101,Auburn,1,Good,Good,0
125011582,Auburn - Central,10700101,Auburn,1,Good,Good,0
125011583,Auburn - North,10700101,Auburn,1,Good,Good,0
125011584,Auburn - South,10700101,Auburn,1,Good,Good,0
125011585,Berala,10700101,Auburn,1,Good,Good,0
125011586,Lidcombe,10700101,Auburn,1,Good,Good,0
125011587,Regents Park,10700101,Auburn,0.849539,Good,Good,0
125011587,Regents Park,10700802,Bankstown - North-West,0.150461,Good,Good,0
125011709,Silverwater - Newington,10700101,Auburn,1,Good,Good,0
125011710,Wentworth Point - Sydney Olympic Park,10700101,Auburn,1,Good,Good,0
125021477,Ermington - Rydalmere,10702101,Parramatta - Central,0.0144353,Acceptable,Good,0
125021477,Ermington - Rydalmere,10702102,Parramatta - North-East,0.9855647,Poor,Good,0
125021478,Oatlands - Dundas Valley,10700201,Baulkham Hills,0.2138192,Good,Good,0
125021478,Oatlands - Dundas Valley,10702102,Parramatta - North-East,0.7861808,Poor,Good,0
125021711,Carlingford - East,10701201,Hornsby - Ku-ring-gai,0.6894747,Good,Good,0
125021711,Carlingford - East,10702102,Parramatta - North-East,0.3105253,Poor,Good,0
125021712,Carlingford - West,10700201,Baulkham Hills,0.8369942,Good,Good,0
125021712,Carlingford - West,10702102,Parramatta - North-East,0.1630058,Poor,Good,0
125031479,Chester Hill - Sefton,10700802,Bankstown - North-West,1,Good,Good,0
125031480,Fairfield - East,10700901,Fairfield - East,1,Good,Good,0
125031481,Granville - Clyde,10701101,Holroyd,9.00E-07,Good,Good,1
125031481,Granville - Clyde,10702101,Parramatta - Central,0.1500558,Acceptable,Good,0
125031481,Granville - Clyde,10702104,Parramatta - South,0.8499434,Good,Good,0
125031483,Guildford - South Granville,10702104,Parramatta - South,1,Good,Good,0
125031484,Guildford West - Merrylands West,10701101,Holroyd,1,Good,Good,0
125031486,Smithfield Industrial,10701101,Holroyd,1,Good,Good,0
125031487,Yennora Industrial,10701101,Holroyd,1,Good,Good,0
125031713,Greystanes - South,10701101,Holroyd,1,Good,Good,0
125031714,Merrylands - Holroyd,10701101,Holroyd,1,Good,Good,0
125031715,Pemulwuy - Greystanes (North),10701101,Holroyd,1,Good,Good,0
125031716,South Wentworthville,10701101,Holroyd,1,Good,Good,0
125041489,North Parramatta,10700201,Baulkham Hills,0.0093697,Good,Good,1
125041489,North Parramatta,10702101,Parramatta - Central,0.9906303,Acceptable,Good,0
125041490,North Rocks,10700201,Baulkham Hills,1,Good,Good,0
125041491,Northmead,10700201,Baulkham Hills,0.263026,Good,Good,0
125041491,Northmead,10702101,Parramatta - Central,0.3638243,Acceptable,Good,0
125041491,Northmead,10702103,Parramatta - North-West,0.3731497,Acceptable,Good,0
125041493,Toongabbie - Constitution Hill,10702103,Parramatta - North-West,1,Acceptable,Good,0
125041494,Winston Hills,10700201,Baulkham Hills,0.0495305,Good,Good,0
125041494,Winston Hills,10702103,Parramatta - North-West,0.9504695,Acceptable,Good,0
125041588,Pendle Hill - Girraween,10701101,Holroyd,1,Good,Good,0
125041589,Wentworthville - Westmead,10701101,Holroyd,1,Good,Good,0
125041717,Parramatta - North,10702101,Parramatta - Central,1,Acceptable,Good,0
125041718,Parramatta - South,10701101,Holroyd,0.2645708,Good,Good,0
125041718,Parramatta - South,10702101,Parramatta - Central,0.7354292,Acceptable,Good,0
125041719,Rosehill - Harris Park,10702101,Parramatta - Central,1,Acceptable,Good,0
126011496,Pennant Hills - Cheltenham,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
126011720,Epping (East) - North Epping,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
126011721,Epping (NSW) - West,10701201,Hornsby - Ku-ring-gai,0.4946056,Good,Good,0
126011721,Epping (NSW) - West,10702102,Parramatta - North-East,0.5053944,Poor,Good,0
126021498,Gladesville - Huntleys Point,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021499,Hunters Hill - Woolwich,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021500,Macquarie Park - Marsfield,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021501,North Ryde - East Ryde,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021503,West Ryde - Meadowbank,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021590,Putney,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021722,Denistone,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021723,Eastwood,10701201,Hornsby - Ku-ring-gai,0.0426573,Good,Good,0
126021723,Eastwood,10701301,Hunters Hill - Ryde,0.7439705,Good,Good,0
126021723,Eastwood,10702102,Parramatta - North-East,0.2133722,Poor,Good,0
126021724,Ryde - North,10701301,Hunters Hill - Ryde,1,Good,Good,0
126021725,Ryde - South,10701301,Hunters Hill - Ryde,1,Good,Good,0
127011504,Ashcroft - Busby - Miller,10701701,Liverpool - East,1,Good,Good,0
127011505,Austral - Greendale,10701702,Liverpool - West,1,Good,Good,0
127011592,Badgerys Creek,10701702,Liverpool - West,0.0011976,Good,Good,1
127011592,Badgerys Creek,10702206,Penrith - South,0.9988024,Good,Good,0
127011593,Cecil Hills,10701702,Liverpool - West,1,Good,Good,0
127011594,Green Valley,10701702,Liverpool - West,1,Good,Good,0
127011595,Hinchinbrook,10701702,Liverpool - West,1,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,10701702,Liverpool - West,1,Good,Good,0
127011597,West Hoxton - Middleton Grange,10701702,Liverpool - West,1,Good,Good,0
127011726,Cobbitty - Bringelly,10700601,Camden,1,Good,Good,0
127011727,Gledswood Hills - Gregory Hills,10700601,Camden,1,Good,Good,0
127011728,Leppington - Catherine Field,10700601,Camden,1,Good,Good,0
127011729,Oran Park,10700601,Camden,1,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,10700902,Fairfield - West,1,Good,Good,0
127021510,Bossley Park - Abbotsbury,10700902,Fairfield - West,1,Good,Good,0
127021511,Cabramatta - Lansvale,10700901,Fairfield - East,1,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,10700901,Fairfield - East,0.9698886,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,10701701,Liverpool - East,0.0301114,Good,Good,0
127021513,Canley Vale - Canley Heights,10700901,Fairfield - East,1,Good,Good,0
127021514,Edensor Park,10700902,Fairfield - West,1,Good,Good,0
127021515,Fairfield,10700901,Fairfield - East,1,Good,Good,0
127021516,Fairfield - West,10700901,Fairfield - East,1,Good,Good,0
127021517,Greenfield Park - Prairiewood,10700902,Fairfield - West,1,Good,Good,0
127021518,Horsley Park - Kemps Creek,10700902,Fairfield - West,1,Good,Good,0
127021519,Smithfield - Wetherill Park,10700901,Fairfield - East,0.6748234,Good,Good,0
127021519,Smithfield - Wetherill Park,10700902,Fairfield - West,0.3251766,Good,Good,0
127021520,St Johns Park - Wakeley,10700902,Fairfield - West,1,Good,Good,0
127021521,Wetherill Park Industrial,10700902,Fairfield - West,1,Good,Good,0
127031522,Casula,10701701,Liverpool - East,1,Good,Good,0
127031523,Chipping Norton - Moorebank,10701701,Liverpool - East,1,Good,Good,0
127031524,Holsworthy - Wattle Grove,10701701,Liverpool - East,0.9716656,Good,Good,0
127031524,Holsworthy - Wattle Grove,10702502,Sutherland Shire - West,0.0283344,Good,Good,0
127031599,Lurnea - Cartwright,10701701,Liverpool - East,1,Good,Good,0
127031601,Warwick Farm,10701701,Liverpool - East,1,Good,Good,0
127031730,Edmondson Park,10700707,Ingleburn - Denham Court,0.0473983,Good,Good,0
127031730,Edmondson Park,10701702,Liverpool - West,0.9526017,Good,Good,0
127031731,Liverpool - East,10701701,Liverpool - East,1,Good,Good,0
127031732,Liverpool - West,10701701,Liverpool - East,1,Good,Good,0
127031733,Prestons,10701702,Liverpool - West,1,Good,Good,0
128011529,Gymea - Grays Point,10702501,Sutherland Shire - East,1,Good,Good,0
128011530,Miranda - Yowie Bay,10702501,Sutherland Shire - East,1,Good,Good,0
128011531,Sylvania - Taren Point,10702501,Sutherland Shire - East,1,Good,Good,0
128011602,Caringbah,10702501,Sutherland Shire - East,1,Good,Good,0
128011603,Caringbah South,10702501,Sutherland Shire - East,1,Good,Good,0
128011604,Cronulla - Kurnell - Bundeena,10702501,Sutherland Shire - East,1,Good,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,10702501,Sutherland Shire - East,1,Good,Good,0
128011606,Woolooware - Burraneer,10702501,Sutherland Shire - East,1,Good,Good,0
128021533,Heathcote - Waterfall,10702502,Sutherland Shire - West,1,Good,Good,0
128021534,Illawong - Alfords Point,10702502,Sutherland Shire - West,1,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,10702502,Sutherland Shire - West,1,Good,Good,0
128021536,Oyster Bay - Como - Jannali,10702502,Sutherland Shire - West,1,Good,Good,0
128021537,Royal National Park,10702501,Sutherland Shire - East,1,Good,Good,0
128021538,Sutherland - Kirrawee,10702501,Sutherland Shire - East,0.0107203,Good,Good,0
128021538,Sutherland - Kirrawee,10702502,Sutherland Shire - West,0.9892797,Good,Good,0
128021607,Engadine,10702502,Sutherland Shire - West,1,Good,Good,0
128021608,Loftus - Yarrawarrah,10702502,Sutherland Shire - West,1,Good,Good,0
128021609,Woronora Heights,10702502,Sutherland Shire - West,1,Good,Good,0
197979799,Migratory - Offshore - Shipping (NSW),19799797,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199999499,No usual address (NSW),19499494,No usual address (NSW),1,Good,Good,0
201011001,Alfredton,20200101,Ballarat,1,Good,Good,0
201011002,Ballarat,20200101,Ballarat,1,Good,Good,0
201011005,Buninyong,20200101,Ballarat,1,Good,Good,0
201011006,Delacombe,20200101,Ballarat,1,Good,Good,0
201011007,Smythes Creek,20201201,Corangamite - Golden Plains,1,Good,Good,0
201011008,Wendouree - Miners Rest,20200101,Ballarat,1,Good,Good,0
201011481,Ballarat East - Warrenheip,20200101,Ballarat,1,Good,Good,0
201011482,Ballarat North - Invermay,20200101,Ballarat,1,Good,Good,0
201011483,Canadian - Mount Clear,20200101,Ballarat,1,Good,Good,0
201011484,Sebastopol - Redan,20200101,Ballarat,1,Good,Good,0
201021009,Bacchus Marsh Surrounds,20200902,Moorabool,1,Good,Good,0
201021010,Creswick - Clunes,20200101,Ballarat,1,Good,Good,0
201021011,Daylesford,20200501,Castlemaine - Kerang,1,Good,Good,0
201021012,Gordon (Vic.),20200902,Moorabool,1,Good,Good,0
201031013,Avoca,20201203,Moyne - Ararat - Pyrenees,1,Good,Good,0
201031014,Beaufort,20201203,Moyne - Ararat - Pyrenees,1,Good,Good,0
201031015,Golden Plains - North,20201201,Corangamite - Golden Plains,1,Good,Good,0
201031016,Maryborough (Vic.),20200501,Castlemaine - Kerang,1,Good,Good,0
201031017,Maryborough Surrounds,20200501,Castlemaine - Kerang,1,Good,Good,0
202011018,Bendigo,20200302,Bendigo,1,Good,Good,0
202011019,California Gully - Eaglehawk,20200304,Eaglehawk,1,Good,Good,0
202011020,East Bendigo - Kennington,20200305,East Bendigo,1,Good,Good,0
202011021,Flora Hill - Spring Gully,20200305,East Bendigo,1,Good,Good,0
202011022,Kangaroo Flat - Golden Square,20200306,Maiden Gully - Kangaroo Flats,1,Good,Good,0
202011023,Maiden Gully,20200306,Maiden Gully - Kangaroo Flats,1,Good,Good,0
202011024,Strathfieldsaye,20200303,Bendigo - Surrounds,1,Good,Good,0
202011025,White Hills - Ascot,20200301,Ascot - White Hills,1,Good,Good,0
202021026,Bendigo Surrounds - South,20200303,Bendigo - Surrounds,1,Good,Good,0
202021027,Castlemaine,20200501,Castlemaine - Kerang,1,Good,Good,0
202021028,Castlemaine Surrounds,20200501,Castlemaine - Kerang,1,Good,Good,0
202021029,Heathcote,20200303,Bendigo - Surrounds,1,Good,Good,0
202021030,Kyneton,20200901,Macedon Ranges,1,Good,Good,0
202021031,Woodend,20200901,Macedon Ranges,1,Good,Good,0
202031032,Bendigo Surrounds - North,20200303,Bendigo - Surrounds,1,Good,Good,0
202031033,Loddon,20200501,Castlemaine - Kerang,1,Good,Good,0
203011034,Bannockburn,20201201,Corangamite - Golden Plains,1,Good,Good,0
203011035,Golden Plains - South,20201201,Corangamite - Golden Plains,1,Good,Good,0
203011036,Winchelsea,20201201,Corangamite - Golden Plains,1,Good,Good,0
203021037,Belmont,20200601,Geelong - Queenscliff,1,Good,Good,0
203021039,Geelong,20200601,Geelong - Queenscliff,1,Good,Good,0
203021040,Geelong West - Hamlyn Heights,20200601,Geelong - Queenscliff,1,Good,Good,0
203021042,Highton,20200601,Geelong - Queenscliff,1,Good,Good,0
203021043,Lara,20200601,Geelong - Queenscliff,1,Good,Good,0
203021044,Leopold,20200601,Geelong - Queenscliff,1,Good,Good,0
203021045,Newcomb - Moolap,20200601,Geelong - Queenscliff,1,Good,Good,0
203021046,Newtown (Vic.),20200601,Geelong - Queenscliff,1,Good,Good,0
203021047,North Geelong - Bell Park,20200601,Geelong - Queenscliff,1,Good,Good,0
203021485,Charlemont,20200601,Geelong - Queenscliff,1,Good,Good,0
203021486,Corio - Lovely Banks,20200601,Geelong - Queenscliff,1,Good,Good,0
203021487,Grovedale - Mount Duneed,20200601,Geelong - Queenscliff,1,Good,Good,0
203021488,Norlane,20200601,Geelong - Queenscliff,1,Good,Good,0
203031048,Clifton Springs,20200601,Geelong - Queenscliff,1,Good,Good,0
203031049,Lorne - Anglesea,20201201,Corangamite - Golden Plains,1,Good,Good,0
203031051,Portarlington,20200601,Geelong - Queenscliff,1,Good,Good,0
203031052,Point Lonsdale - Queenscliff,20200601,Geelong - Queenscliff,1,Good,Good,0
203031053,Torquay,20201201,Corangamite - Golden Plains,1,Good,Good,0
203031489,Barwon Heads - Armstrong Creek,20200601,Geelong - Queenscliff,0.9800552,Good,Good,0
203031489,Barwon Heads - Armstrong Creek,20201201,Corangamite - Golden Plains,0.0199448,Good,Good,0
203031490,Ocean Grove,20200601,Geelong - Queenscliff,1,Good,Good,0
204011054,Alexandra,20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204011055,Euroa,20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204011056,Kilmore - Broadford,20201601,Wallan - Seymour,1,Good,Good,0
204011057,Mansfield (Vic.),20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204011058,Nagambie,20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204011059,Seymour,20201601,Wallan - Seymour,1,Good,Good,0
204011060,Seymour Surrounds,20201601,Wallan - Seymour,1,Good,Good,0
204011061,Upper Yarra Valley,20102001,Yarra Ranges,1,Good,Good,0
204011062,Yea,20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204021063,Benalla,20201501,Benalla,0.9004943,Good,Good,0
204021063,Benalla,20201502,Strathbogie - Mansfield - Murimbindi,0.0995057,Good,Good,0
204021064,Benalla Surrounds,20201502,Strathbogie - Mansfield - Murimbindi,1,Good,Good,0
204021065,Rutherglen,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204021066,Wangaratta,20201902,Wangaratta,1,Good,Good,0
204021067,Wangaratta Surrounds,20201902,Wangaratta,1,Good,Good,0
204031068,Beechworth,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031069,Bright - Mount Beauty,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031070,Chiltern - Indigo Valley,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031071,Myrtleford,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031072,Towong,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031073,West Wodonga,20201903,Wodonga,1,Good,Good,0
204031075,Yackandandah,20201901,Alpine - Towong - Indigo,1,Good,Good,0
204031491,Baranduda - Leneva,20201903,Wodonga,1,Good,Good,0
204031492,Wodonga,20201903,Wodonga,1,Good,Good,0
205011076,Drouin,20200201,Baw Baw,1,Good,Good,0
205011077,Mount Baw Baw Region,20200201,Baw Baw,1,Good,Good,0
205011078,Trafalgar (Vic.),20200201,Baw Baw,0.982783,Good,Good,0
205011078,Trafalgar (Vic.),20201102,South Gippsland,0.017217,Good,Good,0
205011079,Warragul,20200201,Baw Baw,1,Good,Good,0
205021080,Alps - East,20200702,East Gippsland,1,Good,Good,0
205021081,Bairnsdale,20200701,Bairnsdale,1,Good,Good,0
205021082,Bruthen - Omeo,20200702,East Gippsland,1,Good,Good,0
205021083,Lake King,20200702,East Gippsland,1,Good,Good,0
205021084,Lakes Entrance,20200702,East Gippsland,1,Good,Good,0
205021085,Orbost,20200702,East Gippsland,0.9840704,Good,Good,0
205021085,Orbost,20200703,Lake Tyers,0.0159296,Poor,Good,0
205021086,Paynesville,20200702,East Gippsland,1,Good,Good,0
205031087,Foster,20201102,South Gippsland,1,Good,Good,0
205031088,French Island,20201101,Bass Coast,1,Good,Good,0
205031089,Korumburra,20201101,Bass Coast,0.0183922,Good,Good,0
205031089,Korumburra,20201102,South Gippsland,0.9816078,Good,Good,0
205031090,Leongatha,20201102,South Gippsland,1,Good,Good,0
205031091,Phillip Island,20201101,Bass Coast,1,Good,Good,0
205031092,Wilsons Promontory,20201102,South Gippsland,1,Good,Good,0
205031093,Wonthaggi - Inverloch,20201101,Bass Coast,1,Good,Good,0
205041094,Churchill,20200803,Traralgon - Churchill,1,Good,Good,0
205041095,Moe - Newborough,20200201,Baw Baw,0.057247,Good,Good,0
205041095,Moe - Newborough,20200801,Moe - Yallourn,0.942753,Good,Good,0
205041096,Morwell,20200802,Morwell,1,Good,Good,0
205041098,Yallourn North - Glengarry,20200201,Baw Baw,0.0070168,Good,Good,1
205041098,Yallourn North - Glengarry,20200801,Moe - Yallourn,0.9929832,Good,Good,0
205041493,Traralgon - East,20200803,Traralgon - Churchill,1,Good,Good,0
205041494,Traralgon - West,20200803,Traralgon - Churchill,1,Good,Good,0
205051099,Alps - West,20200704,Wellington (Vic.),1,Good,Good,0
205051100,Longford - Loch Sport,20200704,Wellington (Vic.),1,Good,Good,0
205051101,Maffra,20200704,Wellington (Vic.),1,Good,Good,0
205051102,Rosedale,20200704,Wellington (Vic.),1,Good,Good,0
205051103,Sale,20200704,Wellington (Vic.),1,Good,Good,0
205051104,Yarram,20200704,Wellington (Vic.),1,Good,Good,0
206011106,Brunswick East,20101502,Brunswick,1,Good,Good,0
206011107,Brunswick West,20101502,Brunswick,1,Good,Good,0
206011109,Pascoe Vale South,20101503,Coburg,1,Good,Good,0
206011495,Brunswick - North,20101502,Brunswick,1,Good,Good,0
206011496,Brunswick - South,20101502,Brunswick,1,Good,Good,0
206011497,Coburg - East,20101503,Coburg,1,Good,Good,0
206011498,Coburg - West,20101503,Coburg,1,Good,Good,0
206021110,Alphington - Fairfield,20101701,Northcote,1,Good,Good,0
206021112,Thornbury,20101701,Northcote,1,Good,Good,0
206021499,Northcote - East,20101701,Northcote,1,Good,Good,0
206021500,Northcote - West,20101701,Northcote,1,Good,Good,0
206031113,Ascot Vale,20100802,Moonee Valley,1,Good,Good,0
206031115,Flemington,20100802,Moonee Valley,1,Good,Good,0
206031116,Moonee Ponds,20100802,Moonee Valley,1,Good,Good,0
206031501,Essendon (West) - Aberfeldie,20100802,Moonee Valley,1,Good,Good,0
206031502,Essendon - East,20100802,Moonee Valley,1,Good,Good,0
206041117,Carlton,20101201,Melbourne - Central,1,Good,Good,0
206041118,Docklands,20101201,Melbourne - Central,1,Good,Good,0
206041119,East Melbourne,20101201,Melbourne - Central,1,Good,Good,0
206041120,Flemington Racecourse,20101201,Melbourne - Central,1,Good,Good,0
206041121,Kensington (Vic.),20101201,Melbourne - Central,1,Good,Good,0
206041124,Parkville,20101201,Melbourne - Central,1,Good,Good,0
206041125,South Yarra - West,20101201,Melbourne - Central,1,Good,Good,0
206041127,West Melbourne - Industrial,20101201,Melbourne - Central,1,Good,Good,0
206041503,Melbourne CBD - East,20101201,Melbourne - Central,1,Good,Good,0
206041504,Melbourne CBD - North,20101201,Melbourne - Central,1,Good,Good,0
