CED_CODE_2018,CED_NAME_2018,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Banks,101,Banks,1,Good,Good,0
102,Barton,144,Watson,0.002358,Good,Good,1
102,Barton,102,Barton,0.997642,Good,Good,0
103,Bennelong,103,Bennelong,1,Good,Good,0
104,Berowra,127,Macquarie,0.0003597,Good,Good,1
104,Berowra,129,Mitchell,0.0010242,Good,Good,1
104,Berowra,106,Bradfield,0.0011274,Good,Good,1
104,Berowra,104,Berowra,0.9974888,Good,Good,0
105,Blaxland,105,Blaxland,1,Good,Good,0
106,Bradfield,106,Bradfield,1,Good,Good,0
107,Calare,139,Riverina,7.78E-05,Good,Good,1
107,Calare,107,Calare,0.9999222,Good,Good,0
108,Chifley,128,McMahon,1.00E-07,Good,Good,1
108,Chifley,118,Greenway,0.0009313,Good,Good,1
108,Chifley,108,Chifley,0.9990686,Good,Good,0
109,Cook,,,3.56E-05,Poor,Good,4
109,Cook,101,Banks,0.0016861,Good,Good,1
109,Cook,109,Cook,0.9982782,Good,Good,0
110,Cowper,130,New England,0.0002183,Good,Good,1
110,Cowper,133,Page,0.0003594,Good,Good,1
110,Cowper,110,Cowper,0.9994223,Good,Good,0
111,Cunningham,147,Whitlam,0.0009651,Good,Good,1
111,Cunningham,111,Cunningham,0.9990348,Good,Good,0
112,Dobell,140,Robertson,0.0030323,Good,Good,1
112,Dobell,112,Dobell,0.9969677,Good,Good,0
113,Eden-Monaro,116,Gilmore,7.80E-06,Good,Good,1
113,Eden-Monaro,113,Eden-Monaro,0.9999922,Good,Good,0
114,Farrer,114,Farrer,1,Good,Good,0
115,Fowler,128,McMahon,0.0003364,Good,Good,1
115,Fowler,115,Fowler,0.9996636,Good,Good,0
116,Gilmore,116,Gilmore,1,Good,Good,0
117,Grayndler,144,Watson,0.0008211,Good,Good,1
117,Grayndler,137,Reid,0.0034248,Good,Good,1
117,Grayndler,117,Grayndler,0.9957541,Good,Good,0
118,Greenway,118,Greenway,1,Good,Good,0
119,Hughes,119,Hughes,1,Good,Good,0
120,Hume,125,Macarthur,8.19E-05,Good,Good,1
120,Hume,147,Whitlam,0.0002319,Good,Good,1
120,Hume,113,Eden-Monaro,0.0014299,Good,Good,1
