POA_CODE_2016,POA_NAME_2016,POA_CODE_2021,POA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
2646,2646,2646,2646,1,Good,Good,0
2647,2647,2647,2647,1,Good,Good,0
2648,2648,2648,2648,1,Good,Good,0
2649,2649,2649,2649,1,Good,Good,0
2650,2650,2650,2650,1,Good,Good,0
2651,2651,2651,2651,1,Good,Good,0
2652,2652,2652,2652,1,Good,Good,0
2653,2653,2653,2653,1,Good,Good,0
2655,2655,2655,2655,1,Good,Good,0
2656,2656,2656,2656,1,Good,Good,0
2658,2658,2658,2658,1,Good,Good,0
2659,2659,2659,2659,1,Good,Good,0
2660,2660,2660,2660,1,Good,Good,0
2661,2661,2661,2661,1,Good,Good,0
2663,2663,2663,2663,1,Good,Good,0
2665,2665,2665,2665,1,Good,Good,0
2666,2666,2666,2666,1,Good,Good,0
2668,2668,2668,2668,1,Good,Good,0
2669,2669,2669,2669,1,Good,Good,0
2671,2671,2671,2671,1,Good,Good,0
2672,2672,2672,2672,1,Good,Good,0
2675,2675,2675,2675,1,Good,Good,0
2678,2678,2678,2678,1,Good,Good,0
2680,2680,2680,2680,1,Good,Good,0
2681,2681,2681,2681,1,Good,Good,0
2700,2700,2700,2700,1,Good,Good,0
2701,2701,2701,2701,1,Good,Good,0
2702,2702,2702,2702,1,Good,Good,0
2703,2703,2703,2703,1,Good,Good,0
2705,2705,2705,2705,1,Good,Good,0
2706,2706,2706,2706,1,Good,Good,0
2707,2707,2707,2707,1,Good,Good,0
2710,2710,2710,2710,1,Good,Good,0
2711,2711,2711,2711,1,Good,Good,0
2712,2712,2712,2712,1,Good,Good,0
2713,2713,2713,2713,1,Good,Good,0
2714,2714,2714,2714,1,Good,Good,0
2715,2715,2715,2715,1,Good,Good,0
2716,2716,2716,2716,1,Good,Good,0
2717,2717,2648,2648,0.0176739,Good,Good,0
2717,2717,2717,2717,0.9823261,Good,Good,0
2720,2720,2720,2720,1,Good,Good,0
2721,2721,2721,2721,1,Good,Good,0
2722,2722,2722,2722,1,Good,Good,0
2725,2725,2725,2725,1,Good,Good,0
2726,2726,2726,2726,1,Good,Good,0
2727,2727,2722,2722,0.1704684,Good,Good,0
2727,2727,2727,2727,0.8295316,Acceptable,Good,0
2729,2729,2722,2722,3.00E-07,Good,Good,1
2729,2729,2729,2729,0.9999997,Good,Good,0
2730,2730,2730,2730,1,Good,Good,0
2731,2731,2731,2731,1,Good,Good,0
2732,2732,2732,2732,1,Good,Good,0
2733,2733,2733,2733,1,Good,Good,0
2734,2734,2734,2734,1,Good,Good,0
2735,2735,2735,2735,1,Good,Good,0
2736,2736,2736,2736,1,Good,Good,0
2737,2737,2737,2737,1,Good,Good,0
2738,2738,2738,2738,1,Good,Good,0
2739,2739,2739,2739,1,Good,Good,0
2745,2745,2745,2745,1,Good,Good,0
2747,2747,2747,2747,1,Good,Good,0
2748,2748,2748,2748,1,Good,Good,0
2749,2749,2749,2749,1,Good,Good,0
2750,2750,2750,2750,1,Good,Good,0
2752,2752,2752,2752,1,Good,Good,0
2753,2753,2753,2753,1,Good,Good,0
2754,2754,2754,2754,1,Good,Good,0
2755,2755,2753,2753,1,Good,Good,0
2756,2756,2756,2756,1,Good,Good,0
2757,2757,2757,2757,1,Good,Good,0
2758,2758,2758,2758,1,Good,Good,0
2759,2759,2759,2759,1,Good,Good,0
2760,2760,2760,2760,1,Good,Good,0
2761,2761,2761,2761,1,Good,Good,0
2762,2762,2763,2763,2.00E-07,Good,Good,1
2762,2762,2762,2762,0.9999998,Good,Good,0
2763,2763,2763,2763,1,Good,Good,0
2765,2765,2756,2756,7.00E-07,Good,Good,1
2765,2765,2762,2762,0.0010857,Good,Good,1
2765,2765,2155,2155,0.0069772,Good,Good,1
2765,2765,2765,2765,0.9919364,Good,Good,0
2766,2766,2766,2766,1,Good,Good,0
2767,2767,2767,2767,1,Good,Good,0
2768,2768,2768,2768,1,Good,Good,0
2769,2769,2769,2769,1,Good,Good,0
2770,2770,2770,2770,1,Good,Good,0
2773,2773,2773,2773,1,Good,Good,0
2774,2774,2774,2774,1,Good,Good,0
2775,2775,2775,2775,1,Good,Good,0
2776,2776,2776,2776,1,Good,Good,0
2777,2777,2777,2777,1,Good,Good,0
2778,2778,2778,2778,1,Good,Good,0
2779,2779,2779,2779,1,Good,Good,0
2780,2780,2780,2780,1,Good,Good,0
2782,2782,2782,2782,1,Good,Good,0
2783,2783,2783,2783,1,Good,Good,0
2784,2784,2784,2784,1,Good,Good,0
2785,2785,2785,2785,1,Good,Good,0
2786,2786,2786,2786,1,Good,Good,0
2787,2787,2787,2787,1,Good,Good,0
2790,2790,2790,2790,1,Good,Good,0
2791,2791,2791,2791,1,Good,Good,0
2792,2792,2792,2792,1,Good,Good,0
2793,2793,2793,2793,1,Good,Good,0
2794,2794,2794,2794,1,Good,Good,0
2795,2795,2795,2795,1,Good,Good,0
2797,2797,2797,2797,1,Good,Good,0
2798,2798,2798,2798,1,Good,Good,0
2799,2799,2799,2799,1,Good,Good,0
2800,2800,2800,2800,1,Good,Good,0
2803,2803,2803,2803,1,Good,Good,0
2804,2804,2804,2804,1,Good,Good,0
2805,2805,2805,2805,1,Good,Good,0
2806,2806,2806,2806,1,Good,Good,0
2807,2807,2807,2807,1,Good,Good,0
2808,2808,2808,2808,1,Good,Good,0
2809,2809,2809,2809,1,Good,Good,0
2810,2810,2810,2810,1,Good,Good,0
2817,2817,2817,2817,1,Good,Good,0
2818,2818,2818,2818,1,Good,Good,0
2820,2820,2820,2820,1,Good,Good,0
2821,2821,2821,2821,1,Good,Good,0
2822,2822,2827,2827,0.158234,Good,Good,0
2822,2822,2822,2822,0.841766,Acceptable,Good,0
2823,2823,2823,2823,1,Good,Good,0
2824,2824,2824,2824,1,Good,Good,0
2825,2825,2825,2825,1,Good,Good,0
2826,2826,2826,2826,1,Good,Good,0
2827,2827,2827,2827,1,Good,Good,0
2828,2828,2828,2828,1,Good,Good,0
2829,2829,2396,2396,0.012323,Good,Good,0
2829,2829,2829,2829,0.987677,Good,Good,0
2830,2830,2830,2830,1,Good,Good,0
2831,2831,2831,2831,1,Good,Good,0
2832,2832,2832,2832,1,Good,Good,0
2833,2833,2833,2833,1,Good,Good,0
2834,2834,2834,2834,1,Good,Good,0
2835,2835,2835,2835,1,Good,Good,0
2836,2836,2836,2836,1,Good,Good,0
2838,2838,2838,2838,1,Good,Good,0
2839,2839,2839,2839,1,Good,Good,0
2840,2840,2840,2840,1,Good,Good,0
2842,2842,2842,2842,1,Good,Good,0
2843,2843,2843,2843,1,Good,Good,0
2844,2844,2844,2844,1,Good,Good,0
2845,2845,2845,2845,1,Good,Good,0
2846,2846,2846,2846,1,Good,Good,0
2847,2847,2847,2847,1,Good,Good,0
2848,2848,2848,2848,1,Good,Good,0
2849,2849,2849,2849,1,Good,Good,0
2850,2850,2850,2850,1,Good,Good,0
2852,2852,2852,2852,1,Good,Good,0
2864,2864,2864,2864,1,Good,Good,0
2865,2865,2865,2865,1,Good,Good,0
2866,2866,2866,2866,1,Good,Good,0
2867,2867,2867,2867,1,Good,Good,0
2868,2868,2868,2868,1,Good,Good,0
2869,2869,2869,2869,1,Good,Good,0
2870,2870,2870,2870,1,Good,Good,0
2871,2871,2876,2876,0.0044698,Good,Good,1
2871,2871,2870,2870,0.0103325,Good,Good,0
2871,2871,2871,2871,0.9851976,Good,Good,0
2873,2873,2873,2873,1,Good,Good,0
2874,2874,2874,2874,1,Good,Good,0
2875,2875,2875,2875,1,Good,Good,0
2876,2876,2876,2876,1,Good,Good,0
2877,2877,2877,2877,1,Good,Good,0
2878,2878,2878,2878,1,Good,Good,0
2879,2879,2879,2879,1,Good,Good,0
2880,2880,2880,2880,1,Good,Good,0
2898,2898,2898,2898,1,Good,Good,0
2899,2899,2899,2899,1,Good,Good,0
2900,2900,2900,2900,1,Good,Good,0
2902,2902,2902,2902,1,Good,Good,0
2903,2903,2903,2903,1,Good,Good,0
2904,2904,2904,2904,1,Good,Good,0
2905,2905,2905,2905,1,Good,Good,0
2906,2906,2906,2906,1,Good,Good,0
2911,2911,2911,2911,1,Good,Good,0
2912,2912,2913,2913,2.30E-06,Good,Good,1
2912,2912,2912,2912,0.9999977,Good,Good,0
2913,2913,2913,2913,1,Good,Good,0
2914,2914,2914,2914,1,Good,Good,0
3000,3000,3000,3000,1,Good,Good,0
3002,3002,3002,3002,1,Good,Good,0
3003,3003,3003,3003,1,Good,Good,0
3004,3004,3004,3004,1,Good,Good,0
3005,3005,3008,3008,1,Good,Good,0
3006,3006,3006,3006,1,Good,Good,0
3008,3008,3008,3008,1,Good,Good,0
3010,3010,3052,3052,1,Good,Good,0
3011,3011,3011,3011,1,Good,Good,0
3012,3012,3012,3012,1,Good,Good,0
3013,3013,3013,3013,1,Good,Good,0
3015,3015,3025,3025,6.00E-07,Good,Good,1
3015,3015,3015,3015,0.9999994,Good,Good,0
3016,3016,3016,3016,1,Good,Good,0
3018,3018,3018,3018,1,Good,Good,0
3019,3019,3019,3019,1,Good,Good,0
3020,3020,3020,3020,1,Good,Good,0
3021,3021,3021,3021,1,Good,Good,0
3022,3022,3022,3022,1,Good,Good,0
3023,3023,3023,3023,1,Good,Good,0
3024,3024,3029,3029,0.0015181,Good,Good,1
3024,3024,3024,3024,0.9984819,Good,Good,0
3025,3025,3025,3025,1,Good,Good,0
3026,3026,3026,3026,1,Poor,Good,0
3027,3027,3027,3027,1,Good,Good,0
3028,3028,3028,3028,1,Good,Good,0
3029,3029,3029,3029,1,Good,Good,0
3030,3030,3026,3026,0.0824867,Poor,Good,0
3030,3030,3030,3030,0.9175133,Good,Good,0
3031,3031,3032,3032,0.0001626,Good,Good,1
3031,3031,3031,3031,0.9998374,Good,Good,0
3032,3032,3032,3032,1,Good,Good,0
3033,3033,3033,3033,1,Good,Good,0
3034,3034,3034,3034,1,Good,Good,0
3036,3036,3036,3036,1,Good,Good,0
3037,3037,3037,3037,1,Good,Good,0
3038,3038,3038,3038,1,Good,Good,0
3039,3039,3039,3039,1,Good,Good,0
3040,3040,3040,3040,1,Good,Good,0
3041,3041,3041,3041,1,Good,Good,0
3042,3042,3042,3042,1,Good,Good,0
3043,3043,3043,3043,1,Good,Good,0
3044,3044,3044,3044,1,Good,Good,0
3045,3045,3045,3045,1,Good,Good,0
3046,3046,3046,3046,1,Good,Good,0
3047,3047,3047,3047,1,Good,Good,0
3048,3048,3048,3048,1,Good,Good,0
3049,3049,3049,3049,1,Good,Good,0
3050,3050,3052,3052,1,Good,Good,0
3051,3051,3051,3051,1,Good,Good,0
3052,3052,3052,3052,1,Good,Good,0
3053,3053,3053,3053,1,Good,Good,0
3054,3054,3054,3054,1,Good,Good,0
3055,3055,3055,3055,1,Good,Good,0
3056,3056,3056,3056,1,Good,Good,0
3057,3057,3057,3057,1,Good,Good,0
3058,3058,3058,3058,1,Good,Good,0
3059,3059,3059,3059,1,Good,Good,0
3060,3060,3060,3060,1,Good,Good,0
3061,3061,3061,3061,1,Good,Good,0
3062,3062,3062,3062,1,Good,Good,0
3063,3063,3063,3063,1,Good,Good,0
3064,3064,3064,3064,1,Good,Good,0
3065,3065,3065,3065,1,Good,Good,0
3066,3066,3066,3066,1,Good,Good,0
3067,3067,3067,3067,1,Good,Good,0
3068,3068,3068,3068,1,Good,Good,0
3070,3070,3070,3070,1,Good,Good,0
3071,3071,3071,3071,1,Good,Good,0
3072,3072,3073,3073,0.0068348,Good,Good,1
3072,3072,3072,3072,0.9931652,Good,Good,0
3073,3073,3073,3073,1,Good,Good,0
3074,3074,3074,3074,1,Good,Good,0
3075,3075,3075,3075,1,Good,Good,0
3076,3076,3076,3076,1,Good,Good,0
3078,3078,3078,3078,1,Good,Good,0
3079,3079,3084,3084,0.0057921,Good,Good,1
3079,3079,3079,3079,0.9942079,Good,Good,0
3081,3081,3081,3081,1,Good,Good,0
3082,3082,3082,3082,1,Good,Good,0
3083,3083,3083,3083,1,Good,Good,0
3084,3084,3084,3084,1,Good,Good,0
3085,3085,3085,3085,1,Good,Good,0
3086,3086,3083,3083,1,Good,Good,0
3087,3087,3087,3087,1,Good,Good,0
3088,3088,3088,3088,1,Good,Good,0
3089,3089,3089,3089,1,Good,Good,0
3090,3090,3090,3090,1,Good,Good,0
3091,3091,3091,3091,1,Good,Good,0
3093,3093,3093,3093,1,Good,Good,0
3094,3094,3094,3094,1,Good,Good,0
3095,3095,3095,3095,1,Good,Good,0
3096,3096,3096,3096,1,Good,Good,0
3097,3097,3097,3097,1,Good,Good,0
3099,3099,3099,3099,1,Good,Good,0
3101,3101,3101,3101,1,Good,Good,0
3102,3102,3102,3102,1,Good,Good,0
3103,3103,3103,3103,1,Good,Good,0
3104,3104,3104,3104,1,Good,Good,0
3105,3105,3105,3105,1,Good,Good,0
3106,3106,3106,3106,1,Good,Good,0
3107,3107,3107,3107,1,Good,Good,0
3108,3108,3108,3108,1,Good,Good,0
3109,3109,3109,3109,1,Good,Good,0
3111,3111,3111,3111,1,Good,Good,0
3113,3113,3113,3113,1,Good,Good,0
3114,3114,3114,3114,1,Good,Good,0
3115,3115,3115,3115,1,Good,Good,0
3116,3116,3116,3116,1,Good,Good,0
3121,3121,3121,3121,1,Good,Good,0
3122,3122,3122,3122,1,Good,Good,0
3123,3123,3123,3123,1,Good,Good,0
3124,3124,3124,3124,1,Good,Good,0
3125,3125,3125,3125,1,Good,Good,0
3126,3126,3126,3126,1,Good,Good,0
3127,3127,3127,3127,1,Good,Good,0
3128,3128,3128,3128,1,Good,Good,0
3129,3129,3129,3129,1,Good,Good,0
3130,3130,3130,3130,1,Good,Good,0
3131,3131,3131,3131,1,Good,Good,0
3132,3132,3132,3132,1,Good,Good,0
3133,3133,3133,3133,1,Good,Good,0
3134,3134,3134,3134,1,Good,Good,0
3135,3135,3135,3135,1,Good,Good,0
3136,3136,3135,3135,2.00E-07,Good,Good,1
3136,3136,3136,3136,0.9999998,Good,Good,0
3137,3137,3137,3137,1,Good,Good,0
3138,3138,3138,3138,1,Good,Good,0
3139,3139,3139,3139,1,Good,Good,0
3140,3140,3140,3140,1,Good,Good,0
3141,3141,3141,3141,1,Good,Good,0
3142,3142,3142,3142,1,Good,Good,0
3143,3143,3143,3143,1,Good,Good,0
3144,3144,3144,3144,1,Good,Good,0
3145,3145,3145,3145,1,Good,Good,0
3146,3146,3146,3146,1,Good,Good,0
3147,3147,3147,3147,1,Good,Good,0
3148,3148,3148,3148,1,Good,Good,0
3149,3149,3149,3149,1,Good,Good,0
3150,3150,3150,3150,1,Good,Good,0
3151,3151,3151,3151,1,Good,Good,0
3152,3152,3152,3152,1,Good,Good,0
3153,3153,3153,3153,1,Good,Good,0
3154,3154,3154,3154,1,Good,Good,0
3155,3155,3155,3155,1,Good,Good,0
3156,3156,3156,3156,1,Good,Good,0
3158,3158,3158,3158,1,Good,Good,0
3159,3159,3159,3159,1,Good,Good,0
3160,3160,3160,3160,1,Good,Good,0
3161,3161,3161,3161,1,Good,Good,0
3162,3162,3162,3162,1,Good,Good,0
3163,3163,3163,3163,1,Good,Good,0
3165,3165,3204,3204,0.0031864,Good,Good,1
3165,3165,3165,3165,0.9968136,Good,Good,0
3166,3166,3166,3166,1,Good,Good,0
3167,3167,3167,3167,1,Good,Good,0
3168,3168,3168,3168,1,Good,Good,0
3169,3169,3169,3169,1,Good,Good,0
3170,3170,3170,3170,1,Good,Good,0
3171,3171,3171,3171,1,Good,Good,0
3172,3172,3172,3172,1,Good,Good,0
3173,3173,3173,3173,1,Good,Good,0
3174,3174,3174,3174,1,Good,Good,0
3175,3175,3175,3175,1,Good,Good,0
3177,3177,3177,3177,1,Good,Good,0
3178,3178,3178,3178,1,Good,Good,0
3179,3179,3179,3179,1,Good,Good,0
3180,3180,3180,3180,1,Good,Good,0
3181,3181,3004,3004,0.0019426,Good,Good,1
3181,3181,3181,3181,0.9980574,Good,Good,0
3182,3182,3182,3182,1,Good,Good,0
3183,3183,3183,3183,1,Good,Good,0
3184,3184,3184,3184,1,Good,Good,0
3185,3185,3185,3185,1,Good,Good,0
3186,3186,3186,3186,1,Good,Good,0
3187,3187,3187,3187,1,Good,Good,0
3188,3188,3191,3191,0.0069504,Good,Good,1
3188,3188,3188,3188,0.9930496,Good,Good,0
3189,3189,3189,3189,1,Good,Good,0
3190,3190,3190,3190,1,Good,Good,0
3191,3191,3191,3191,1,Good,Good,0
3192,3192,3192,3192,1,Good,Good,0
3193,3193,3192,3192,0.0035411,Good,Good,1
3193,3193,3193,3193,0.9964589,Good,Good,0
3194,3194,3194,3194,1,Good,Good,0
3195,3195,3195,3195,1,Good,Good,0
3196,3196,3196,3196,1,Good,Good,0
3197,3197,3197,3197,1,Good,Good,0
3198,3198,3198,3198,1,Good,Good,0
3199,3199,3199,3199,1,Good,Good,0
3200,3200,3200,3200,1,Good,Good,0
3201,3201,3201,3201,1,Good,Good,0
3202,3202,3202,3202,1,Good,Good,0
3204,3204,3204,3204,1,Good,Good,0
3205,3205,3205,3205,1,Good,Good,0
3206,3206,3206,3206,1,Good,Good,0
3207,3207,3207,3207,1,Good,Good,0
3211,3211,3211,3211,1,Good,Good,0
3212,3212,3212,3212,1,Good,Good,0
3213,3213,3213,3213,1,Good,Good,0
3214,3214,3214,3214,1,Good,Good,0
3215,3215,3215,3215,1,Good,Good,0
3216,3216,3216,3216,1,Good,Good,0
3217,3217,3217,3217,1,Good,Good,0
3218,3218,3218,3218,1,Good,Good,0
3219,3219,3219,3219,1,Good,Good,0
3220,3220,3220,3220,1,Good,Good,0
3221,3221,3221,3221,1,Good,Good,0
3222,3222,3226,3226,0.0021446,Good,Good,1
3222,3222,3222,3222,0.9978554,Good,Good,0
3223,3223,3223,3223,1,Good,Good,0
3224,3224,3224,3224,1,Good,Good,0
3225,3225,3225,3225,1,Good,Good,0
3226,3226,3226,3226,1,Good,Good,0
3227,3227,3227,3227,1,Good,Good,0
3228,3228,3228,3228,1,Good,Good,0
3230,3230,3230,3230,1,Good,Good,0
3231,3231,3231,3231,1,Good,Good,0
3232,3232,3232,3232,1,Good,Good,0
3233,3233,3233,3233,1,Good,Good,0
3234,3234,3234,3234,1,Good,Good,0
3235,3235,3235,3235,1,Good,Good,0
3236,3236,3236,3236,1,Good,Good,0
3237,3237,3237,3237,1,Good,Good,0
3238,3238,3238,3238,1,Good,Good,0
3239,3239,3239,3239,1,Good,Good,0
3240,3240,3240,3240,1,Good,Good,0
3241,3241,3241,3241,1,Good,Good,0
3242,3242,3242,3242,1,Good,Good,0
3243,3243,3243,3243,1,Good,Good,0
3249,3249,3249,3249,1,Good,Good,0
3250,3250,3250,3250,1,Good,Good,0
3251,3251,3251,3251,1,Good,Good,0
3254,3254,3254,3254,1,Good,Good,0
3260,3260,3260,3260,1,Good,Good,0
3264,3264,3264,3264,1,Good,Good,0
3265,3265,3265,3265,1,Good,Good,0
3266,3266,3266,3266,1,Good,Good,0
3267,3267,3267,3267,1,Good,Good,0
3268,3268,3268,3268,1,Good,Good,0
3269,3269,3269,3269,1,Good,Good,0
3270,3270,3270,3270,1,Good,Good,0
3271,3271,3271,3271,1,Good,Good,0
3272,3272,3272,3272,1,Good,Good,0
3273,3273,3273,3273,1,Good,Good,0
3274,3274,3274,3274,1,Good,Good,0
3275,3275,3275,3275,1,Good,Good,0
3276,3276,3276,3276,1,Good,Good,0
3277,3277,3277,3277,1,Good,Good,0
3278,3278,3278,3278,1,Good,Good,0
3279,3279,3279,3279,1,Good,Good,0
3280,3280,3280,3280,1,Good,Good,0
3281,3281,3281,3281,1,Good,Good,0
3282,3282,3282,3282,1,Good,Good,0
3283,3283,3283,3283,1,Good,Good,0
3284,3284,3284,3284,1,Good,Good,0
3285,3285,3285,3285,1,Good,Good,0
3286,3286,3286,3286,1,Good,Good,0
3287,3287,3287,3287,1,Good,Good,0
3289,3289,3289,3289,1,Good,Good,0
3292,3292,3292,3292,1,Good,Good,0
3293,3293,3293,3293,1,Good,Good,0
3294,3294,3294,3294,1,Good,Good,0
3300,3300,3300,3300,1,Good,Good,0
3301,3301,3301,3301,1,Good,Good,0
3302,3302,3302,3302,1,Good,Good,0
3303,3303,3303,3303,1,Good,Good,0
3304,3304,3304,3304,1,Good,Good,0
3305,3305,3305,3305,1,Good,Good,0
3309,3309,3309,3309,1,Good,Good,0
3310,3310,3310,3310,1,Good,Good,0
3311,3311,3311,3311,1,Good,Good,0
3312,3312,3312,3312,1,Good,Good,0
3314,3314,3314,3314,1,Good,Good,0
3315,3315,3315,3315,1,Good,Good,0
3317,3317,3317,3317,1,Good,Good,0
3318,3318,3318,3318,1,Good,Good,0
3319,3319,3319,3319,1,Good,Good,0
3321,3321,3321,3321,1,Good,Good,0
3322,3322,3322,3322,1,Good,Good,0
3323,3323,3323,3323,1,Good,Good,0
3324,3324,3324,3324,1,Good,Good,0
3325,3325,3325,3325,1,Good,Good,0
3328,3328,3328,3328,1,Good,Good,0
3329,3329,3329,3329,1,Good,Good,0
3330,3330,3330,3330,1,Good,Good,0
3331,3331,3331,3331,1,Good,Good,0
3332,3332,3332,3332,1,Good,Good,0
3333,3333,3333,3333,1,Good,Good,0
3334,3334,3334,3334,1,Good,Good,0
3335,3335,3029,3029,0.0085324,Good,Good,1
3335,3335,3335,3335,0.2702402,Poor,Good,0
3335,3335,3336,3336,0.7212274,Poor,Good,0
3337,3337,3337,3337,1,Good,Good,0
3338,3338,3338,3338,1,Good,Good,0
3340,3340,3340,3340,1,Good,Good,0
3341,3341,3341,3341,1,Good,Good,0
3342,3342,3342,3342,1,Good,Good,0
3345,3345,3345,3345,1,Good,Good,0
3350,3350,3350,3350,1,Good,Good,0
3351,3351,3358,3358,0.0139785,Poor,Good,0
3351,3351,3351,3351,0.9860215,Good,Good,0
3352,3352,3356,3356,0.0011104,Good,Good,1
3352,3352,3352,3352,0.9988896,Good,Good,0
3355,3355,3355,3355,1,Good,Good,0
3356,3356,3358,3358,0.0827913,Poor,Good,0
3356,3356,3356,3356,0.9172087,Good,Good,0
3357,3357,3357,3357,1,Good,Good,0
3360,3360,3360,3360,1,Good,Good,0
3361,3361,3361,3361,1,Good,Good,0
3363,3363,3363,3363,1,Good,Good,0
3364,3364,3364,3364,1,Good,Good,0
3370,3370,3370,3370,1,Good,Good,0
3371,3371,3371,3371,1,Good,Good,0
3373,3373,3373,3373,1,Good,Good,0
3374,3374,3374,3374,1,Good,Good,0
3375,3375,3375,3375,1,Good,Good,0
3377,3377,3377,3377,1,Good,Good,0
3378,3378,3378,3378,1,Good,Good,0
3379,3379,3379,3379,1,Good,Good,0
3380,3380,3380,3380,1,Good,Good,0
3381,3381,3381,3381,1,Good,Good,0
3384,3384,3384,3384,1,Good,Good,0
3385,3385,3385,3385,1,Good,Good,0
3387,3387,3387,3387,1,Good,Good,0
3388,3388,3388,3388,1,Good,Good,0
3390,3390,3390,3390,1,Good,Good,0
3391,3391,3391,3391,1,Good,Good,0
3392,3392,3392,3392,1,Good,Good,0
3393,3393,3393,3393,1,Good,Good,0
3395,3395,3395,3395,1,Good,Good,0
3396,3396,3396,3396,1,Good,Good,0
3400,3400,3400,3400,1,Good,Good,0
3401,3401,3401,3401,1,Good,Good,0
3407,3407,3407,3407,1,Good,Good,0
3409,3409,3409,3409,1,Good,Good,0
3412,3412,3412,3412,1,Good,Good,0
3413,3413,3413,3413,1,Good,Good,0
3414,3414,3414,3414,1,Good,Good,0
3415,3415,3415,3415,1,Good,Good,0
3418,3418,3418,3418,1,Good,Good,0
3419,3419,3419,3419,1,Good,Good,0
3420,3420,3420,3420,1,Good,Good,0
3423,3423,3423,3423,1,Good,Good,0
3424,3424,3424,3424,1,Good,Good,0
3427,3427,3427,3427,1,Good,Good,0
3428,3428,3428,3428,1,Good,Good,0
3429,3429,3429,3429,1,Good,Good,0
3430,3430,3430,3430,1,Good,Good,0
3431,3431,3431,3431,1,Good,Good,0
3432,3432,3432,3432,1,Good,Good,0
3433,3433,3433,3433,1,Good,Good,0
3434,3434,3434,3434,1,Good,Good,0
3435,3435,3435,3435,1,Good,Good,0
3437,3437,3437,3437,1,Good,Good,0
3438,3438,3438,3438,1,Good,Good,0
3440,3440,3440,3440,1,Good,Good,0
3441,3441,3441,3441,1,Good,Good,0
3442,3442,3442,3442,1,Good,Good,0
3444,3444,3444,3444,1,Good,Good,0
3446,3446,3446,3446,1,Good,Good,0
3447,3447,3447,3447,1,Good,Good,0
3448,3448,3448,3448,1,Good,Good,0
3450,3450,3450,3450,1,Good,Good,0
3451,3451,3451,3451,1,Good,Good,0
3453,3453,3453,3453,1,Good,Good,0
3458,3458,3458,3458,1,Good,Good,0
3460,3460,3460,3460,1,Good,Good,0
3461,3461,3461,3461,1,Good,Good,0
3462,3462,3462,3462,1,Good,Good,0
3463,3463,3463,3463,1,Good,Good,0
3464,3464,3464,3464,1,Good,Good,0
3465,3465,3465,3465,1,Good,Good,0
3467,3467,3467,3467,1,Good,Good,0
3468,3468,3468,3468,1,Good,Good,0
3469,3469,3469,3469,1,Good,Good,0
3472,3472,3472,3472,1,Good,Good,0
3475,3475,3475,3475,1,Good,Good,0
3477,3477,3477,3477,1,Good,Good,0
3478,3478,3478,3478,1,Good,Good,0
3480,3480,3480,3480,1,Good,Good,0
3482,3482,3482,3482,1,Good,Good,0
3483,3483,3483,3483,1,Good,Good,0
3485,3485,3485,3485,1,Good,Good,0
3487,3487,3487,3487,1,Good,Good,0
3488,3488,3488,3488,1,Good,Good,0
3489,3489,3489,3489,1,Good,Good,0
3490,3490,3490,3490,1,Good,Good,0
3491,3491,3491,3491,1,Good,Good,0
3494,3494,3494,3494,1,Good,Good,0
3496,3496,3496,3496,1,Good,Good,0
3498,3498,3498,3498,1,Good,Good,0
3500,3500,3500,3500,1,Good,Good,0
3501,3501,3501,3501,1,Good,Good,0
3505,3505,3505,3505,1,Good,Good,0
3506,3506,3506,3506,1,Good,Good,0
3507,3507,3507,3507,1,Good,Good,0
3509,3509,3509,3509,1,Good,Good,0
3512,3512,3512,3512,1,Good,Good,0
3515,3515,3515,3515,1,Good,Good,0
3516,3516,3516,3516,1,Good,Good,0
3517,3517,3517,3517,1,Good,Good,0
3518,3518,3518,3518,1,Good,Good,0
3520,3520,3520,3520,1,Good,Good,0
3521,3521,3521,3521,1,Good,Good,0
3522,3522,3522,3522,1,Good,Good,0
3523,3523,3523,3523,1,Good,Good,0
3525,3525,3525,3525,1,Good,Good,0
3527,3527,3527,3527,1,Good,Good,0
3529,3529,3529,3529,1,Good,Good,0
3530,3530,3530,3530,1,Good,Good,0
3531,3531,3531,3531,1,Good,Good,0
3533,3533,3533,3533,1,Good,Good,0
3537,3537,3537,3537,1,Good,Good,0
3540,3540,3540,3540,1,Good,Good,0
3542,3542,3542,3542,1,Good,Good,0
3544,3544,3544,3544,1,Good,Good,0
3546,3546,3546,3546,1,Good,Good,0
3549,3549,3549,3549,1,Good,Good,0
3550,3550,3550,3550,1,Good,Good,0
3551,3551,3551,3551,1,Good,Good,0
3555,3555,3555,3555,1,Good,Good,0
3556,3556,3551,3551,0.0009734,Good,Good,1
3556,3556,3556,3556,0.9990266,Good,Good,0
3557,3557,3557,3557,1,Good,Good,0
3558,3558,3558,3558,1,Good,Good,0
3559,3559,3559,3559,1,Good,Good,0
3561,3561,3561,3561,1,Good,Good,0
3562,3562,3562,3562,1,Good,Good,0
3563,3563,3563,3563,1,Good,Good,0
3564,3564,3564,3564,1,Good,Good,0
3565,3565,3565,3565,1,Good,Good,0
3566,3566,3566,3566,1,Good,Good,0
3567,3567,3567,3567,1,Good,Good,0
3568,3568,3568,3568,1,Good,Good,0
3570,3570,3570,3570,1,Good,Good,0
