SA2_MAINCODE_2016,SA2_NAME_2016,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
125041589,Wentworthville - Westmead,125041588,Pendle Hill - Girraween,1.00E-07,Good,Good,1
125041589,Wentworthville - Westmead,125041589,Wentworthville - Westmead,0.9999997,Good,Good,0
126011495,Epping - North Epping,125021711,Carlingford - East,1.00E-07,Poor,Good,1
126011495,Epping - North Epping,126011496,Pennant Hills - Cheltenham,1.00E-07,Good,Good,1
126011495,Epping - North Epping,126011720,Epping (East) - North Epping,0.4945972,Poor,Good,0
126011495,Epping - North Epping,126011721,Epping (NSW) - West,0.5054026,Poor,Good,0
126011496,Pennant Hills - Cheltenham,126011496,Pennant Hills - Cheltenham,0.9999998,Good,Good,0
126021497,Eastwood - Denistone,126021503,West Ryde - Meadowbank,1.00E-07,Good,Good,1
126021497,Eastwood - Denistone,126021722,Denistone,0.323226,Poor,Good,0
126021497,Eastwood - Denistone,126021723,Eastwood,0.6767738,Poor,Good,0
126021498,Gladesville - Huntleys Point,126021499,Hunters Hill - Woolwich,1.00E-07,Good,Good,1
126021498,Gladesville - Huntleys Point,126021724,Ryde - North,1.00E-07,Acceptable,Good,1
126021498,Gladesville - Huntleys Point,,,2.00E-07,Good,Good,5
126021498,Gladesville - Huntleys Point,126021498,Gladesville - Huntleys Point,0.9999996,Good,Good,0
126021499,Hunters Hill - Woolwich,126021498,Gladesville - Huntleys Point,1.00E-07,Good,Good,1
126021499,Hunters Hill - Woolwich,,,3.00E-07,Good,Good,5
126021499,Hunters Hill - Woolwich,126021499,Hunters Hill - Woolwich,0.9999996,Good,Good,0
126021500,Macquarie Park - Marsfield,126021500,Macquarie Park - Marsfield,0.9999998,Good,Good,0
126021501,North Ryde - East Ryde,126021500,Macquarie Park - Marsfield,5.00E-07,Good,Good,1
126021501,North Ryde - East Ryde,126021501,North Ryde - East Ryde,0.9999994,Good,Good,0
126021503,West Ryde - Meadowbank,125021477,Ermington - Rydalmere,1.00E-07,Good,Good,1
126021503,West Ryde - Meadowbank,126021722,Denistone,1.00E-07,Poor,Good,1
126021503,West Ryde - Meadowbank,126021503,West Ryde - Meadowbank,0.9999997,Good,Good,0
126021590,Putney,,,2.00E-07,Good,Good,5
126021590,Putney,126021725,Ryde - South,2.00E-07,Poor,Good,1
126021590,Putney,126021590,Putney,0.9999996,Good,Good,0
126021591,Ryde,126021501,North Ryde - East Ryde,1.00E-07,Good,Good,1
126021591,Ryde,126021725,Ryde - South,0.2144036,Poor,Good,0
126021591,Ryde,126021724,Ryde - North,0.7855962,Acceptable,Good,0
127011504,Ashcroft - Busby - Miller,127011594,Green Valley,1.00E-07,Good,Good,1
127011504,Ashcroft - Busby - Miller,127031599,Lurnea - Cartwright,1.00E-07,Good,Good,1
127011504,Ashcroft - Busby - Miller,127011504,Ashcroft - Busby - Miller,0.9999997,Good,Good,0
127011505,Austral - Greendale,127011505,Austral - Greendale,0.9999999,Good,Good,0
127011506,Cobbitty - Leppington,123021703,Denham Court - Bardia,0.0004166,Poor,Good,1
127011506,Cobbitty - Leppington,123021438,Claymore - Eagle Vale - Raby,0.0005605,Good,Good,1
127011506,Cobbitty - Leppington,127011727,Gledswood Hills - Gregory Hills,0.06602,Poor,Good,0
127011506,Cobbitty - Leppington,127011729,Oran Park,0.1002577,Poor,Good,0
127011506,Cobbitty - Leppington,127011728,Leppington - Catherine Field,0.2737379,Poor,Good,0
127011506,Cobbitty - Leppington,127011726,Cobbitty - Bringelly,0.5590073,Poor,Good,0
127011592,Badgerys Creek,127011505,Austral - Greendale,1.00E-07,Good,Good,1
127011592,Badgerys Creek,124031463,Mulgoa - Luddenham - Orchard Hills,1.00E-07,Good,Good,1
127011592,Badgerys Creek,127011592,Badgerys Creek,0.9999999,Good,Good,0
127011593,Cecil Hills,127021510,Bossley Park - Abbotsbury,1.00E-07,Good,Good,1
127011593,Cecil Hills,127011595,Hinchinbrook,1.00E-07,Good,Good,1
127011593,Cecil Hills,127011505,Austral - Greendale,1.00E-07,Good,Good,1
127011593,Cecil Hills,127011593,Cecil Hills,0.9999997,Good,Good,0
127011594,Green Valley,127021509,Bonnyrigg Heights - Bonnyrigg,1.00E-07,Good,Good,1
127011594,Green Valley,127011595,Hinchinbrook,1.00E-07,Good,Good,1
127011594,Green Valley,127011594,Green Valley,0.9999998,Good,Good,0
127011595,Hinchinbrook,127011594,Green Valley,1.00E-07,Good,Good,1
127011595,Hinchinbrook,127011504,Ashcroft - Busby - Miller,1.00E-07,Good,Good,1
127011595,Hinchinbrook,127011593,Cecil Hills,1.00E-07,Good,Good,1
127011595,Hinchinbrook,127011595,Hinchinbrook,0.9999997,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,127011595,Hinchinbrook,1.00E-07,Good,Good,1
127011596,Hoxton Park - Carnes Hill - Horningsea Park,127031733,Prestons,1.00E-07,Poor,Good,1
127011596,Hoxton Park - Carnes Hill - Horningsea Park,127011597,West Hoxton - Middleton Grange,1.00E-07,Good,Good,1
127011596,Hoxton Park - Carnes Hill - Horningsea Park,127011596,Hoxton Park - Carnes Hill - Horningsea Park,0.9999997,Good,Good,0
127011597,West Hoxton - Middleton Grange,127011505,Austral - Greendale,1.00E-07,Good,Good,1
127011597,West Hoxton - Middleton Grange,127011597,West Hoxton - Middleton Grange,0.9999998,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,127021514,Edensor Park,1.00E-07,Good,Good,1
127021509,Bonnyrigg Heights - Bonnyrigg,127021509,Bonnyrigg Heights - Bonnyrigg,0.9999998,Good,Good,0
127021510,Bossley Park - Abbotsbury,127021518,Horsley Park - Kemps Creek,1.00E-07,Good,Good,1
127021510,Bossley Park - Abbotsbury,127021510,Bossley Park - Abbotsbury,0.9999998,Good,Good,0
127021511,Cabramatta - Lansvale,127031523,Chipping Norton - Moorebank,1.00E-07,Good,Good,1
127021511,Cabramatta - Lansvale,127031601,Warwick Farm,1.00E-07,Good,Good,1
127021511,Cabramatta - Lansvale,127021513,Canley Vale - Canley Heights,1.00E-07,Good,Good,1
127021511,Cabramatta - Lansvale,127021511,Cabramatta - Lansvale,0.9999997,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,127021509,Bonnyrigg Heights - Bonnyrigg,1.00E-07,Good,Good,1
127021512,Cabramatta West - Mount Pritchard,127021512,Cabramatta West - Mount Pritchard,0.9999998,Good,Good,0
127021513,Canley Vale - Canley Heights,127021520,St Johns Park - Wakeley,1.00E-07,Good,Good,1
127021513,Canley Vale - Canley Heights,127021516,Fairfield - West,1.00E-07,Good,Good,1
127021513,Canley Vale - Canley Heights,127021511,Cabramatta - Lansvale,1.00E-07,Good,Good,1
127021513,Canley Vale - Canley Heights,127021513,Canley Vale - Canley Heights,0.9999997,Good,Good,0
127021514,Edensor Park,127021510,Bossley Park - Abbotsbury,1.00E-07,Good,Good,1
127021514,Edensor Park,127021509,Bonnyrigg Heights - Bonnyrigg,1.00E-07,Good,Good,1
127021514,Edensor Park,127021514,Edensor Park,0.9999998,Good,Good,0
127021515,Fairfield,127021516,Fairfield - West,1.00E-07,Good,Good,1
127021515,Fairfield,127021513,Canley Vale - Canley Heights,1.00E-07,Good,Good,1
127021515,Fairfield,125031487,Yennora Industrial,1.00E-07,Good,Good,1
127021515,Fairfield,125031480,Fairfield - East,1.00E-07,Good,Good,1
127021515,Fairfield,127021515,Fairfield,0.9999997,Good,Good,0
127021516,Fairfield - West,127021515,Fairfield,1.00E-07,Good,Good,1
127021516,Fairfield - West,127021519,Smithfield - Wetherill Park,1.00E-07,Good,Good,1
127021516,Fairfield - West,127021513,Canley Vale - Canley Heights,1.00E-07,Good,Good,1
127021516,Fairfield - West,127021516,Fairfield - West,0.9999997,Good,Good,0
127021517,Greenfield Park - Prairiewood,127021520,St Johns Park - Wakeley,1.00E-07,Good,Good,1
127021517,Greenfield Park - Prairiewood,127021514,Edensor Park,1.00E-07,Good,Good,1
127021517,Greenfield Park - Prairiewood,127021510,Bossley Park - Abbotsbury,1.00E-07,Good,Good,1
127021517,Greenfield Park - Prairiewood,127021519,Smithfield - Wetherill Park,1.00E-07,Good,Good,1
127021517,Greenfield Park - Prairiewood,127021517,Greenfield Park - Prairiewood,0.9999997,Good,Good,0
127021518,Horsley Park - Kemps Creek,127021518,Horsley Park - Kemps Creek,0.9999999,Good,Good,0
127021519,Smithfield - Wetherill Park,127021521,Wetherill Park Industrial,1.00E-07,Good,Good,1
127021519,Smithfield - Wetherill Park,125031486,Smithfield Industrial,1.00E-07,Good,Good,1
127021519,Smithfield - Wetherill Park,127021519,Smithfield - Wetherill Park,0.9999998,Good,Good,0
127021520,St Johns Park - Wakeley,127021517,Greenfield Park - Prairiewood,1.00E-07,Good,Good,1
127021520,St Johns Park - Wakeley,127021520,St Johns Park - Wakeley,0.9999998,Good,Good,0
127021521,Wetherill Park Industrial,127021519,Smithfield - Wetherill Park,1.00E-07,Good,Good,1
127021521,Wetherill Park Industrial,127021521,Wetherill Park Industrial,0.9999998,Good,Good,0
127031522,Casula,123021704,Glenfield,1.00E-07,Poor,Good,1
127031522,Casula,127031522,Casula,0.9999998,Good,Good,0
127031523,Chipping Norton - Moorebank,127031523,Chipping Norton - Moorebank,0.9999998,Good,Good,0
127031524,Holsworthy - Wattle Grove,127031524,Holsworthy - Wattle Grove,1,Good,Good,0
127031598,Liverpool,127031601,Warwick Farm,1.00E-07,Good,Good,1
127031598,Liverpool,127011504,Ashcroft - Busby - Miller,1.00E-07,Good,Good,1
127031598,Liverpool,127031731,Liverpool - East,0.3577334,Poor,Good,0
127031598,Liverpool,127031732,Liverpool - West,0.6422664,Poor,Good,0
127031599,Lurnea - Cartwright,127031732,Liverpool - West,1.00E-07,Poor,Good,1
127031599,Lurnea - Cartwright,127031733,Prestons,2.00E-07,Poor,Good,1
127031599,Lurnea - Cartwright,127011504,Ashcroft - Busby - Miller,2.00E-07,Good,Good,1
127031599,Lurnea - Cartwright,127031599,Lurnea - Cartwright,0.9999996,Good,Good,0
127031600,Prestons - Edmondson Park,127031730,Edmondson Park,0.3467939,Poor,Good,0
127031600,Prestons - Edmondson Park,127031733,Prestons,0.6532059,Poor,Good,0
127031601,Warwick Farm,127031523,Chipping Norton - Moorebank,1.00E-07,Good,Good,1
127031601,Warwick Farm,127031731,Liverpool - East,1.00E-07,Poor,Good,1
127031601,Warwick Farm,127021511,Cabramatta - Lansvale,1.00E-07,Good,Good,1
127031601,Warwick Farm,127031601,Warwick Farm,0.9999997,Good,Good,0
128011529,Gymea - Grays Point,,,1.00E-07,Good,Good,5
128011529,Gymea - Grays Point,128021538,Sutherland - Kirrawee,1.00E-07,Good,Good,1
128011529,Gymea - Grays Point,128011530,Miranda - Yowie Bay,1.00E-07,Good,Good,1
128011529,Gymea - Grays Point,128021537,Royal National Park,1.00E-07,Good,Good,1
128011529,Gymea - Grays Point,128011529,Gymea - Grays Point,0.9999996,Good,Good,0
128011530,Miranda - Yowie Bay,128011531,Sylvania - Taren Point,1.00E-07,Good,Good,1
128011530,Miranda - Yowie Bay,,,1.00E-07,Good,Good,5
128011530,Miranda - Yowie Bay,128011530,Miranda - Yowie Bay,0.9999998,Good,Good,0
128011531,Sylvania - Taren Point,,,0.0021382,Good,Good,5
128011531,Sylvania - Taren Point,128011531,Sylvania - Taren Point,0.9978618,Good,Good,0
128011602,Caringbah,128011530,Miranda - Yowie Bay,1.00E-07,Good,Good,1
128011602,Caringbah,128011603,Caringbah South,1.00E-07,Good,Good,1
128011602,Caringbah,128011531,Sylvania - Taren Point,1.00E-07,Good,Good,1
128011602,Caringbah,128011602,Caringbah,0.9999997,Good,Good,0
128011603,Caringbah South,,,1.00E-07,Good,Good,5
128011603,Caringbah South,128011602,Caringbah,1.00E-07,Good,Good,1
128011603,Caringbah South,128011605,Lilli Pilli - Port Hacking - Dolans Bay,1.00E-07,Good,Good,1
128011603,Caringbah South,128011603,Caringbah South,0.9999997,Good,Good,0
128011604,Cronulla - Kurnell - Bundeena,,,2.00E-07,Good,Good,5
128011604,Cronulla - Kurnell - Bundeena,128011604,Cronulla - Kurnell - Bundeena,0.9999997,Acceptable,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,128011603,Caringbah South,2.00E-07,Good,Good,1
128011605,Lilli Pilli - Port Hacking - Dolans Bay,,,4.00E-07,Good,Good,5
128011605,Lilli Pilli - Port Hacking - Dolans Bay,128011605,Lilli Pilli - Port Hacking - Dolans Bay,0.9999994,Good,Good,0
128011606,Woolaware - Burraneer,128011604,Cronulla - Kurnell - Bundeena,1.00E-07,Acceptable,Good,1
128011606,Woolaware - Burraneer,,,2.00E-07,Good,Good,5
128011606,Woolaware - Burraneer,128011606,Woolooware - Burraneer,0.9999997,Good,Good,0
128021533,Heathcote - Waterfall,128021533,Heathcote - Waterfall,0.9999999,Good,Good,0
128021534,Illawong - Alfords Point,128021535,Menai - Lucas Heights - Woronora,1.00E-07,Good,Good,1
128021534,Illawong - Alfords Point,,,2.00E-07,Good,Good,5
128021534,Illawong - Alfords Point,128021534,Illawong - Alfords Point,0.9999997,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,128021535,Menai - Lucas Heights - Woronora,0.9999999,Good,Good,0
128021536,Oyster Bay - Como - Jannali,128021538,Sutherland - Kirrawee,1.00E-07,Good,Good,1
128021536,Oyster Bay - Como - Jannali,,,2.00E-07,Good,Good,5
128021536,Oyster Bay - Como - Jannali,128021536,Oyster Bay - Como - Jannali,0.9999997,Good,Good,0
128021537,Royal National Park,128021537,Royal National Park,0.9999999,Good,Good,0
128021538,Sutherland - Kirrawee,128021536,Oyster Bay - Como - Jannali,1.00E-07,Good,Good,1
128021538,Sutherland - Kirrawee,128021538,Sutherland - Kirrawee,0.9999998,Good,Good,0
128021607,Engadine,128021608,Loftus - Yarrawarrah,1.00E-07,Good,Good,1
128021607,Engadine,128021607,Engadine,0.9999998,Good,Good,0
128021608,Loftus - Yarrawarrah,128021537,Royal National Park,1.00E-07,Good,Good,1
128021608,Loftus - Yarrawarrah,128021538,Sutherland - Kirrawee,1.00E-07,Good,Good,1
128021608,Loftus - Yarrawarrah,128021607,Engadine,2.00E-07,Good,Good,1
128021608,Loftus - Yarrawarrah,128021608,Loftus - Yarrawarrah,0.9999997,Good,Good,0
128021609,Woronora Heights,128021607,Engadine,1.00E-07,Good,Good,1
128021609,Woronora Heights,128021535,Menai - Lucas Heights - Woronora,1.00E-07,Good,Good,1
128021609,Woronora Heights,128021609,Woronora Heights,0.9999998,Good,Good,0
197979799,Migratory - Offshore - Shipping (NSW),197979799,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199999499,No usual address (NSW),199999499,No usual address (NSW),1,Good,Good,0
201011001,Alfredton,201011006,Delacombe,2.00E-07,Good,Good,1
201011001,Alfredton,201011001,Alfredton,0.9999998,Good,Good,0
201011002,Ballarat,201011002,Ballarat,0.9999999,Good,Good,0
201011003,Ballarat - North,201011481,Ballarat East - Warrenheip,0.2080591,Poor,Good,0
201011003,Ballarat - North,201011482,Ballarat North - Invermay,0.7919409,Acceptable,Good,0
201011004,Ballarat - South,201011484,Sebastopol - Redan,0.3220846,Poor,Good,0
201011004,Ballarat - South,201011483,Canadian - Mount Clear,0.6779154,Poor,Good,0
201011005,Buninyong,201011005,Buninyong,0.9999999,Good,Good,0
201011006,Delacombe,201011006,Delacombe,0.9999999,Good,Good,0
201011007,Smythes Creek,201011007,Smythes Creek,0.9999999,Good,Good,0
201011008,Wendouree - Miners Rest,201011001,Alfredton,2.00E-07,Good,Good,1
201011008,Wendouree - Miners Rest,201011008,Wendouree - Miners Rest,0.9999998,Good,Good,0
201021009,Bacchus Marsh Region,201021009,Bacchus Marsh Surrounds,1,Good,Good,0
201021010,Creswick - Clunes,201021010,Creswick - Clunes,1,Good,Good,0
201021011,Daylesford,201021011,Daylesford,1,Good,Good,0
201021012,Gordon (Vic.),201021012,Gordon (Vic.),1,Good,Good,0
201031013,Avoca,201031013,Avoca,1,Good,Good,0
201031014,Beaufort,201031014,Beaufort,1,Good,Good,0
201031015,Golden Plains - North,201031015,Golden Plains - North,1,Good,Good,0
201031016,Maryborough (Vic.),201031017,Maryborough Surrounds,1.00E-07,Good,Good,1
201031016,Maryborough (Vic.),201031016,Maryborough (Vic.),0.9999999,Good,Good,0
201031017,Maryborough Region,201031017,Maryborough Surrounds,1,Good,Good,0
202011018,Bendigo,202011019,California Gully - Eaglehawk,0.0001275,Good,Good,1
202011018,Bendigo,202011018,Bendigo,0.9998724,Good,Good,0
202011019,California Gully - Eaglehawk,202031032,Bendigo Surrounds - North,1.00E-07,Good,Good,1
202011019,California Gully - Eaglehawk,202011018,Bendigo,0.0032566,Good,Good,1
202011019,California Gully - Eaglehawk,202011019,California Gully - Eaglehawk,0.9967433,Good,Good,0
202011020,East Bendigo - Kennington,202011020,East Bendigo - Kennington,0.9999999,Good,Good,0
202011021,Flora Hill - Spring Gully,202011021,Flora Hill - Spring Gully,0.9999999,Good,Good,0
202011022,Kangaroo Flat - Golden Square,202011022,Kangaroo Flat - Golden Square,0.9999999,Good,Good,0
202011023,Maiden Gully,202011023,Maiden Gully,0.9999999,Good,Good,0
202011024,Strathfieldsaye,202011024,Strathfieldsaye,0.9999999,Good,Good,0
202011025,White Hills - Ascot,202031032,Bendigo Surrounds - North,2.00E-07,Good,Good,1
202011025,White Hills - Ascot,202011025,White Hills - Ascot,0.9999997,Good,Good,0
202021026,Bendigo Region - South,202021026,Bendigo Surrounds - South,1,Good,Good,0
202021027,Castlemaine,202021028,Castlemaine Surrounds,1.00E-07,Good,Good,1
202021027,Castlemaine,202021027,Castlemaine,0.9999999,Good,Good,0
202021028,Castlemaine Region,202021028,Castlemaine Surrounds,1,Good,Good,0
202021029,Heathcote,202021029,Heathcote,1,Good,Good,0
202021030,Kyneton,202021030,Kyneton,1,Good,Good,0
202021031,Woodend,202021031,Woodend,1,Good,Good,0
202031032,Bendigo Region - North,202031032,Bendigo Surrounds - North,1,Good,Good,0
202031033,Loddon,202031033,Loddon,1,Good,Good,0
203011034,Bannockburn,203011034,Bannockburn,0.9999999,Good,Good,0
203011035,Golden Plains - South,203011035,Golden Plains - South,1,Good,Good,0
203011036,Winchelsea,203011036,Winchelsea,1,Good,Good,0
203021037,Belmont,203021042,Highton,1.00E-07,Good,Good,1
203021037,Belmont,203021037,Belmont,0.9999998,Good,Good,0
203021038,Corio - Norlane,203021488,Norlane,0.0799655,Poor,Good,0
203021038,Corio - Norlane,203021486,Corio - Lovely Banks,0.9200345,Good,Good,0
203021039,Geelong,,,1.00E-07,Good,Good,5
203021039,Geelong,203021039,Geelong,0.9999998,Good,Good,0
203021040,Geelong West - Hamlyn Heights,203021040,Geelong West - Hamlyn Heights,0.9999999,Good,Good,0
203021041,Grovedale,203031489,Barwon Heads - Armstrong Creek,2.00E-07,Poor,Good,1
203021041,Grovedale,203021485,Charlemont,0.3252229,Poor,Good,0
203021041,Grovedale,203021487,Grovedale - Mount Duneed,0.6747769,Poor,Good,0
203021042,Highton,203021042,Highton,0.9999999,Good,Good,0
203021043,Lara,203021043,Lara,1,Good,Good,0
203021044,Leopold,203021044,Leopold,0.9999999,Good,Good,0
203021045,Newcomb - Moolap,203021045,Newcomb - Moolap,0.9999999,Good,Good,0
203021046,Newtown (Vic.),203021040,Geelong West - Hamlyn Heights,1.00E-07,Good,Good,1
203021046,Newtown (Vic.),203021042,Highton,1.00E-07,Good,Good,1
203021046,Newtown (Vic.),203021046,Newtown (Vic.),0.9999997,Good,Good,0
203021047,North Geelong - Bell Park,203021040,Geelong West - Hamlyn Heights,1.00E-07,Good,Good,1
203021047,North Geelong - Bell Park,203021047,North Geelong - Bell Park,0.9999998,Good,Good,0
203031048,Clifton Springs,203031048,Clifton Springs,0.9999999,Good,Good,0
203031049,Lorne - Anglesea,203031049,Lorne - Anglesea,1,Good,Good,0
203031050,Ocean Grove - Barwon Heads,203031490,Ocean Grove,0.4380735,Poor,Good,0
203031050,Ocean Grove - Barwon Heads,203031489,Barwon Heads - Armstrong Creek,0.5619265,Poor,Good,0
203031051,Portarlington,203031051,Portarlington,0.9999999,Good,Good,0
203031052,Point Lonsdale - Queenscliff,,,1.00E-07,Good,Good,5
203031052,Point Lonsdale - Queenscliff,203031052,Point Lonsdale - Queenscliff,0.9999999,Good,Good,0
203031053,Torquay,203031053,Torquay,0.9999999,Good,Good,0
204011054,Alexandra,204011054,Alexandra,1,Good,Good,0
204011055,Euroa,204011055,Euroa,1,Good,Good,0
204011056,Kilmore - Broadford,204011056,Kilmore - Broadford,1,Good,Good,0
204011057,Mansfield (Vic.),204011057,Mansfield (Vic.),1,Good,Good,0
204011058,Nagambie,204011058,Nagambie,1,Good,Good,0
204011059,Seymour,204011059,Seymour,1,Good,Good,0
204011060,Seymour Region,204011060,Seymour Surrounds,1,Good,Good,0
204011061,Upper Yarra Valley,204011061,Upper Yarra Valley,1,Good,Good,0
204011062,Yea,204011062,Yea,1,Good,Good,0
204021063,Benalla,204021063,Benalla,1,Good,Good,0
204021064,Benalla Region,204021064,Benalla Surrounds,1,Good,Good,0
204021065,Rutherglen,109031180,Corowa,0.0005197,Good,Good,1
204021065,Rutherglen,109031181,Corowa Surrounds,0.0019706,Good,Good,1
204021065,Rutherglen,204021065,Rutherglen,0.9975097,Good,Good,0
204021066,Wangaratta,204021067,Wangaratta Surrounds,1.00E-07,Good,Good,1
204021066,Wangaratta,204021066,Wangaratta,0.9999999,Good,Good,0
204021067,Wangaratta Region,204021067,Wangaratta Surrounds,1,Good,Good,0
204031068,Beechworth,204031068,Beechworth,1,Good,Good,0
204031069,Bright - Mount Beauty,204031069,Bright - Mount Beauty,1,Good,Good,0
204031070,Chiltern - Indigo Valley,109011175,Albury Surrounds,3.56E-05,Good,Good,1
204031070,Chiltern - Indigo Valley,109031181,Corowa Surrounds,0.0003117,Good,Good,1
204031070,Chiltern - Indigo Valley,204031070,Chiltern - Indigo Valley,0.9996527,Good,Good,0
204031071,Myrtleford,204031071,Myrtleford,1,Good,Good,0
204031072,Towong,109011175,Albury Surrounds,3.84E-05,Good,Good,1
204031072,Towong,113021260,Tumbarumba,7.00E-05,Good,Good,1
204031072,Towong,204031072,Towong,0.9998916,Good,Good,0
204031073,West Wodonga,109011175,Albury Surrounds,2.70E-06,Good,Good,1
204031073,West Wodonga,109011174,Albury - South,2.31E-05,Good,Good,1
204031073,West Wodonga,204031073,West Wodonga,0.9999742,Good,Good,0
204031074,Wodonga,109011174,Albury - South,1.20E-06,Good,Good,1
204031074,Wodonga,109011172,Albury - East,7.40E-06,Good,Good,1
204031074,Wodonga,204031492,Wodonga,0.1077172,Poor,Good,0
204031074,Wodonga,204031491,Baranduda - Leneva,0.8922742,Acceptable,Good,0
204031075,Yackandandah,204031075,Yackandandah,1,Good,Good,0
205011076,Drouin,205011076,Drouin,1,Good,Good,0
205011077,Mount Baw Baw Region,205011077,Mount Baw Baw Region,1,Good,Good,0
205011078,Trafalgar (Vic.),205011078,Trafalgar (Vic.),1,Good,Good,0
205011079,Warragul,205011079,Warragul,1,Good,Good,0
205021080,Alps - East,113021260,Tumbarumba,2.00E-07,Good,Good,1
205021080,Alps - East,204031072,Towong,2.00E-07,Good,Good,1
205021080,Alps - East,101031016,Jindabyne - Berridale,6.00E-07,Good,Good,1
205021080,Alps - East,205021080,Alps - East,0.999999,Good,Good,0
205021081,Bairnsdale,205021081,Bairnsdale,0.9999999,Good,Good,0
205021082,Bruthen - Omeo,205021082,Bruthen - Omeo,1,Good,Good,0
205021083,Lake King,205021083,Lake King,0.9999999,Good,Good,0
205021084,Lakes Entrance,205021084,Lakes Entrance,0.9999999,Good,Good,0
205021085,Orbost,101041020,Bega-Eden Hinterland,1.46E-05,Good,Good,1
205021085,Orbost,101031016,Jindabyne - Berridale,2.12E-05,Good,Good,1
205021085,Orbost,101031013,Bombala,0.0001127,Good,Good,1
205021085,Orbost,205021085,Orbost,0.9998515,Good,Good,0
205021086,Paynesville,205021086,Paynesville,1,Good,Good,0
205031087,Foster,205031087,Foster,1,Good,Good,0
205031088,French Island,205031088,French Island,1,Good,Good,0
205031089,Korumburra,205031089,Korumburra,1,Good,Good,0
205031090,Leongatha,205031090,Leongatha,1,Good,Good,0
205031091,Phillip Island,,,1.00E-07,Good,Good,5
205031091,Phillip Island,205031091,Phillip Island,0.9999999,Good,Good,0
205031092,Wilsons Promontory,205031092,Wilsons Promontory,1,Good,Good,0
205031093,Wonthaggi - Inverloch,205031093,Wonthaggi - Inverloch,1,Good,Good,0
205041094,Churchill,205041094,Churchill,1,Good,Good,0
205041095,Moe - Newborough,205041095,Moe - Newborough,0.9999999,Good,Good,0
205041096,Morwell,205041096,Morwell,0.9999999,Good,Good,0
205041097,Traralgon,205041494,Traralgon - West,0.2762224,Poor,Good,0
205041097,Traralgon,205041493,Traralgon - East,0.7237775,Poor,Good,0
205041098,Yallourn North - Glengarry,205041098,Yallourn North - Glengarry,1,Good,Good,0
205051099,Alps - West,205051099,Alps - West,1,Good,Good,0
205051100,Longford - Loch Sport,205051100,Longford - Loch Sport,1,Good,Good,0
205051101,Maffra,205051101,Maffra,1,Good,Good,0
205051102,Rosedale,205051102,Rosedale,1,Good,Good,0
205051103,Sale,205051100,Longford - Loch Sport,1.00E-07,Good,Good,1
205051103,Sale,205051103,Sale,0.9999999,Good,Good,0
205051104,Yarram,205051104,Yarram,1,Acceptable,Good,0
206011105,Brunswick,206011107,Brunswick West,1.00E-07,Good,Good,1
206011105,Brunswick,206011495,Brunswick - North,0.4684037,Poor,Good,0
206011105,Brunswick,206011496,Brunswick - South,0.5315961,Poor,Good,0
206011106,Brunswick East,206011496,Brunswick - South,1.00E-07,Poor,Good,1
206011106,Brunswick East,206021500,Northcote - West,1.00E-07,Poor,Good,1
206011106,Brunswick East,206011495,Brunswick - North,1.00E-07,Poor,Good,1
206011106,Brunswick East,206011106,Brunswick East,0.9999997,Good,Good,0
206011107,Brunswick West,206031502,Essendon - East,1.00E-07,Poor,Good,1
206011107,Brunswick West,206031116,Moonee Ponds,1.00E-07,Good,Good,1
206011107,Brunswick West,206011498,Coburg - West,1.00E-07,Poor,Good,1
206011107,Brunswick West,206011109,Pascoe Vale South,1.00E-07,Good,Good,1
206011107,Brunswick West,206011107,Brunswick West,0.9999996,Good,Good,0
206011108,Coburg,210031236,Coburg North,1.00E-07,Good,Good,1
206011108,Coburg,206011498,Coburg - West,0.4596459,Poor,Good,0
206011108,Coburg,206011497,Coburg - East,0.5403539,Poor,Good,0
206011109,Pascoe Vale South,206011107,Brunswick West,1.00E-07,Good,Good,1
206011109,Pascoe Vale South,206011498,Coburg - West,1.00E-07,Poor,Good,1
206011109,Pascoe Vale South,210031538,Pascoe Vale,1.00E-07,Poor,Good,1
206011109,Pascoe Vale South,206031502,Essendon - East,1.00E-07,Poor,Good,1
206011109,Pascoe Vale South,206011109,Pascoe Vale South,0.9999997,Good,Good,0
206021110,Alphington - Fairfield,206021112,Thornbury,1.00E-07,Good,Good,1
206021110,Alphington - Fairfield,206021499,Northcote - East,1.00E-07,Poor,Good,1
206021110,Alphington - Fairfield,206071145,Clifton Hill - Alphington,1.00E-07,Good,Good,1
206021110,Alphington - Fairfield,209011200,Ivanhoe,1.00E-07,Good,Good,1
206021110,Alphington - Fairfield,206021110,Alphington - Fairfield,0.9999997,Good,Good,0
206021111,Northcote,206021112,Thornbury,1.00E-07,Good,Good,1
206021111,Northcote,206021500,Northcote - West,0.4282225,Poor,Good,0
206021111,Northcote,206021499,Northcote - East,0.5717774,Poor,Good,0
