LGA_CODE_2006,LGA_NAME_2006,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),10050,Albury,0.9981522,Good,Good,0
10050,Albury (C),13340,Greater Hume Shire,0.0018478,Good,Good,1
10110,Armidale Dumaresq (A),10180,Armidale Regional,1,Good,Good,0
10150,Ashfield (A),11300,Burwood,0.000711,Good,Good,1
10150,Ashfield (A),14170,Inner West,0.999289,Good,Good,0
10200,Auburn (A),11570,Canterbury-Bankstown,0.0002251,Good,Good,1
10200,Auburn (A),12380,Cumberland,0.8614639,Acceptable,Good,0
10200,Auburn (A),16260,Parramatta,0.1383067,Poor,Good,0
10200,Auburn (A),11520,Canada Bay,4.20E-06,Good,Good,1
10250,Ballina (A),10250,Ballina,0.9994432,Good,Good,0
10250,Ballina (A),11350,Byron,0.0005568,Good,Good,1
10300,Balranald (A),10300,Balranald,0.9991511,Good,Good,0
10300,Balranald (A),15520,Murray River,0.0008489,Good,Good,1
10350,Bankstown (C),11570,Canterbury-Bankstown,0.9999441,Good,Good,0
10350,Bankstown (C),,,1.00E-07,Poor,Good,5
10350,Bankstown (C),17100,Strathfield,5.58E-05,Good,Good,1
10470,Bathurst Regional (A),10470,Bathurst Regional,1,Good,Good,0
10500,Baulkham Hills (A),10750,Blacktown,0.0002871,Good,Good,1
10500,Baulkham Hills (A),16260,Parramatta,0.169595,Poor,Good,0
10500,Baulkham Hills (A),17420,The Hills Shire,0.8301179,Acceptable,Good,0
10550,Bega Valley (A),,,0.0047353,Poor,Good,5
10550,Bega Valley (A),10550,Bega Valley,0.9948351,Good,Good,0
10550,Bega Valley (A),12750,Eurobodalla,0.0001483,Good,Good,1
10550,Bega Valley (A),17040,Snowy Monaro Regional,0.0002813,Good,Good,1
10600,Bellingen (A),10600,Bellingen,1,Good,Good,0
10650,Berrigan (A),10650,Berrigan,1,Good,Good,0
10750,Blacktown (C),10750,Blacktown,0.99956,Good,Good,0
10750,Blacktown (C),12380,Cumberland,0.0003514,Acceptable,Good,1
10750,Blacktown (C),16350,Penrith,4.00E-07,Good,Good,1
10750,Blacktown (C),17420,The Hills Shire,8.82E-05,Acceptable,Good,1
10800,Bland (A),10800,Bland,1,Good,Good,0
10850,Blayney (A),10850,Blayney,1,Good,Good,0
10900,Blue Mountains (C),10900,Blue Mountains,1,Good,Good,0
10950,Bogan (A),10950,Bogan,1,Good,Good,0
11000,Bombala (A),17040,Snowy Monaro Regional,1,Good,Good,0
