SA2_MAINCODE_2016,SA2_NAME_2016,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
117021328,Sydenham - Tempe - St Peters,142,Sydney,1.3e-6,Good,Good,1
117031329,Darlinghurst,142,Sydney,0.9364847,Good,Good,0
117031329,Darlinghurst,145,Wentworth,0.0635153,Good,Good,0
117031330,Erskineville - Alexandria,142,Sydney,1,Good,Good,0
117031331,Glebe - Forest Lodge,142,Sydney,1,Good,Good,0
117031332,Newtown - Camperdown - Darlington,117,Grayndler,0.2491017,Acceptable,Good,0
117031332,Newtown - Camperdown - Darlington,142,Sydney,0.7508983,Good,Good,0
117031333,Potts Point - Woolloomooloo,142,Sydney,0.6307496,Good,Good,0
117031333,Potts Point - Woolloomooloo,145,Wentworth,0.3692504,Good,Good,0
117031334,Pyrmont - Ultimo,142,Sydney,1,Good,Good,0
117031335,Redfern - Chippendale,142,Sydney,1,Good,Good,0
117031336,Surry Hills,142,Sydney,1,Good,Good,0
117031337,Sydney - Haymarket - The Rocks,142,Sydney,1,Good,Good,0
117031338,Waterloo - Beaconsfield,142,Sydney,1,Good,Good,0
118011339,Bondi - Tamarama - Bronte,145,Wentworth,1,Good,Good,0
118011340,Bondi Beach - North Bondi,145,Wentworth,1,Good,Good,0
118011341,Bondi Junction - Waverly,145,Wentworth,1,Good,Good,0
118011342,Centennial Park,145,Wentworth,1,Good,Good,0
118011343,Double Bay - Bellevue Hill,145,Wentworth,1,Good,Good,0
118011344,Dover Heights,145,Wentworth,1,Good,Good,0
118011345,Paddington - Moore Park,122,Kingsford Smith,0.0016625,Good,Good,1
118011345,Paddington - Moore Park,145,Wentworth,0.9983375,Good,Good,0
118011346,Rose Bay - Vaucluse - Watsons Bay,145,Wentworth,1,Good,Good,0
118011347,Woollahra,145,Wentworth,1,Good,Good,0
118021348,Coogee - Clovelly,122,Kingsford Smith,0.8556324,Good,Good,0
118021348,Coogee - Clovelly,145,Wentworth,0.1443676,Good,Good,0
118021350,Malabar - La Perouse - Chifley,122,Kingsford Smith,1,Good,Good,0
118021564,Kensington (NSW),122,Kingsford Smith,1,Good,Good,0
118021565,Kingsford,122,Kingsford Smith,1,Good,Good,0
118021566,Maroubra - North,122,Kingsford Smith,1,Good,Good,0
118021567,Maroubra - South,122,Kingsford Smith,1,Good,Good,0
118021568,Maroubra - West,122,Kingsford Smith,1,Good,Good,0
118021569,Randwick - North,122,Kingsford Smith,0.5594406,Good,Good,0
118021569,Randwick - North,145,Wentworth,0.4405594,Good,Good,0
118021570,Randwick - South,122,Kingsford Smith,1,Good,Good,0
119011354,Bass Hill - Georges Hall,105,Blaxland,1,Good,Good,0
119011355,Chullora,105,Blaxland,0.9965318,Good,Good,0
119011355,Chullora,144,Watson,0.0034682,Acceptable,Good,1
119011356,Condell Park,105,Blaxland,1,Good,Good,0
119011357,Greenacre - Mount Lewis,144,Watson,1,Acceptable,Good,0
119011358,Padstow,101,Banks,1,Acceptable,Good,0
119011359,Panania - Milperra - Picnic Point,101,Banks,0.850068,Acceptable,Good,0
119011359,Panania - Milperra - Picnic Point,105,Blaxland,0.149932,Good,Good,0
119011360,Revesby,101,Banks,0.8868414,Acceptable,Good,0
119011360,Revesby,105,Blaxland,0.1131586,Good,Good,0
119011361,Yagoona - Birrong,105,Blaxland,1,Good,Good,0
119011571,Bankstown - North,105,Blaxland,0.9205067,Good,Good,0
119011571,Bankstown - North,144,Watson,0.0794933,Acceptable,Good,0
119011572,Bankstown - South,105,Blaxland,0.8741796,Good,Good,0
119011572,Bankstown - South,144,Watson,0.1258204,Acceptable,Good,0
119021362,Belmore - Belfield,102,Barton,0.0255332,Acceptable,Good,0
119021362,Belmore - Belfield,144,Watson,0.9744668,Acceptable,Good,0
119021363,Canterbury (South) - Campsie,102,Barton,0.264641,Acceptable,Good,0
119021363,Canterbury (South) - Campsie,144,Watson,0.735359,Acceptable,Good,0
119021364,Kingsgrove (North) - Earlwood,102,Barton,0.8831936,Acceptable,Good,0
119021364,Kingsgrove (North) - Earlwood,144,Watson,0.1168064,Acceptable,Good,0
119021366,Punchbowl,144,Watson,1,Acceptable,Good,0
119021367,Roselands,144,Watson,1,Acceptable,Good,0
119021573,Lakemba,144,Watson,1,Acceptable,Good,0
119021574,Wiley Park,144,Watson,1,Acceptable,Good,0
119031368,Hurstville,102,Barton,1,Acceptable,Good,0
119031369,Mortdale - Penshurst,101,Banks,1,Acceptable,Good,0
119031370,Narwee - Beverly Hills,101,Banks,0.7416616,Acceptable,Good,0
119031370,Narwee - Beverly Hills,102,Barton,0.2583384,Acceptable,Good,0
119031371,Oatley - Hurstville Grove,101,Banks,1,Acceptable,Good,0
119031372,Peakhurst - Lugarno,101,Banks,1,Acceptable,Good,0
119031373,Riverwood,101,Banks,1,Acceptable,Good,0
119031374,South Hurstville - Blakehurst,101,Banks,0.6968971,Acceptable,Good,0
119031374,South Hurstville - Blakehurst,109,Cook,0.3031029,Acceptable,Good,0
119041375,Arncliffe - Bardwell Valley,102,Barton,1,Acceptable,Good,0
119041376,Bexley,102,Barton,1,Acceptable,Good,0
119041377,Kingsgrove (South) - Bardwell Park,102,Barton,1,Acceptable,Good,0
119041378,Kogarah,102,Barton,0.768342,Acceptable,Good,0
119041378,Kogarah,109,Cook,0.231658,Acceptable,Good,0
119041379,Kogarah Bay - Carlton - Allawah,101,Banks,0.6706207,Acceptable,Good,0
119041379,Kogarah Bay - Carlton - Allawah,102,Barton,0.0516503,Acceptable,Good,0
119041379,Kogarah Bay - Carlton - Allawah,109,Cook,0.277729,Acceptable,Good,0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,102,Barton,0.6769695,Acceptable,Good,0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,109,Cook,0.3230305,Acceptable,Good,0
119041381,Rockdale - Banksia,102,Barton,1,Acceptable,Good,0
119041382,Sans Souci - Ramsgate,109,Cook,1,Acceptable,Good,0
120011383,Concord - Mortlake - Cabarita,137,Reid,1,Good,Good,0
120011384,Concord West - North Strathfield,137,Reid,1,Good,Good,0
120011385,Drummoyne - Rodd Point,137,Reid,1,Good,Good,0
120011386,Five Dock - Abbotsford,137,Reid,1,Good,Good,0
120021387,Balmain,117,Grayndler,1,Acceptable,Good,0
120021388,Leichhardt - Annandale,117,Grayndler,1,Acceptable,Good,0
120021389,Lilyfield - Rozelle,117,Grayndler,1,Acceptable,Good,0
120031390,Ashfield,117,Grayndler,0.5562417,Acceptable,Good,0
120031390,Ashfield,137,Reid,0.0722382,Good,Good,0
120031390,Ashfield,144,Watson,0.3715201,Acceptable,Good,0
120031391,Burwood - Croydon,137,Reid,1,Good,Good,0
120031392,Canterbury (North) - Ashbury,102,Barton,0.1454428,Acceptable,Good,0
120031392,Canterbury (North) - Ashbury,117,Grayndler,0.3263871,Acceptable,Good,0
120031392,Canterbury (North) - Ashbury,144,Watson,0.5281701,Acceptable,Good,0
120031393,Croydon Park - Enfield,144,Watson,1,Acceptable,Good,0
120031394,Dulwich Hill - Lewisham,102,Barton,0.0543331,Acceptable,Good,0
120031394,Dulwich Hill - Lewisham,117,Grayndler,0.9456669,Acceptable,Good,0
120031395,Haberfield - Summer Hill,117,Grayndler,1,Acceptable,Good,0
120031396,Homebush,137,Reid,1,Good,Good,0
120031575,Strathfield,137,Reid,1,Good,Good,0
120031576,Strathfield South,144,Watson,1,Acceptable,Good,0
121011398,Chatswood (East) - Artarmon,106,Bradfield,0.3495227,Good,Good,0
121011398,Chatswood (East) - Artarmon,132,North Sydney,0.6504773,Acceptable,Good,0
121011399,Chatswood (West) - Lane Cove North,103,Bennelong,0.0169844,Good,Good,0
121011399,Chatswood (West) - Lane Cove North,106,Bradfield,0.1382448,Good,Good,0
121011399,Chatswood (West) - Lane Cove North,132,North Sydney,0.8447708,Acceptable,Good,0
121011400,Lane Cove - Greenwich,132,North Sydney,1,Acceptable,Good,0
121011401,St Leonards - Naremburn,132,North Sydney,1,Acceptable,Good,0
121011402,Willoughby - Castle Cove - Northbridge,106,Bradfield,0.1002124,Good,Good,0
121011402,Willoughby - Castle Cove - Northbridge,132,North Sydney,0.8997876,Acceptable,Good,0
121021403,Asquith - Mount Colah,104,Berowra,0.8646832,Good,Good,0
121021403,Asquith - Mount Colah,106,Bradfield,0.1353168,Good,Good,0
121021404,Berowra - Brooklyn - Cowan,104,Berowra,1,Good,Good,0
121021406,Normanhurst - Thornleigh - Westleigh,104,Berowra,0.8563626,Good,Good,0
121021406,Normanhurst - Thornleigh - Westleigh,106,Bradfield,0.1436374,Good,Good,0
121021577,Hornsby - East,106,Bradfield,1,Good,Good,0
121021578,Hornsby - West,104,Berowra,1,Good,Good,0
121021579,Waitara - Wahroonga (West),106,Bradfield,1,Good,Good,0
121031407,Gordon - Killara,106,Bradfield,1,Good,Good,0
121031408,Lindfield - Roseville,106,Bradfield,1,Good,Good,0
121031409,Pymble,106,Bradfield,1,Good,Good,0
121031410,St Ives,106,Bradfield,1,Good,Good,0
121031411,Turramurra,106,Bradfield,1,Good,Good,0
121031412,Wahroonga (East) - Warrawee,106,Bradfield,1,Good,Good,0
121041413,Cremorne - Cammeray,132,North Sydney,0.6644216,Acceptable,Good,0
121041413,Cremorne - Cammeray,143,Warringah,0.3355784,Acceptable,Good,0
121041414,Crows Nest - Waverton,132,North Sydney,1,Acceptable,Good,0
121041415,Mosman,143,Warringah,1,Acceptable,Good,0
121041416,Neutral Bay - Kirribilli,132,North Sydney,0.5197122,Acceptable,Good,0
121041416,Neutral Bay - Kirribilli,143,Warringah,0.4802878,Acceptable,Good,0
121041417,North Sydney - Lavender Bay,132,North Sydney,1,Acceptable,Good,0
122011418,Balgowlah - Clontarf - Seaforth,143,Warringah,1,Acceptable,Good,0
122011419,Manly - Fairlight,143,Warringah,1,Acceptable,Good,0
122021420,Avalon - Palm Beach,126,Mackellar,1,Good,Good,0
122021421,Bayview - Elanora Heights,126,Mackellar,1,Good,Good,0
122021422,Newport - Bilgola,126,Mackellar,1,Good,Good,0
122021423,Warriewood - Mona Vale,126,Mackellar,1,Good,Good,0
122031424,Beacon Hill - Narraweena,126,Mackellar,0.7134349,Good,Good,0
122031424,Beacon Hill - Narraweena,143,Warringah,0.2865651,Acceptable,Good,0
122031425,Cromer,126,Mackellar,1,Good,Good,0
122031426,Dee Why - North Curl Curl,126,Mackellar,0.5743657,Good,Good,0
122031426,Dee Why - North Curl Curl,143,Warringah,0.4256343,Acceptable,Good,0
122031427,Forestville - Killarney Heights,126,Mackellar,0.4175059,Good,Good,0
122031427,Forestville - Killarney Heights,143,Warringah,0.5824941,Acceptable,Good,0
122031428,Frenchs Forest - Belrose,126,Mackellar,0.9092145,Good,Good,0
122031428,Frenchs Forest - Belrose,143,Warringah,0.0907855,Acceptable,Good,0
122031429,Freshwater - Brookvale,143,Warringah,1,Acceptable,Good,0
122031430,Manly Vale - Allambie Heights,143,Warringah,1,Acceptable,Good,0
122031431,Narrabeen - Collaroy,126,Mackellar,1,Good,Good,0
122031432,Terrey Hills - Duffys Forest,126,Mackellar,1,Good,Good,0
123011433,Camden - Ellis Lane,120,Hume,1,Acceptable,Good,0
123011434,Elderslie - Harrington Park,120,Hume,0.4988418,Acceptable,Good,0
123011434,Elderslie - Harrington Park,125,Macarthur,0.5011582,Good,Good,0
123011435,Mount Annan - Currans Hill,120,Hume,0.8134509,Acceptable,Good,0
123011435,Mount Annan - Currans Hill,125,Macarthur,0.1865491,Good,Good,0
123021436,Bradbury - Wedderburn,125,Macarthur,1,Good,Good,0
123021437,Campbelltown - Woodbine,125,Macarthur,1,Good,Good,0
123021438,Claymore - Eagle Vale - Raby,125,Macarthur,1,Good,Good,0
123021439,Holsworthy Military Area,119,Hughes,0.5,Good,Good,0
123021439,Holsworthy Military Area,125,Macarthur,0.5,Good,Good,0
123021440,Ingleburn - Denham Court,125,Macarthur,0.7913656,Good,Good,0
123021440,Ingleburn - Denham Court,146,Werriwa,0.2086344,Good,Good,0
123021441,Leumeah - Minto Heights,125,Macarthur,1,Good,Good,0
123021442,Macquarie Fields - Glenfield,146,Werriwa,1,Good,Good,0
123021443,Minto - St Andrews,125,Macarthur,1,Good,Good,0
123021444,Rosemeadow - Glen Alpine,125,Macarthur,1,Good,Good,0
123031445,Bargo,120,Hume,1,Acceptable,Good,0
123031446,Douglas Park - Appin,120,Hume,1,Acceptable,Good,0
123031447,Picton - Tahmoor - Buxton,120,Hume,1,Acceptable,Good,0
123031448,The Oaks - Oakdale,120,Hume,1,Acceptable,Good,0
124011449,Blackheath - Megalong Valley,127,Macquarie,1,Good,Good,0
124011450,Blaxland - Warrimoo - Lapstone,127,Macquarie,1,Good,Good,0
124011451,Blue Mountains - North,127,Macquarie,1,Good,Good,0
124011452,Katoomba - Leura,127,Macquarie,1,Good,Good,0
124011453,Lawson - Hazelbrook - Linden,127,Macquarie,1,Good,Good,0
124011454,Springwood - Winmalee,127,Macquarie,1,Good,Good,0
124011455,Wentworth Falls,127,Macquarie,1,Good,Good,0
124021456,Blue Mountains - South,107,Calare,3.75e-5,Good,Good,1
124021456,Blue Mountains - South,120,Hume,0.000637,Acceptable,Good,1
124021456,Blue Mountains - South,127,Macquarie,0.9993255,Good,Good,0
124031457,Cambridge Park,123,Lindsay,1,Good,Good,0
124031458,Castlereagh - Cranebrook,123,Lindsay,1,Good,Good,0
124031459,Emu Plains - Leonay,123,Lindsay,1,Good,Good,0
124031460,Glenmore Park - Regentville,123,Lindsay,1,Good,Good,0
124031461,Jamisontown - South Penrith,123,Lindsay,1,Good,Good,0
124031462,Kingswood - Werrington,123,Lindsay,1,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,120,Hume,0.2429928,Acceptable,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,123,Lindsay,0.7495887,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,128,McMahon,0.0074185,Acceptable,Good,1
124031464,Penrith,123,Lindsay,1,Good,Good,0
124031465,Warragamba - Silverdale,120,Hume,1,Acceptable,Good,0
124041466,Richmond - Clarendon,127,Macquarie,1,Good,Good,0
124041467,Windsor - Bligh Park,127,Macquarie,1,Good,Good,0
124041468,Yarramundi - Londonderry,123,Lindsay,0.8673007,Good,Good,0
124041468,Yarramundi - Londonderry,127,Macquarie,0.1326993,Good,Good,0
124051469,Erskine Park,128,McMahon,1,Acceptable,Good,0
124051470,St Clair,128,McMahon,1,Acceptable,Good,0
124051580,Colyton - Oxley Park,123,Lindsay,1,Good,Good,0
124051581,St Marys - North St Marys,123,Lindsay,1,Good,Good,0
125011473,Homebush Bay - Silverwater,137,Reid,1,Good,Good,0
125011475,Rookwood Cemetery,144,Watson,1,Acceptable,Good,0
125011582,Auburn - Central,105,Blaxland,1,Good,Good,0
125011583,Auburn - North,105,Blaxland,1,Good,Good,0
125011584,Auburn - South,105,Blaxland,1,Good,Good,0
125011585,Berala,105,Blaxland,1,Good,Good,0
125011586,Lidcombe,105,Blaxland,0.2570439,Good,Good,0
125011586,Lidcombe,137,Reid,0.5028996,Good,Good,0
125011586,Lidcombe,144,Watson,0.2400565,Acceptable,Good,0
125011587,Regents Park,105,Blaxland,1,Good,Good,0
125021476,Carlingford,103,Bennelong,0.382736,Good,Good,0
125021476,Carlingford,104,Berowra,0.1085976,Good,Good,0
125021476,Carlingford,135,Parramatta,0.5086664,Acceptable,Good,0
125021477,Ermington - Rydalmere,103,Bennelong,0.5023249,Good,Good,0
125021477,Ermington - Rydalmere,135,Parramatta,0.4976751,Acceptable,Good,0
125021478,Oatlands - Dundas Valley,135,Parramatta,1,Acceptable,Good,0
125031479,Chester Hill - Sefton,105,Blaxland,1,Good,Good,0
125031480,Fairfield - East,115,Fowler,0.7247208,Good,Good,0
125031480,Fairfield - East,128,McMahon,0.2752792,Acceptable,Good,0
125031481,Granville - Clyde,135,Parramatta,1,Acceptable,Good,0
125031482,Greystanes - Pemulwuy,128,McMahon,1,Acceptable,Good,0
125031483,Guildford - South Granville,105,Blaxland,0.5015871,Good,Good,0
125031483,Guildford - South Granville,128,McMahon,0.3212828,Acceptable,Good,0
125031483,Guildford - South Granville,135,Parramatta,0.17713,Acceptable,Good,0
125031484,Guildford West - Merrylands West,128,McMahon,1,Acceptable,Good,0
125031485,Merrylands - Holroyd,128,McMahon,0.4596929,Acceptable,Good,0
125031485,Merrylands - Holroyd,135,Parramatta,0.5403071,Acceptable,Good,0
125031486,Smithfield Industrial,128,McMahon,1,Acceptable,Good,0
125031487,Yennora Industrial,128,McMahon,1,Acceptable,Good,0
125041489,North Parramatta,135,Parramatta,1,Acceptable,Good,0
125041490,North Rocks,129,Mitchell,0.5597884,Good,Good,0
125041490,North Rocks,135,Parramatta,0.4402116,Acceptable,Good,0
125041491,Northmead,129,Mitchell,0.4356788,Good,Good,0
125041491,Northmead,135,Parramatta,0.5643212,Acceptable,Good,0
125041492,Parramatta - Rosehill,135,Parramatta,1,Acceptable,Good,0
125041493,Toongabbie - Constitution Hill,129,Mitchell,0.1277581,Good,Good,0
125041493,Toongabbie - Constitution Hill,135,Parramatta,0.8722419,Acceptable,Good,0
125041494,Winston Hills,129,Mitchell,1,Good,Good,0
125041588,Pendle Hill - Girraween,118,Greenway,0.6472329,Good,Good,0
125041588,Pendle Hill - Girraween,128,McMahon,0.1069217,Acceptable,Good,0
125041588,Pendle Hill - Girraween,135,Parramatta,0.2458454,Acceptable,Good,0
125041589,Wentworthville - Westmead,128,McMahon,0.019849,Acceptable,Good,0
125041589,Wentworthville - Westmead,135,Parramatta,0.980151,Acceptable,Good,0
126011495,Epping - North Epping,103,Bennelong,1,Good,Good,0
126011496,Pennant Hills - Cheltenham,104,Berowra,1,Good,Good,0
126021497,Eastwood - Denistone,103,Bennelong,1,Good,Good,0
126021498,Gladesville - Huntleys Point,103,Bennelong,0.7460312,Good,Good,0
126021498,Gladesville - Huntleys Point,132,North Sydney,0.2539688,Acceptable,Good,0
126021499,Hunters Hill - Woolwich,132,North Sydney,1,Acceptable,Good,0
126021500,Macquarie Park - Marsfield,103,Bennelong,1,Good,Good,0
126021501,North Ryde - East Ryde,103,Bennelong,1,Good,Good,0
126021503,West Ryde - Meadowbank,103,Bennelong,1,Good,Good,0
126021590,Putney,103,Bennelong,1,Good,Good,0
126021591,Ryde,103,Bennelong,1,Good,Good,0
127011504,Ashcroft - Busby - Miller,146,Werriwa,1,Good,Good,0
127011505,Austral - Greendale,120,Hume,0.1211015,Acceptable,Good,0
127011505,Austral - Greendale,146,Werriwa,0.8788985,Good,Good,0
127011506,Cobbitty - Leppington,120,Hume,0.1236118,Acceptable,Good,0
127011506,Cobbitty - Leppington,125,Macarthur,0.870202,Good,Good,0
127011506,Cobbitty - Leppington,146,Werriwa,0.0061862,Good,Good,1
127011592,Badgerys Creek,120,Hume,0.6377261,Acceptable,Good,0
127011592,Badgerys Creek,146,Werriwa,0.3622739,Good,Good,0
127011593,Cecil Hills,146,Werriwa,1,Good,Good,0
127011594,Green Valley,146,Werriwa,1,Good,Good,0
127011595,Hinchinbrook,146,Werriwa,1,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,146,Werriwa,1,Good,Good,0
127011597,West Hoxton - Middleton Grange,146,Werriwa,1,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,115,Fowler,0.2341134,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,146,Werriwa,0.7658866,Good,Good,0
127021510,Bossley Park - Abbotsbury,115,Fowler,0.9628703,Good,Good,0
127021510,Bossley Park - Abbotsbury,128,McMahon,0.0371297,Acceptable,Good,0
127021511,Cabramatta - Lansvale,115,Fowler,1,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,115,Fowler,0.8962846,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,146,Werriwa,0.1037154,Good,Good,0
127021513,Canley Vale - Canley Heights,115,Fowler,0.9038289,Good,Good,0
127021513,Canley Vale - Canley Heights,128,McMahon,0.0961711,Acceptable,Good,0
127021514,Edensor Park,115,Fowler,1,Good,Good,0
127021515,Fairfield,128,McMahon,1,Acceptable,Good,0
127021516,Fairfield - West,115,Fowler,0.0739378,Good,Good,0
127021516,Fairfield - West,128,McMahon,0.9260622,Acceptable,Good,0
127021517,Greenfield Park - Prairiewood,115,Fowler,0.9702478,Good,Good,0
127021517,Greenfield Park - Prairiewood,128,McMahon,0.0297522,Acceptable,Good,0
127021518,Horsley Park - Kemps Creek,128,McMahon,1,Acceptable,Good,0
127021519,Smithfield - Wetherill Park,128,McMahon,1,Acceptable,Good,0
127021520,St Johns Park - Wakeley,115,Fowler,1,Good,Good,0
127021521,Wetherill Park Industrial,128,McMahon,1,Acceptable,Good,0
127031522,Casula,146,Werriwa,1,Good,Good,0
127031523,Chipping Norton - Moorebank,115,Fowler,0.4800886,Good,Good,0
127031523,Chipping Norton - Moorebank,119,Hughes,0.5199114,Good,Good,0
127031524,Holsworthy - Wattle Grove,119,Hughes,1,Good,Good,0
127031598,Liverpool,115,Fowler,1,Good,Good,0
127031599,Lurnea - Cartwright,146,Werriwa,1,Good,Good,0
127031600,Prestons - Edmondson Park,146,Werriwa,1,Good,Good,0
127031601,Warwick Farm,115,Fowler,1,Good,Good,0
128011529,Gymea - Grays Point,109,Cook,0.8072358,Acceptable,Good,0
128011529,Gymea - Grays Point,119,Hughes,0.1927642,Good,Good,0
128011530,Miranda - Yowie Bay,109,Cook,1,Acceptable,Good,0
128011531,Sylvania - Taren Point,,,0.0003107,Poor,Good,4
128011531,Sylvania - Taren Point,109,Cook,0.9996893,Acceptable,Good,0
128011602,Caringbah,109,Cook,1,Acceptable,Good,0
128011603,Caringbah South,109,Cook,1,Acceptable,Good,0
128011604,Cronulla - Kurnell - Bundeena,109,Cook,0.8966028,Acceptable,Good,0
128011604,Cronulla - Kurnell - Bundeena,119,Hughes,0.1033972,Good,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,109,Cook,1,Acceptable,Good,0
128011606,Woolaware - Burraneer,109,Cook,1,Acceptable,Good,0
128021533,Heathcote - Waterfall,119,Hughes,1,Good,Good,0
128021534,Illawong - Alfords Point,119,Hughes,1,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,119,Hughes,1,Good,Good,0
128021536,Oyster Bay - Como - Jannali,119,Hughes,1,Good,Good,0
128021537,Royal National Park,119,Hughes,1,Good,Good,0
128021538,Sutherland - Kirrawee,119,Hughes,1,Good,Good,0
128021607,Engadine,119,Hughes,1,Good,Good,0
128021608,Loftus - Yarrawarrah,119,Hughes,1,Good,Good,0
128021609,Woronora Heights,119,Hughes,1,Good,Good,0
201011001,Alfredton,202,Ballarat,1,Good,Good,0
201011002,Ballarat,202,Ballarat,1,Good,Good,0
201011003,Ballarat - North,202,Ballarat,1,Good,Good,0
201011004,Ballarat - South,202,Ballarat,1,Good,Good,0
201011005,Buninyong,202,Ballarat,1,Good,Good,0
201011006,Delacombe,202,Ballarat,1,Good,Good,0
201011007,Smythes Creek,202,Ballarat,1,Good,Good,0
201011008,Wendouree - Miners Rest,202,Ballarat,1,Good,Good,0
201021009,Bacchus Marsh Region,219,Hawke,1,Good,Good,0
201021010,Creswick - Clunes,202,Ballarat,1,Good,Good,0
201021011,Daylesford,202,Ballarat,1,Good,Good,0
201021012,Gordon (Vic.),202,Ballarat,1,Good,Good,0
201031013,Avoca,202,Ballarat,0.017029,Good,Good,0
201031013,Avoca,230,Mallee,0.7316251,Good,Good,0
201031013,Avoca,238,Wannon,0.2513458,Good,Good,0
201031014,Beaufort,202,Ballarat,0.0587176,Good,Good,0
201031014,Beaufort,238,Wannon,0.9412824,Good,Good,0
201031015,Golden Plains - North,202,Ballarat,1,Good,Good,0
201031016,Maryborough (Vic.),230,Mallee,1,Good,Good,0
201031017,Maryborough Region,203,Bendigo,0,Good,Good,1
201031017,Maryborough Region,230,Mallee,1,Good,Good,0
202011018,Bendigo,203,Bendigo,1,Good,Good,0
202011019,California Gully - Eaglehawk,203,Bendigo,1,Good,Good,0
202011020,East Bendigo - Kennington,203,Bendigo,1,Good,Good,0
202011021,Flora Hill - Spring Gully,203,Bendigo,1,Good,Good,0
202011022,Kangaroo Flat - Golden Square,203,Bendigo,1,Good,Good,0
202011023,Maiden Gully,203,Bendigo,1,Good,Good,0
202011024,Strathfieldsaye,203,Bendigo,1,Good,Good,0
202011025,White Hills - Ascot,203,Bendigo,1,Good,Good,0
202021026,Bendigo Region - South,203,Bendigo,0.9844107,Good,Good,0
202021026,Bendigo Region - South,230,Mallee,0.0155893,Good,Good,0
202021027,Castlemaine,203,Bendigo,1,Good,Good,0
202021028,Castlemaine Region,203,Bendigo,0.9999999,Good,Good,0
202021028,Castlemaine Region,230,Mallee,1e-7,Good,Good,1
202021029,Heathcote,203,Bendigo,1,Good,Good,0
202021030,Kyneton,203,Bendigo,1,Good,Good,0
202021031,Woodend,232,McEwen,1,Good,Good,0
202031032,Bendigo Region - North,203,Bendigo,0.9833549,Good,Good,0
202031032,Bendigo Region - North,230,Mallee,0.0166451,Good,Good,0
202031033,Loddon,230,Mallee,1,Good,Good,0
203011034,Bannockburn,209,Corangamite,1,Good,Good,0
203011035,Golden Plains - South,202,Ballarat,0.7829339,Good,Good,0
203011035,Golden Plains - South,209,Corangamite,0.2170661,Good,Good,0
203011036,Winchelsea,209,Corangamite,0.5603562,Good,Good,0
203011036,Winchelsea,238,Wannon,0.4396438,Good,Good,0
203021037,Belmont,210,Corio,1,Good,Good,0
203021038,Corio - Norlane,210,Corio,1,Good,Good,0
203021039,Geelong,210,Corio,1,Good,Good,0
203021040,Geelong West - Hamlyn Heights,210,Corio,1,Good,Good,0
203021041,Grovedale,209,Corangamite,1,Good,Good,0
203021042,Highton,209,Corangamite,0.0841578,Good,Good,0
203021042,Highton,210,Corio,0.9158422,Good,Good,0
203021043,Lara,210,Corio,1,Good,Good,0
203021044,Leopold,209,Corangamite,1,Good,Good,0
203021045,Newcomb - Moolap,209,Corangamite,0.0939519,Good,Good,0
203021045,Newcomb - Moolap,210,Corio,0.9060481,Good,Good,0
203021046,Newtown (Vic.),210,Corio,1,Good,Good,0
203021047,North Geelong - Bell Park,210,Corio,1,Good,Good,0
203031048,Clifton Springs,209,Corangamite,1,Good,Good,0
203031049,Lorne - Anglesea,238,Wannon,1,Good,Good,0
203031050,Ocean Grove - Barwon Heads,209,Corangamite,1,Good,Good,0
203031051,Portarlington,209,Corangamite,1,Good,Good,0
203031052,Point Lonsdale - Queenscliff,209,Corangamite,1,Good,Good,0
203031053,Torquay,209,Corangamite,1,Good,Good,0
204011054,Alexandra,223,Indi,1,Good,Good,0
204011055,Euroa,223,Indi,0.8947274,Good,Good,0
204011055,Euroa,236,Nicholls,0.1052726,Good,Good,0
204011056,Kilmore - Broadford,232,McEwen,0.6444943,Good,Good,0
204011056,Kilmore - Broadford,236,Nicholls,0.3555057,Good,Good,0
204011057,Mansfield (Vic.),223,Indi,1,Good,Good,0
204011058,Nagambie,236,Nicholls,1,Good,Good,0
204011059,Seymour,236,Nicholls,1,Good,Good,0
204011060,Seymour Region,203,Bendigo,0.0438613,Good,Good,0
204011060,Seymour Region,236,Nicholls,0.9561387,Good,Good,0
204011061,Upper Yarra Valley,206,Casey,1,Good,Good,0
204011062,Yea,223,Indi,0.9897222,Good,Good,0
204011062,Yea,236,Nicholls,0.0102778,Good,Good,0
204021063,Benalla,223,Indi,1,Good,Good,0
204021064,Benalla Region,223,Indi,0.9888976,Good,Good,0
204021064,Benalla Region,236,Nicholls,0.0111024,Good,Good,0
204021065,Rutherglen,223,Indi,1,Good,Good,0
204021066,Wangaratta,223,Indi,1,Good,Good,0
