SA2_CODE_2021,SA2_NAME_2021,ADD_CODE_2021,ADD_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
116031316,Lethbridge Park - Tregear,D08,South East Coast (NSW),1,Good,Good,0
116031317,Mount Druitt - Whalan,D08,South East Coast (NSW),1,Good,Good,0
116031318,Prospect Reservoir,D08,South East Coast (NSW),1,Good,Good,0
116031319,Rooty Hill - Minchinbury,D08,South East Coast (NSW),1,Good,Good,0
117011320,Banksmeadow,D08,South East Coast (NSW),1,Good,Good,0
117011321,Botany,D08,South East Coast (NSW),1,Good,Good,0
117011323,Pagewood - Hillsdale - Daceyville,D08,South East Coast (NSW),1,Good,Good,0
117011324,Port Botany Industrial,D08,South East Coast (NSW),1,Good,Good,0
117011325,Sydney Airport,D08,South East Coast (NSW),1,Good,Good,0
117011634,Eastlakes,D08,South East Coast (NSW),1,Good,Good,0
117011635,Mascot,D08,South East Coast (NSW),1,Good,Good,0
117021327,Petersham - Stanmore,D08,South East Coast (NSW),1,Good,Good,0
117021328,Sydenham - Tempe - St Peters,D08,South East Coast (NSW),1,Good,Good,0
117021636,Marrickville - North,D08,South East Coast (NSW),1,Good,Good,0
117021637,Marrickville - South,D08,South East Coast (NSW),1,Good,Good,0
117031329,Darlinghurst,D08,South East Coast (NSW),1,Good,Good,0
117031330,Erskineville - Alexandria,D08,South East Coast (NSW),1,Good,Good,0
117031331,Glebe - Forest Lodge,D08,South East Coast (NSW),1,Good,Good,0
117031333,Potts Point - Woolloomooloo,D08,South East Coast (NSW),1,Good,Good,0
117031336,Surry Hills,D08,South East Coast (NSW),1,Good,Good,0
117031638,Camperdown - Darlington,D08,South East Coast (NSW),1,Good,Good,0
117031639,Chippendale,D08,South East Coast (NSW),1,Good,Good,0
117031640,Newtown (NSW),D08,South East Coast (NSW),1,Good,Good,0
117031641,Pyrmont,D08,South East Coast (NSW),1,Good,Good,0
117031642,Redfern,D08,South East Coast (NSW),1,Good,Good,0
117031643,Rosebery - Beaconsfield,D08,South East Coast (NSW),1,Good,Good,0
117031644,Sydney (North) - Millers Point,D08,South East Coast (NSW),1,Good,Good,0
117031645,Sydney (South) - Haymarket,D08,South East Coast (NSW),1,Good,Good,0
117031646,Ultimo,D08,South East Coast (NSW),1,Good,Good,0
117031647,Waterloo,D08,South East Coast (NSW),1,Good,Good,0
117031648,Zetland,D08,South East Coast (NSW),1,Good,Good,0
118011339,Bondi - Tamarama - Bronte,D08,South East Coast (NSW),1,Good,Good,0
118011340,Bondi Beach - North Bondi,D08,South East Coast (NSW),1,Good,Good,0
118011341,Bondi Junction - Waverly,D08,South East Coast (NSW),1,Good,Good,0
118011342,Centennial Park,D08,South East Coast (NSW),1,Good,Good,0
118011344,Dover Heights,D08,South East Coast (NSW),1,Good,Good,0
118011345,Paddington - Moore Park,D08,South East Coast (NSW),1,Good,Good,0
118011346,Rose Bay - Vaucluse - Watsons Bay,D08,South East Coast (NSW),1,Good,Good,0
118011347,Woollahra,D08,South East Coast (NSW),1,Good,Good,0
118011649,Bellevue Hill,D08,South East Coast (NSW),1,Good,Good,0
118011650,Double Bay - Darling Point,D08,South East Coast (NSW),1,Good,Good,0
118021564,Kensington (NSW),D08,South East Coast (NSW),1,Good,Good,0
118021565,Kingsford,D08,South East Coast (NSW),1,Good,Good,0
118021566,Maroubra - North,D08,South East Coast (NSW),1,Good,Good,0
118021567,Maroubra - South,D08,South East Coast (NSW),1,Good,Good,0
118021568,Maroubra - West,D08,South East Coast (NSW),1,Good,Good,0
118021569,Randwick - North,D08,South East Coast (NSW),1,Good,Good,0
118021570,Randwick - South,D08,South East Coast (NSW),1,Good,Good,0
118021651,Coogee - Clovelly,D08,South East Coast (NSW),1,Good,Good,0
118021652,Malabar - La Perouse,D08,South East Coast (NSW),1,Good,Good,0
118021653,Matraville - Chifley,D08,South East Coast (NSW),1,Good,Good,0
118021654,South Coogee,D08,South East Coast (NSW),1,Good,Good,0
119011354,Bass Hill - Georges Hall,D08,South East Coast (NSW),1,Good,Good,0
119011355,Chullora,D08,South East Coast (NSW),1,Good,Good,0
119011356,Condell Park,D08,South East Coast (NSW),1,Good,Good,0
119011358,Padstow,D08,South East Coast (NSW),1,Good,Good,0
119011360,Revesby,D08,South East Coast (NSW),1,Good,Good,0
119011361,Yagoona - Birrong,D08,South East Coast (NSW),1,Good,Good,0
119011571,Bankstown - North,D08,South East Coast (NSW),1,Good,Good,0
119011572,Bankstown - South,D08,South East Coast (NSW),1,Good,Good,0
119011655,Greenacre - North,D08,South East Coast (NSW),1,Good,Good,0
119011656,Greenacre - South,D08,South East Coast (NSW),1,Good,Good,0
119011657,Panania (North) - Milperra,D08,South East Coast (NSW),1,Good,Good,0
119011658,Panania (South) - Picnic Point,D08,South East Coast (NSW),1,Good,Good,0
119021362,Belmore - Belfield,D08,South East Coast (NSW),1,Good,Good,0
119021366,Punchbowl,D08,South East Coast (NSW),1,Good,Good,0
119021367,Roselands,D08,South East Coast (NSW),1,Good,Good,0
119021573,Lakemba,D08,South East Coast (NSW),1,Good,Good,0
119021574,Wiley Park,D08,South East Coast (NSW),1,Good,Good,0
119021659,Campsie - North,D08,South East Coast (NSW),1,Good,Good,0
119021660,Campsie - South,D08,South East Coast (NSW),1,Good,Good,0
119021661,Canterbury - South,D08,South East Coast (NSW),1,Good,Good,0
119021662,Earlwood,D08,South East Coast (NSW),1,Good,Good,0
119021663,Kingsgrove - North,D08,South East Coast (NSW),1,Good,Good,0
119031370,Narwee - Beverly Hills,D08,South East Coast (NSW),1,Good,Good,0
119031371,Oatley - Hurstville Grove,D08,South East Coast (NSW),1,Good,Good,0
119031372,Peakhurst - Lugarno,D08,South East Coast (NSW),1,Good,Good,0
119031373,Riverwood,D08,South East Coast (NSW),1,Good,Good,0
119031374,South Hurstville - Blakehurst,D08,South East Coast (NSW),1,Good,Good,0
119031664,Hurstville - Central,D08,South East Coast (NSW),1,Good,Good,0
119031665,Hurstville - North,D08,South East Coast (NSW),1,Good,Good,0
119031666,Mortdale - Oatley,D08,South East Coast (NSW),1,Good,Good,0
119031667,Penshurst,D08,South East Coast (NSW),1,Good,Good,0
119041377,Kingsgrove (South) - Bardwell Park,D08,South East Coast (NSW),1,Good,Good,0
119041378,Kogarah,D08,South East Coast (NSW),1,Good,Good,0
119041379,Kogarah Bay - Carlton - Allawah,D08,South East Coast (NSW),1,Good,Good,0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,D08,South East Coast (NSW),1,Good,Good,0
119041381,Rockdale - Banksia,D08,South East Coast (NSW),1,Good,Good,0
119041382,Sans Souci - Ramsgate,D08,South East Coast (NSW),1,Good,Good,0
119041668,Arncliffe - Bardwell Valley,D08,South East Coast (NSW),1,Good,Good,0
119041669,Bexley - North,D08,South East Coast (NSW),1,Good,Good,0
119041670,Bexley - South,D08,South East Coast (NSW),1,Good,Good,0
119041671,Wolli Creek,D08,South East Coast (NSW),1,Good,Good,0
120011383,Concord - Mortlake - Cabarita,D08,South East Coast (NSW),1,Good,Good,0
120011385,Drummoyne - Rodd Point,D08,South East Coast (NSW),1,Good,Good,0
120011386,Five Dock - Abbotsford,D08,South East Coast (NSW),1,Good,Good,0
120011672,Concord West - North Strathfield,D08,South East Coast (NSW),1,Good,Good,0
120011673,Rhodes,D08,South East Coast (NSW),1,Good,Good,0
120021387,Balmain,D08,South East Coast (NSW),1,Good,Good,0
120021389,Lilyfield - Rozelle,D08,South East Coast (NSW),1,Good,Good,0
120021674,Annandale (NSW),D08,South East Coast (NSW),1,Good,Good,0
120021675,Leichhardt,D08,South East Coast (NSW),1,Good,Good,0
120031392,Canterbury (North) - Ashbury,D08,South East Coast (NSW),1,Good,Good,0
120031393,Croydon Park - Enfield,D08,South East Coast (NSW),1,Good,Good,0
120031394,Dulwich Hill - Lewisham,D08,South East Coast (NSW),1,Good,Good,0
120031395,Haberfield - Summer Hill,D08,South East Coast (NSW),1,Good,Good,0
120031396,Homebush,D08,South East Coast (NSW),1,Good,Good,0
120031576,Strathfield South,D08,South East Coast (NSW),1,Good,Good,0
120031676,Ashfield - North,D08,South East Coast (NSW),1,Good,Good,0
120031677,Ashfield - South,D08,South East Coast (NSW),1,Good,Good,0
120031678,Burwood (NSW),D08,South East Coast (NSW),1,Good,Good,0
120031679,Croydon,D08,South East Coast (NSW),1,Good,Good,0
120031680,Strathfield - East,D08,South East Coast (NSW),1,Good,Good,0
120031681,Strathfield - West,D08,South East Coast (NSW),1,Good,Good,0
121011399,Chatswood (West) - Lane Cove North,D08,South East Coast (NSW),1,Good,Good,0
121011401,St Leonards - Naremburn,D08,South East Coast (NSW),1,Good,Good,0
121011682,Artarmon,D08,South East Coast (NSW),1,Good,Good,0
121011683,Castle Cove - Northbridge,D08,South East Coast (NSW),1,Good,Good,0
121011684,Chatswood - East,D08,South East Coast (NSW),1,Good,Good,0
121011685,Greenwich - Riverview,D08,South East Coast (NSW),1,Good,Good,0
121011686,Lane Cove,D08,South East Coast (NSW),1,Good,Good,0
121011687,Willoughby,D08,South East Coast (NSW),1,Good,Good,0
121021403,Asquith - Mount Colah,D08,South East Coast (NSW),1,Good,Good,0
121021404,Berowra - Brooklyn - Cowan,D08,South East Coast (NSW),1,Good,Good,0
121021406,Normanhurst - Thornleigh - Westleigh,D08,South East Coast (NSW),1,Good,Good,0
121021577,Hornsby - East,D08,South East Coast (NSW),1,Good,Good,0
121021578,Hornsby - West,D08,South East Coast (NSW),1,Good,Good,0
121021579,Wahroonga (West) - Waitara,D08,South East Coast (NSW),1,Good,Good,0
121031407,Gordon - Killara,D08,South East Coast (NSW),1,Good,Good,0
121031408,Lindfield - Roseville,D08,South East Coast (NSW),1,Good,Good,0
121031409,Pymble,D08,South East Coast (NSW),1,Good,Good,0
121031410,St Ives,D08,South East Coast (NSW),1,Good,Good,0
121031411,Turramurra,D08,South East Coast (NSW),1,Good,Good,0
121031412,Wahroonga (East) - Warrawee,D08,South East Coast (NSW),1,Good,Good,0
121041413,Cremorne - Cammeray,D08,South East Coast (NSW),1,Good,Good,0
121041414,Crows Nest - Waverton,D08,South East Coast (NSW),1,Good,Good,0
121041416,Neutral Bay - Kirribilli,D08,South East Coast (NSW),1,Good,Good,0
121041417,North Sydney - Lavender Bay,D08,South East Coast (NSW),1,Good,Good,0
121041688,Mosman - North,D08,South East Coast (NSW),1,Good,Good,0
121041689,Mosman - South,D08,South East Coast (NSW),1,Good,Good,0
122011418,Balgowlah - Clontarf - Seaforth,D08,South East Coast (NSW),1,Good,Good,0
122011419,Manly - Fairlight,D08,South East Coast (NSW),1,Good,Good,0
122021420,Avalon - Palm Beach,D08,South East Coast (NSW),1,Good,Good,0
122021421,Bayview - Elanora Heights,D08,South East Coast (NSW),1,Good,Good,0
122021422,Newport - Bilgola,D08,South East Coast (NSW),1,Good,Good,0
122021690,Mona Vale - Warriewood (North),D08,South East Coast (NSW),1,Good,Good,0
122021691,North Narrabeen - Warriewood (South),D08,South East Coast (NSW),1,Good,Good,0
122031424,Beacon Hill - Narraweena,D08,South East Coast (NSW),1,Good,Good,0
122031425,Cromer,D08,South East Coast (NSW),1,Good,Good,0
122031427,Forestville - Killarney Heights,D08,South East Coast (NSW),1,Good,Good,0
122031429,Freshwater - Brookvale,D08,South East Coast (NSW),1,Good,Good,0
122031430,Manly Vale - Allambie Heights,D08,South East Coast (NSW),1,Good,Good,0
122031432,Terrey Hills - Duffys Forest,D08,South East Coast (NSW),1,Good,Good,0
122031692,Belrose,D08,South East Coast (NSW),1,Good,Good,0
122031693,Collaroy - Collaroy Plateau,D08,South East Coast (NSW),1,Good,Good,0
122031694,Dee Why (South) - North Curl Curl,D08,South East Coast (NSW),1,Good,Good,0
122031695,Dee Why - North,D08,South East Coast (NSW),1,Good,Good,0
122031696,Frenchs Forest - Oxford Falls,D08,South East Coast (NSW),1,Good,Good,0
122031697,Narrabeen - Wheeler Heights,D08,South East Coast (NSW),1,Good,Good,0
123011433,Camden - Ellis Lane,D08,South East Coast (NSW),1,Good,Good,0
123011698,Currans Hill,D08,South East Coast (NSW),1,Good,Good,0
123011699,Elderslie - Narellan,D08,South East Coast (NSW),1,Good,Good,0
123011700,Harrington Park,D08,South East Coast (NSW),1,Good,Good,0
123011701,Mount Annan,D08,South East Coast (NSW),1,Good,Good,0
123011702,Spring Farm,D08,South East Coast (NSW),1,Good,Good,0
123021436,Bradbury - Wedderburn,D08,South East Coast (NSW),1,Good,Good,0
123021437,Campbelltown - Woodbine,D08,South East Coast (NSW),1,Good,Good,0
123021438,Claymore - Eagle Vale - Raby,D08,South East Coast (NSW),1,Good,Good,0
123021439,Holsworthy Military Area,D08,South East Coast (NSW),1,Good,Good,0
123021441,Leumeah - Minto Heights,D08,South East Coast (NSW),1,Good,Good,0
123021443,Minto - St Andrews,D08,South East Coast (NSW),1,Good,Good,0
123021444,Rosemeadow - Glen Alpine,D08,South East Coast (NSW),1,Good,Good,0
123021703,Denham Court - Bardia,D08,South East Coast (NSW),1,Good,Good,0
123021704,Glenfield,D08,South East Coast (NSW),1,Good,Good,0
123021705,Ingleburn,D08,South East Coast (NSW),1,Good,Good,0
123021706,Macquarie Fields,D08,South East Coast (NSW),1,Good,Good,0
123031445,Bargo,D08,South East Coast (NSW),1,Good,Good,0
123031446,Douglas Park - Appin,D08,South East Coast (NSW),1,Good,Good,0
123031447,Picton - Tahmoor - Buxton,D08,South East Coast (NSW),1,Good,Good,0
123031448,The Oaks - Oakdale,D08,South East Coast (NSW),1,Good,Good,0
124011449,Blackheath - Megalong Valley,D08,South East Coast (NSW),1,Good,Good,0
124011450,Blaxland - Warrimoo - Lapstone,D08,South East Coast (NSW),1,Good,Good,0
124011451,Blue Mountains - North,D08,South East Coast (NSW),1,Good,Good,0
124011452,Katoomba - Leura,D08,South East Coast (NSW),1,Good,Good,0
124011453,Lawson - Hazelbrook - Linden,D08,South East Coast (NSW),1,Good,Good,0
124011454,Springwood - Winmalee,D08,South East Coast (NSW),1,Good,Good,0
124011455,Wentworth Falls,D08,South East Coast (NSW),1,Good,Good,0
124021456,Blue Mountains - South,D08,South East Coast (NSW),1,Good,Good,0
124031457,Cambridge Park,D08,South East Coast (NSW),1,Good,Good,0
124031459,Emu Plains - Leonay,D08,South East Coast (NSW),1,Good,Good,0
124031460,Glenmore Park - Regentville,D08,South East Coast (NSW),1,Good,Good,0
124031461,Jamisontown - South Penrith,D08,South East Coast (NSW),1,Good,Good,0
124031462,Kingswood - Werrington,D08,South East Coast (NSW),1,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,D08,South East Coast (NSW),1,Good,Good,0
124031464,Penrith,D08,South East Coast (NSW),1,Good,Good,0
124031465,Warragamba - Silverdale,D08,South East Coast (NSW),1,Good,Good,0
124031707,Cranebrook - Castlereagh,D08,South East Coast (NSW),1,Good,Good,0
124031708,Jordan Springs - Llandilo,D08,South East Coast (NSW),1,Good,Good,0
124041466,Richmond - Clarendon,D08,South East Coast (NSW),1,Good,Good,0
124041467,Windsor - Bligh Park,D08,South East Coast (NSW),1,Good,Good,0
124041468,Yarramundi - Londonderry,D08,South East Coast (NSW),1,Good,Good,0
124051469,Erskine Park,D08,South East Coast (NSW),1,Good,Good,0
124051470,St Clair,D08,South East Coast (NSW),1,Good,Good,0
124051580,Colyton - Oxley Park,D08,South East Coast (NSW),1,Good,Good,0
124051581,St Marys - North St Marys,D08,South East Coast (NSW),1,Good,Good,0
125011475,Rookwood Cemetery,D08,South East Coast (NSW),1,Good,Good,0
125011582,Auburn - Central,D08,South East Coast (NSW),1,Good,Good,0
125011583,Auburn - North,D08,South East Coast (NSW),1,Good,Good,0
125011584,Auburn - South,D08,South East Coast (NSW),1,Good,Good,0
125011585,Berala,D08,South East Coast (NSW),1,Good,Good,0
125011586,Lidcombe,D08,South East Coast (NSW),1,Good,Good,0
125011587,Regents Park,D08,South East Coast (NSW),1,Good,Good,0
125011709,Silverwater - Newington,D08,South East Coast (NSW),1,Good,Good,0
125011710,Wentworth Point - Sydney Olympic Park,D08,South East Coast (NSW),1,Good,Good,0
125021477,Ermington - Rydalmere,D08,South East Coast (NSW),1,Good,Good,0
125021478,Oatlands - Dundas Valley,D08,South East Coast (NSW),1,Good,Good,0
125021711,Carlingford - East,D08,South East Coast (NSW),1,Good,Good,0
125021712,Carlingford - West,D08,South East Coast (NSW),1,Good,Good,0
125031479,Chester Hill - Sefton,D08,South East Coast (NSW),1,Good,Good,0
125031480,Fairfield - East,D08,South East Coast (NSW),1,Good,Good,0
125031481,Granville - Clyde,D08,South East Coast (NSW),1,Good,Good,0
125031483,Guildford - South Granville,D08,South East Coast (NSW),1,Good,Good,0
125031484,Guildford West - Merrylands West,D08,South East Coast (NSW),1,Good,Good,0
125031486,Smithfield Industrial,D08,South East Coast (NSW),1,Good,Good,0
125031487,Yennora Industrial,D08,South East Coast (NSW),1,Good,Good,0
125031713,Greystanes - South,D08,South East Coast (NSW),1,Good,Good,0
125031714,Merrylands - Holroyd,D08,South East Coast (NSW),1,Good,Good,0
125031715,Pemulwuy - Greystanes (North),D08,South East Coast (NSW),1,Good,Good,0
125031716,South Wentworthville,D08,South East Coast (NSW),1,Good,Good,0
125041489,North Parramatta,D08,South East Coast (NSW),1,Good,Good,0
125041490,North Rocks,D08,South East Coast (NSW),1,Good,Good,0
125041491,Northmead,D08,South East Coast (NSW),1,Good,Good,0
125041493,Toongabbie - Constitution Hill,D08,South East Coast (NSW),1,Good,Good,0
125041494,Winston Hills,D08,South East Coast (NSW),1,Good,Good,0
125041588,Pendle Hill - Girraween,D08,South East Coast (NSW),1,Good,Good,0
125041589,Wentworthville - Westmead,D08,South East Coast (NSW),1,Good,Good,0
125041717,Parramatta - North,D08,South East Coast (NSW),1,Good,Good,0
125041718,Parramatta - South,D08,South East Coast (NSW),1,Good,Good,0
125041719,Rosehill - Harris Park,D08,South East Coast (NSW),1,Good,Good,0
126011496,Pennant Hills - Cheltenham,D08,South East Coast (NSW),1,Good,Good,0
126011720,Epping (East) - North Epping,D08,South East Coast (NSW),1,Good,Good,0
126011721,Epping (NSW) - West,D08,South East Coast (NSW),1,Good,Good,0
126021498,Gladesville - Huntleys Point,D08,South East Coast (NSW),1,Good,Good,0
126021499,Hunters Hill - Woolwich,D08,South East Coast (NSW),1,Good,Good,0
126021500,Macquarie Park - Marsfield,D08,South East Coast (NSW),1,Good,Good,0
126021501,North Ryde - East Ryde,D08,South East Coast (NSW),1,Good,Good,0
126021503,West Ryde - Meadowbank,D08,South East Coast (NSW),1,Good,Good,0
126021590,Putney,D08,South East Coast (NSW),1,Good,Good,0
126021722,Denistone,D08,South East Coast (NSW),1,Good,Good,0
126021723,Eastwood,D08,South East Coast (NSW),1,Good,Good,0
126021724,Ryde - North,D08,South East Coast (NSW),1,Good,Good,0
126021725,Ryde - South,D08,South East Coast (NSW),1,Good,Good,0
127011504,Ashcroft - Busby - Miller,D08,South East Coast (NSW),1,Good,Good,0
127011505,Austral - Greendale,D08,South East Coast (NSW),1,Good,Good,0
127011592,Badgerys Creek,D08,South East Coast (NSW),1,Good,Good,0
127011593,Cecil Hills,D08,South East Coast (NSW),1,Good,Good,0
127011594,Green Valley,D08,South East Coast (NSW),1,Good,Good,0
127011595,Hinchinbrook,D08,South East Coast (NSW),1,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,D08,South East Coast (NSW),1,Good,Good,0
127011597,West Hoxton - Middleton Grange,D08,South East Coast (NSW),1,Good,Good,0
127011726,Cobbitty - Bringelly,D08,South East Coast (NSW),1,Good,Good,0
127011727,Gledswood Hills - Gregory Hills,D08,South East Coast (NSW),1,Good,Good,0
127011728,Leppington - Catherine Field,D08,South East Coast (NSW),1,Good,Good,0
127011729,Oran Park,D08,South East Coast (NSW),1,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,D08,South East Coast (NSW),1,Good,Good,0
127021510,Bossley Park - Abbotsbury,D08,South East Coast (NSW),1,Good,Good,0
127021511,Cabramatta - Lansvale,D08,South East Coast (NSW),1,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,D08,South East Coast (NSW),1,Good,Good,0
127021513,Canley Vale - Canley Heights,D08,South East Coast (NSW),1,Good,Good,0
127021514,Edensor Park,D08,South East Coast (NSW),1,Good,Good,0
127021515,Fairfield,D08,South East Coast (NSW),1,Good,Good,0
127021516,Fairfield - West,D08,South East Coast (NSW),1,Good,Good,0
127021517,Greenfield Park - Prairiewood,D08,South East Coast (NSW),1,Good,Good,0
127021518,Horsley Park - Kemps Creek,D08,South East Coast (NSW),1,Good,Good,0
127021519,Smithfield - Wetherill Park,D08,South East Coast (NSW),1,Good,Good,0
127021520,St Johns Park - Wakeley,D08,South East Coast (NSW),1,Good,Good,0
127021521,Wetherill Park Industrial,D08,South East Coast (NSW),1,Good,Good,0
127031522,Casula,D08,South East Coast (NSW),1,Good,Good,0
127031523,Chipping Norton - Moorebank,D08,South East Coast (NSW),1,Good,Good,0
127031524,Holsworthy - Wattle Grove,D08,South East Coast (NSW),1,Good,Good,0
127031599,Lurnea - Cartwright,D08,South East Coast (NSW),1,Good,Good,0
127031601,Warwick Farm,D08,South East Coast (NSW),1,Good,Good,0
127031730,Edmondson Park,D08,South East Coast (NSW),1,Good,Good,0
127031731,Liverpool - East,D08,South East Coast (NSW),1,Good,Good,0
127031732,Liverpool - West,D08,South East Coast (NSW),1,Good,Good,0
127031733,Prestons,D08,South East Coast (NSW),1,Good,Good,0
128011529,Gymea - Grays Point,D08,South East Coast (NSW),1,Good,Good,0
128011530,Miranda - Yowie Bay,D08,South East Coast (NSW),1,Good,Good,0
128011531,Sylvania - Taren Point,D08,South East Coast (NSW),1,Good,Good,0
128011602,Caringbah,D08,South East Coast (NSW),1,Good,Good,0
128011603,Caringbah South,D08,South East Coast (NSW),1,Good,Good,0
128011604,Cronulla - Kurnell - Bundeena,D08,South East Coast (NSW),1,Good,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,D08,South East Coast (NSW),1,Good,Good,0
128011606,Woolooware - Burraneer,D08,South East Coast (NSW),1,Good,Good,0
128021533,Heathcote - Waterfall,D08,South East Coast (NSW),1,Good,Good,0
128021534,Illawong - Alfords Point,D08,South East Coast (NSW),1,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,D08,South East Coast (NSW),1,Good,Good,0
128021536,Oyster Bay - Como - Jannali,D08,South East Coast (NSW),1,Good,Good,0
128021537,Royal National Park,D08,South East Coast (NSW),1,Good,Good,0
128021538,Sutherland - Kirrawee,D08,South East Coast (NSW),1,Good,Good,0
128021607,Engadine,D08,South East Coast (NSW),1,Good,Good,0
128021608,Loftus - Yarrawarrah,D08,South East Coast (NSW),1,Good,Good,0
128021609,Woronora Heights,D08,South East Coast (NSW),1,Good,Good,0
197979799,Migratory - Offshore - Shipping (NSW),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
199999499,No usual address (NSW),D94,No usual address (Aust.),1,Good,Good,0
201011001,Alfredton,D09,South East Coast (Victoria),1,Good,Good,0
201011002,Ballarat,D09,South East Coast (Victoria),1,Good,Good,0
201011005,Buninyong,D09,South East Coast (Victoria),1,Good,Good,0
201011006,Delacombe,D09,South East Coast (Victoria),1,Good,Good,0
201011007,Smythes Creek,D09,South East Coast (Victoria),1,Good,Good,0
201011008,Wendouree - Miners Rest,D09,South East Coast (Victoria),1,Good,Good,0
201011481,Ballarat East - Warrenheip,D09,South East Coast (Victoria),1,Good,Good,0
201011482,Ballarat North - Invermay,D03,Murray-Darling Basin,2.00E-06,Good,Good,1
201011482,Ballarat North - Invermay,D09,South East Coast (Victoria),0.999998,Good,Good,0
201011483,Canadian - Mount Clear,D09,South East Coast (Victoria),1,Good,Good,0
201011484,Sebastopol - Redan,D09,South East Coast (Victoria),1,Good,Good,0
201021009,Bacchus Marsh Surrounds,D09,South East Coast (Victoria),1,Good,Good,0
201021010,Creswick - Clunes,D09,South East Coast (Victoria),0.0831653,Good,Good,0
201021010,Creswick - Clunes,D03,Murray-Darling Basin,0.9168347,Good,Good,0
201021011,Daylesford,D09,South East Coast (Victoria),0.0268165,Good,Good,0
201021011,Daylesford,D03,Murray-Darling Basin,0.9731835,Good,Good,0
201021012,Gordon (Vic.),D03,Murray-Darling Basin,0.0111404,Good,Good,0
201021012,Gordon (Vic.),D09,South East Coast (Victoria),0.9888596,Good,Good,0
201031013,Avoca,D09,South East Coast (Victoria),0.0085062,Good,Good,1
201031013,Avoca,D03,Murray-Darling Basin,0.9914938,Good,Good,0
201031014,Beaufort,D03,Murray-Darling Basin,0.0166949,Good,Good,0
201031014,Beaufort,D09,South East Coast (Victoria),0.9833051,Good,Good,0
201031015,Golden Plains - North,D09,South East Coast (Victoria),1,Good,Good,0
201031016,Maryborough (Vic.),D03,Murray-Darling Basin,1,Good,Good,0
201031017,Maryborough Surrounds,D03,Murray-Darling Basin,1,Good,Good,0
202011018,Bendigo,D03,Murray-Darling Basin,1,Good,Good,0
202011019,California Gully - Eaglehawk,D03,Murray-Darling Basin,1,Good,Good,0
202011020,East Bendigo - Kennington,D03,Murray-Darling Basin,1,Good,Good,0
202011021,Flora Hill - Spring Gully,D03,Murray-Darling Basin,1,Good,Good,0
202011022,Kangaroo Flat - Golden Square,D03,Murray-Darling Basin,1,Good,Good,0
202011023,Maiden Gully,D03,Murray-Darling Basin,1,Good,Good,0
202011024,Strathfieldsaye,D03,Murray-Darling Basin,1,Good,Good,0
202011025,White Hills - Ascot,D03,Murray-Darling Basin,1,Good,Good,0
202021026,Bendigo Surrounds - South,D03,Murray-Darling Basin,1,Good,Good,0
202021027,Castlemaine,D03,Murray-Darling Basin,1,Good,Good,0
202021028,Castlemaine Surrounds,D03,Murray-Darling Basin,1,Good,Good,0
202021029,Heathcote,D03,Murray-Darling Basin,1,Good,Good,0
202021030,Kyneton,D09,South East Coast (Victoria),0.0022774,Good,Good,1
202021030,Kyneton,D03,Murray-Darling Basin,0.9977226,Good,Good,0
202021031,Woodend,D09,South East Coast (Victoria),0.0573563,Good,Good,0
202021031,Woodend,D03,Murray-Darling Basin,0.9426437,Good,Good,0
202031032,Bendigo Surrounds - North,D03,Murray-Darling Basin,1,Good,Good,0
202031033,Loddon,D03,Murray-Darling Basin,1,Good,Good,0
203011034,Bannockburn,D09,South East Coast (Victoria),1,Good,Good,0
203011035,Golden Plains - South,D09,South East Coast (Victoria),1,Good,Good,0
203011036,Winchelsea,D09,South East Coast (Victoria),1,Good,Good,0
203021037,Belmont,D09,South East Coast (Victoria),1,Good,Good,0
203021039,Geelong,D09,South East Coast (Victoria),1,Good,Good,0
203021040,Geelong West - Hamlyn Heights,D09,South East Coast (Victoria),1,Good,Good,0
203021042,Highton,D09,South East Coast (Victoria),1,Good,Good,0
203021043,Lara,D09,South East Coast (Victoria),1,Good,Good,0
203021044,Leopold,D09,South East Coast (Victoria),1,Good,Good,0
203021045,Newcomb - Moolap,D09,South East Coast (Victoria),1,Good,Good,0
203021046,Newtown (Vic.),D09,South East Coast (Victoria),1,Good,Good,0
203021047,North Geelong - Bell Park,D09,South East Coast (Victoria),1,Good,Good,0
203021485,Charlemont,D09,South East Coast (Victoria),1,Good,Good,0
203021486,Corio - Lovely Banks,D09,South East Coast (Victoria),1,Good,Good,0
203021487,Grovedale - Mount Duneed,D09,South East Coast (Victoria),1,Good,Good,0
203021488,Norlane,D09,South East Coast (Victoria),1,Good,Good,0
203031048,Clifton Springs,D09,South East Coast (Victoria),1,Good,Good,0
203031049,Lorne - Anglesea,D09,South East Coast (Victoria),1,Good,Good,0
203031051,Portarlington,D09,South East Coast (Victoria),1,Good,Good,0
