SA3_CODE_2016,SA3_NAME_2016,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102,Queanbeyan,120,Hume,0.0099178,Acceptable,Acceptable,1
10102,Queanbeyan,113,Eden-Monaro,0.9900822,Acceptable,Acceptable,0
10103,Snowy Mountains,113,Eden-Monaro,1,Acceptable,Acceptable,0
10104,South Coast,116,Gilmore,0.422505,Acceptable,Acceptable,0
10104,South Coast,113,Eden-Monaro,0.577495,Acceptable,Acceptable,0
10105,Goulburn - Mulwaree,113,Eden-Monaro,0.0030313,Acceptable,Acceptable,1
10105,Goulburn - Mulwaree,120,Hume,0.9969687,Acceptable,Acceptable,0
10106,Young - Yass,120,Hume,0.0973481,Acceptable,Acceptable,0
10106,Young - Yass,139,Riverina,0.4282328,Acceptable,Acceptable,0
10106,Young - Yass,113,Eden-Monaro,0.4744191,Acceptable,Acceptable,0
10201,Gosford,112,Dobell,0.150489,Poor,Acceptable,0
10201,Gosford,140,Robertson,0.849511,Acceptable,Acceptable,0
10202,Wyong,141,Shortland,0.1935294,Acceptable,Acceptable,0
10202,Wyong,112,Dobell,0.8064706,Poor,Acceptable,0
10301,Bathurst,107,Calare,1,Good,Acceptable,0
10302,Lachlan Valley,107,Calare,0.0527443,Good,Acceptable,0
10302,Lachlan Valley,134,Parkes,0.099082,Acceptable,Acceptable,0
10302,Lachlan Valley,139,Riverina,0.8481737,Acceptable,Acceptable,0
10303,Lithgow - Mudgee,127,Macquarie,1.00E-07,Good,Acceptable,1
10303,Lithgow - Mudgee,134,Parkes,0.0243378,Acceptable,Acceptable,0
10303,Lithgow - Mudgee,107,Calare,0.9756621,Good,Acceptable,0
10304,Orange,139,Riverina,0.0002145,Acceptable,Acceptable,1
10304,Orange,107,Calare,0.9997855,Good,Acceptable,0
10401,Clarence Valley,133,Page,1,Acceptable,Acceptable,0
10402,Coffs Harbour,133,Page,0.2577952,Acceptable,Acceptable,0
10402,Coffs Harbour,110,Cowper,0.7422048,Acceptable,Acceptable,0
10501,Bourke - Cobar - Coonamble,134,Parkes,1,Acceptable,Acceptable,0
10502,Broken Hill and Far West,134,Parkes,1,Acceptable,Acceptable,0
10503,Dubbo,107,Calare,0.1306301,Good,Acceptable,0
10503,Dubbo,134,Parkes,0.8693699,Acceptable,Acceptable,0
10601,Lower Hunter,124,Lyne,0.0999499,Poor,Acceptable,0
10601,Lower Hunter,136,Paterson,0.2153972,Poor,Acceptable,0
10601,Lower Hunter,121,Hunter,0.6846529,Acceptable,Acceptable,0
10602,Maitland,124,Lyne,0.1100072,Poor,Acceptable,0
10602,Maitland,136,Paterson,0.8899928,Poor,Acceptable,0
10603,Port Stephens,124,Lyne,0.1656415,Poor,Acceptable,0
10603,Port Stephens,136,Paterson,0.8343585,Poor,Acceptable,0
10604,Upper Hunter,130,New England,0.44932,Acceptable,Acceptable,0
10604,Upper Hunter,121,Hunter,0.55068,Acceptable,Acceptable,0
10701,Dapto - Port Kembla,111,Cunningham,0.3565402,Acceptable,Acceptable,0
10701,Dapto - Port Kembla,147,Whitlam,0.6434598,Poor,Acceptable,0
10702,Illawarra Catchment Reserve,147,Whitlam,0.0001103,Poor,Acceptable,1
10702,Illawarra Catchment Reserve,111,Cunningham,0.0152354,Acceptable,Acceptable,0
10702,Illawarra Catchment Reserve,120,Hume,0.9846544,Acceptable,Acceptable,0
10703,Kiama - Shellharbour,116,Gilmore,0.2376883,Acceptable,Acceptable,0
10703,Kiama - Shellharbour,147,Whitlam,0.7623117,Poor,Acceptable,0
10704,Wollongong,111,Cunningham,1,Acceptable,Acceptable,0
10801,Great Lakes,124,Lyne,1,Poor,Acceptable,0
10802,Kempsey - Nambucca,130,New England,0.0007252,Acceptable,Acceptable,1
10802,Kempsey - Nambucca,110,Cowper,0.9992748,Acceptable,Acceptable,0
10803,Lord Howe Island,142,Sydney,1,Good,Acceptable,0
10804,Port Macquarie,124,Lyne,0.3964991,Poor,Acceptable,0
10804,Port Macquarie,110,Cowper,0.6035009,Acceptable,Acceptable,0
10805,Taree - Gloucester,124,Lyne,1,Poor,Acceptable,0
10901,Albury,114,Farrer,1,Good,Acceptable,0
10902,Lower Murray,114,Farrer,1,Good,Acceptable,0
10903,Upper Murray exc. Albury,114,Farrer,1,Good,Acceptable,0
11001,Armidale,130,New England,1,Acceptable,Acceptable,0
11002,Inverell - Tenterfield,134,Parkes,0.0574941,Acceptable,Acceptable,0
11002,Inverell - Tenterfield,130,New England,0.9425059,Acceptable,Acceptable,0
11003,Moree - Narrabri,134,Parkes,1,Acceptable,Acceptable,0
11004,Tamworth - Gunnedah,134,Parkes,0.1636945,Acceptable,Acceptable,0
11004,Tamworth - Gunnedah,130,New England,0.8363055,Acceptable,Acceptable,0
11101,Lake Macquarie - East,131,Newcastle,0.0319741,Acceptable,Acceptable,0
11101,Lake Macquarie - East,121,Hunter,0.0409478,Acceptable,Acceptable,0
11101,Lake Macquarie - East,141,Shortland,0.9270781,Acceptable,Acceptable,0
11102,Lake Macquarie - West,121,Hunter,1,Acceptable,Acceptable,0
11103,Newcastle,121,Hunter,0.004475,Acceptable,Acceptable,1
11103,Newcastle,141,Shortland,0.0145469,Acceptable,Acceptable,0
11103,Newcastle,136,Paterson,0.0711288,Poor,Acceptable,0
11103,Newcastle,131,Newcastle,0.9098493,Acceptable,Acceptable,0
11201,Richmond Valley - Coastal,133,Page,0.2144785,Acceptable,Acceptable,0
11201,Richmond Valley - Coastal,138,Richmond,0.7855215,Good,Acceptable,0
11202,Richmond Valley - Hinterland,138,Richmond,0.0027546,Good,Acceptable,1
11202,Richmond Valley - Hinterland,133,Page,0.9972454,Acceptable,Acceptable,0
11203,Tweed Valley,138,Richmond,1,Good,Acceptable,0
11301,Griffith - Murrumbidgee (West),114,Farrer,1,Good,Acceptable,0
11302,Tumut - Tumbarumba,114,Farrer,0.0008622,Good,Acceptable,1
11302,Tumut - Tumbarumba,113,Eden-Monaro,0.9991378,Acceptable,Acceptable,0
11303,Wagga Wagga,139,Riverina,1,Acceptable,Acceptable,0
11401,Shoalhaven,116,Gilmore,1,Acceptable,Acceptable,0
11402,Southern Highlands,116,Gilmore,0.0014149,Acceptable,Acceptable,1
11402,Southern Highlands,120,Hume,0.2527531,Acceptable,Acceptable,0
11402,Southern Highlands,147,Whitlam,0.745832,Poor,Acceptable,0
11501,Baulkham Hills,104,Berowra,0.2837735,Poor,Acceptable,0
11501,Baulkham Hills,129,Mitchell,0.7162265,Poor,Acceptable,0
11502,Dural - Wisemans Ferry,127,Macquarie,0.0019981,Good,Acceptable,1
11502,Dural - Wisemans Ferry,104,Berowra,0.9980019,Poor,Acceptable,0
11503,Hawkesbury,127,Macquarie,1,Good,Acceptable,0
11504,Rouse Hill - McGraths Hill,104,Berowra,0.0102557,Poor,Acceptable,0
11504,Rouse Hill - McGraths Hill,127,Macquarie,0.3065933,Good,Acceptable,0
11504,Rouse Hill - McGraths Hill,129,Mitchell,0.683151,Poor,Acceptable,0
11601,Blacktown,128,McMahon,0.0004106,Poor,Acceptable,1
11601,Blacktown,129,Mitchell,0.0066182,Poor,Acceptable,1
11601,Blacktown,108,Chifley,0.420001,Poor,Acceptable,0
11601,Blacktown,118,Greenway,0.5729703,Poor,Acceptable,0
11602,Blacktown - North,108,Chifley,0.0832702,Poor,Acceptable,0
11602,Blacktown - North,118,Greenway,0.9167298,Poor,Acceptable,0
11603,Mount Druitt,128,McMahon,0.0503923,Poor,Acceptable,0
11603,Mount Druitt,108,Chifley,0.9496077,Poor,Acceptable,0
11701,Botany,122,Kingsford Smith,1,Good,Acceptable,0
11702,Marrickville - Sydenham - Petersham,142,Sydney,2.00E-07,Good,Acceptable,1
11702,Marrickville - Sydenham - Petersham,102,Barton,0.251222,Poor,Acceptable,0
11702,Marrickville - Sydenham - Petersham,117,Grayndler,0.7487778,Poor,Acceptable,0
11703,Sydney Inner City,117,Grayndler,0.028492,Poor,Acceptable,0
11703,Sydney Inner City,145,Wentworth,0.0402351,Acceptable,Acceptable,0
11703,Sydney Inner City,142,Sydney,0.9312728,Good,Acceptable,0
11801,Eastern Suburbs - North,122,Kingsford Smith,0.0001993,Good,Acceptable,1
11801,Eastern Suburbs - North,145,Wentworth,0.9998007,Acceptable,Acceptable,0
11802,Eastern Suburbs - South,145,Wentworth,0.0796245,Acceptable,Acceptable,0
11802,Eastern Suburbs - South,122,Kingsford Smith,0.9203755,Good,Acceptable,0
11901,Bankstown,144,Watson,0.1718231,Poor,Acceptable,0
11901,Bankstown,101,Banks,0.3067901,Poor,Acceptable,0
11901,Bankstown,105,Blaxland,0.5213868,Poor,Acceptable,0
11902,Canterbury,102,Barton,0.2184337,Poor,Acceptable,0
11902,Canterbury,144,Watson,0.7815663,Poor,Acceptable,0
11903,Hurstville,109,Cook,0.0575196,Acceptable,Acceptable,0
11903,Hurstville,102,Barton,0.2141133,Poor,Acceptable,0
11903,Hurstville,101,Banks,0.7283671,Poor,Acceptable,0
11904,Kogarah - Rockdale,101,Banks,0.077991,Poor,Acceptable,0
11904,Kogarah - Rockdale,109,Cook,0.1998239,Acceptable,Acceptable,0
11904,Kogarah - Rockdale,102,Barton,0.7221851,Poor,Acceptable,0
12001,Canada Bay,137,Reid,1,Poor,Acceptable,0
12002,Leichhardt,117,Grayndler,1,Poor,Acceptable,0
12003,Strathfield - Burwood - Ashfield,102,Barton,0.0159607,Poor,Acceptable,0
12003,Strathfield - Burwood - Ashfield,144,Watson,0.2330733,Poor,Acceptable,0
12003,Strathfield - Burwood - Ashfield,117,Grayndler,0.3061497,Poor,Acceptable,0
12003,Strathfield - Burwood - Ashfield,137,Reid,0.4448163,Poor,Acceptable,0
12101,Chatswood - Lane Cove,103,Bennelong,0.003134,Acceptable,Acceptable,1
12101,Chatswood - Lane Cove,106,Bradfield,0.1381476,Acceptable,Acceptable,0
12101,Chatswood - Lane Cove,132,North Sydney,0.8587184,Poor,Acceptable,0
12102,Hornsby,106,Bradfield,0.3285082,Acceptable,Acceptable,0
12102,Hornsby,104,Berowra,0.6714918,Poor,Acceptable,0
12103,Ku-ring-gai,106,Bradfield,1,Acceptable,Acceptable,0
12104,North Sydney - Mosman,143,Warringah,0.4613079,Poor,Acceptable,0
12104,North Sydney - Mosman,132,North Sydney,0.5386921,Poor,Acceptable,0
12201,Manly,143,Warringah,1,Poor,Acceptable,0
12202,Pittwater,126,Mackellar,1,Acceptable,Acceptable,0
12203,Warringah,143,Warringah,0.4123456,Poor,Acceptable,0
12203,Warringah,126,Mackellar,0.5876544,Acceptable,Acceptable,0
12301,Camden,125,Macarthur,0.253822,Poor,Acceptable,0
12301,Camden,120,Hume,0.746178,Acceptable,Acceptable,0
12302,Campbelltown (NSW),146,Werriwa,0.1748394,Poor,Acceptable,0
12302,Campbelltown (NSW),125,Macarthur,0.8251606,Poor,Acceptable,0
12303,Wollondilly,120,Hume,1,Acceptable,Acceptable,0
