SA4_CODE_2021,SA4_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
397,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
399,No usual address (Qld),394,No usual address (Qld),1,Good,Good,0
401,Adelaide - Central and Hills,401,Adelaide,1,Good,Good,0
402,Adelaide - North,401,Adelaide,1,Good,Good,0
403,Adelaide - South,401,Adelaide,1,Good,Good,0
404,Adelaide - West,401,Adelaide,1,Good,Good,0
405,Barossa - Yorke - Mid North,401,Adelaide,0.7268612,Good,Good,0
405,Barossa - Yorke - Mid North,402,Port Augusta,0.2731388,Poor,Good,0
406,South Australia - Outback,402,Port Augusta,0.5688376,Poor,Good,0
406,South Australia - Outback,403,Port Lincoln - Ceduna,0.4311624,Poor,Good,0
407,South Australia - South East,401,Adelaide,1,Good,Good,0
497,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),1,Good,Good,0
499,No usual address (SA),494,No usual address (SA),1,Good,Good,0
501,Bunbury,507,South-Western WA,1,Good,Good,0
502,Mandurah,507,South-Western WA,1,Good,Good,0
503,Perth - Inner,505,Perth,1,Good,Good,0
504,Perth - North East,505,Perth,1,Good,Good,0
505,Perth - North West,505,Perth,1,Good,Good,0
506,Perth - South East,505,Perth,1,Good,Good,0
507,Perth - South West,505,Perth,1,Good,Good,0
509,Western Australia - Wheat Belt,507,South-Western WA,1,Good,Good,0
510,Western Australia - Outback (North),501,Broome,0.187947,Poor,Good,0
510,Western Australia - Outback (North),504,Kununurra,0.1230843,Poor,Good,0
510,Western Australia - Outback (North),506,South Hedland,0.6103811,Poor,Good,0
510,Western Australia - Outback (North),508,West Kimberley,0.0785876,Poor,Good,0
511,Western Australia - Outback (South),502,Geraldton,0.512771,Poor,Good,0
511,Western Australia - Outback (South),503,Kalgoorlie,0.4612218,Poor,Good,0
511,Western Australia - Outback (South),506,South Hedland,0.0260072,Poor,Good,0
597,Migratory - Offshore - Shipping (WA),597,Migratory - Offshore - Shipping (WA),1,Good,Good,0
599,No usual address (WA),594,No usual address (WA),1,Good,Good,0
601,Hobart,601,Tasmania,1,Good,Good,0
602,Launceston and North East,601,Tasmania,1,Good,Good,0
603,South East,601,Tasmania,1,Good,Good,0
604,West and North West,601,Tasmania,1,Good,Good,0
697,Migratory - Offshore - Shipping (Tas.),697,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
699,No usual address (Tas.),694,No usual address (Tas.),1,Good,Good,0
701,Darwin,703,Darwin,1,Good,Good,0
702,Northern Territory - Outback,703,Darwin,0.0275135,Good,Good,0
702,Northern Territory - Outback,704,Jabiru - Tiwi,0.1496613,Poor,Good,0
702,Northern Territory - Outback,705,Katherine,0.2028965,Poor,Good,0
702,Northern Territory - Outback,706,Nhulunbuy,0.1515553,Poor,Good,0
702,Northern Territory - Outback,707,Tennant Creek,0.0593898,Poor,Good,0
702,Northern Territory - Outback,708,Alice Springs,0.2904574,Poor,Good,0
702,Northern Territory - Outback,709,Apatula,0.1185262,Poor,Good,0
797,Migratory - Offshore - Shipping (NT),797,Migratory - Offshore - Shipping (NT),1,Good,Good,0
799,No usual address (NT),794,No usual address (NT),1,Good,Good,0
801,Australian Capital Territory,801,ACT,1,Good,Good,0
897,Migratory - Offshore - Shipping (ACT),897,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
899,No usual address (ACT),894,No usual address (ACT),1,Good,Good,0
901,Other Territories,901,Christmas - Cocos (Keeling) Is.,0.4790027,Poor,Good,0
901,Other Territories,902,Jervis Bay,0.0643689,Poor,Good,0
901,Other Territories,903,Norfolk Island,0.4566285,Poor,Good,0
997,Migratory - Offshore - Shipping (OT),997,Migratory - Offshore - Shipping (OT),1,Good,Good,0
999,No usual address (OT),994,No usual address (OT),1,Good,Good,0
ZZZ,Outside Australia,ZZZ,Outside Australia,1,Good,Good,0
